title	author	WD_signature	storage	publisher	year	pages
Podmioty administracji publicznej i prawne formy ich działania : studia i materiały z Konferencji Naukowej poświęconej Jubileuszowi 80-tych urodzin Profesora Eugeniusza Ochendowskiego, Toruń, 15-16 listopada, 2005.		KKP2719 .P63 2005 t.1-2		"Towarzystwo Naukowe Organizacji i Kierownictwa ""Dom Organizatora"", "	2005	482
Nauki ekonomiczne wobec problemów współczesnej gospodarki : księga jubileuszowa z okazji 40-lecia Wydziału Ekonomicznego UMCS		HB179.P7 N4 2005		Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej, 	2005	252
Biblioteki naukowe w kulturze i cywilizacji : działania i codzienność : materiały konferencyjne, Poznań, 15-17 czerwca 2005. T. 2		Z675.R45 B55 2005 t.2	magazyn	Biblioteka Główna Politechniki Poznańskiej, 	2005	118
Losy inteligencji śląskiej w latach 1939-1945. T. 2		D802.P62 S55485 2001 t.2		MG, 	2005	313
Podstawy nauki o przedsiębiorstwie		HD36 .P595 2005		Wydawnictwo Akademii Ekonomicznej im.  Oskara Langego we Wrocławiu, 	2005	516
Szkice do portretu : profesorowi Joachimowowi Glenskowi			magazyn	Wydawnictwo Uniwersytetu Opolskiego, 	2005	112
Issues in soft computing : decisions and operations research			magazyn	Akademicka Oficyna Wydawnicza EXIT, 	2005	274
Studia i materiały z dziejów Zespołu Szkół Nr 4 im. Tomasza Klenczara w Katowicach (1945-2005) : wydawnictwo z okazji jubileuszu 60-lecia działalności placówki			magazyn	Rada Rodziców przy Zespole Szkół Nr 4 im. Tomasza Klenczara, 	2005	134
Polska wobec polityki gospodarczej Unii Europejskiej		HC240 .P687 2005	magazyn	Instytut Badań nad Gospodarką Rynkową, 	2005	143
Nowe trendy w edukacji muzycznej		MT1 .N695 2005		Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej, 	2005	413
SMS na każdą okazję			magazyn	Klub dla Ciebie, 	2005	174
Poznań we wczesnym średniowieczu. T. 5		DK4750.15 .P69 1959 t.5		Wydawnictwo Poznańskie, 	2005	393
Wielowymiarowość edukacji osób z niepełnosprawnością		LC4005 .W54 2005		Wydawnictwo Uniwersytetu Warmińsko-Mazurskiego, cop. 	2005	248
Myśli, sentencje, przysłowia w Biblii		BS399.P6 M97 2005		Klub dla Ciebie, 	2005	320
