title	author	WD_signature	storage	publisher	year	pages
Globalization		HC59.3 .G585 2011		Wydawnictwo Wyższej Szkoły Bankowej, 	2011	158
Architektura drewniana			magazyn	Śląskie Centrum Dziedzictwa Kulturowego, 	2011	281
Umowy o pracę, o dzieło, zlecenia			magazyn	Infor Biznes, 	2011	192
Człowiek w przestrzeni zurbanizowanej		HT145.P7 C96 2011		Instytut Geografii i Gospodarki Przestrzennej Uniwersytetu Jagiellońskiego, 	2011	290
Muzeum w Opolu 1900-2010			magazyn	Muzeum Śląska Opolskiego, 	2011	209
Integracja europejska		JN30 .I553 2011		Wydawnictwo Poltext, 	2011	384
The barbarians of ancient Europe : realities and interactions		GN539 .B27 2011		Cambridge University Press, 	2011	395
Bogu, Ojczyźnie i ludziom : 20 lat Radia Maryja		BV656 .B64 2011		Wydawnictwo Sióstr Loretanek, 	2011	206
Bóg kocha dzieci : poradnik metodyczny do religii dla dzieci czteroletnich			magazyn	Wydawnictwo WAM Księża Jezuici, 	2011	207
Z problematyki zatrudnienia tymczasowego		KKP1281 .Z27 2011	magazyn	Lex a Wolters Kluwer Business, 	2011	237
W nurcie odnowy przepowiadania homilijnego - formy przekazu Słowa Bożego : materiały z sympozjum homiletycznego, 15-16 października 2010 roku, Łódź Łagiewniki, Wyższe Seminarium Duchowne OO. Franciszkanów			magazyn	Wydawnictwo Ojców Franciszkanów, 	2011	366
Dynamika emocji : teoria i praktyka		BF536 .D86 2011		Wydawnictwo Naukowe PWN, 	2011	531
Polish national and military symbols : representative detachments of the Polish armed forces/ ed. staff Adam Buszko, Robert Mokrzycki ; transl. Magdalena Sierocka.		UC535.P7 P64 2011		[s.n.], 	2011	127
Raz dwa trzy teraz my! : podręcznik do klasy 3. Cz. 2			magazyn	Nowa Era, 	2011	127
Realia życia codziennego w Europie Środkowej ze szczególnym uwzględnieniem Śląska		DK4600.S464 R43 2011		Studio Noa Ireneusz Olsza, 	2011	485
Profesor Stanisław Liszewski			magazyn	Łódzkie Towarzystwo Naukowe, 	2011	102
To jest fizyka 4 : książka nauczyciela			magazyn	Nowa Era, cop. 	2011	148
Rota w panoramie dziejów Polski		PG7158.K6 R684 2011		Muzeum Historii Polskiego Ruchu Ludowego, 	2011	297
