title	author	WD_signature	storage	publisher	year	pages
Zarządzanie rozwojem przestrzennym obszarów metropolitalnych w świetle koncepcji miękkich przestrzeni planowania	Mikuła, Łukasz (1982- ). 	HT330 .M6 2019		Bogucki Wydawnictwo Naukowe	2019	322
Ponad niebem	Parazynski, Scott Edward (1961- ). 	TL789.85.P36 A37165 2019		Bellona	2019	373
Być i nie być : (opowiadania)	Nowosad, Jarosław (1970- ). 		magazyn	Fundacja Kultury Afront	2019	175
"""Czujni strażnicy demokracji"" ludowej : urząd cenzury w województwie opolskim 1950-1990"	Patelski, Mariusz (1967- ). 	Z658.P7 P38 2019		Wydawnictwo Uniwersytetu Opolskiego	2019	426
Finanse samorządu regionalnego we wspieraniu rozwoju regionu	Patrzałek, Leszek (1955- ). 	HJ9514.7 .A2333 2019		Wydawnictwo Uniwersytetu Ekonomicznego we Wrocławiu	2019	185
Powroty	Paszyńska, Maria (1985- ). 	PG7216.A86 P69 2019		Publicat	2019	301
Głosimy śmierć Twoją, wyznajemy Twoje zmartwychwstanie : homilie na Triduum Paschalne i Niedzielę Zmartwychwstania Pańskiego	Muszyński, Henryk Józef (1933- ). 		magazyn	Wydawnictwo Bernardinum	2019	222
Listy 1-51	Paulin z Noli (święty ; 353?-431). 			Wydawnictwo WAM	2019	404
Byśmy pamiętali... : przedwojenni Policjanci powiatu ciechanowskiego 1919-1939	Mitter, Piotr. 		magazyn	Starostwo Powiatowe w Ciechanowie	2019	252
Doświadczenia życiowe żołnierzy zawodowych na misjach stabilizacyjnych	Molesztak, Aldona. 	U21.5 .M65 2019		Wydawnictwo Uniwersytetu Kazimierza Wielkiego	2019	428
Zakaz narzekania : działaj, aby zmieniać na lepsze życie swoje i innych!	Noè, Salvo. 		magazyn	Jedność	2019	173
Czynności niepowtarzalne w sprawach o wypadki drogowe : aspekty procesowo-kryminalistyczne i bezpieczeństwa	Pawelec, Kazimierz Jan. 	KKP4384 .P375 2019		Difin	2019	278
Potęga koloru : malarstwo Abdulqadera al Raisa = The power of colour : the painting of Abdulqader al Rais	Paszylka, Małgorzata. 	ND972.7.R38 A4 2019		Muzeum Narodowe w Gdańsku	2019	103
Śladami leśnych ścieżek czyli Rys historyczny nadleśnictw Namysłów, Wołczyn i Gręboszyce	Moliński, Wiesław (1958- ). 		magazyn	na zlecenie Nadleśnictwa Namysłów	2019	484
Metta	Nord, Navis. 		magazyn	Antares Wydawnictwo Station Nord	2019	203
Ekstrakcja danych z językiem Python : pozyskiwanie danych z internetu	Mitchell, Ryan E. 	QA76.9.D343 M57165 2019		Helion SA	2019	269
Mózg ćwiczy czyli Jak utrzymać umysł w dobrej formie	Nordengen, Kaja (1987- ). 	BF431.3 .N65165 2019		Marginesy	2019	254
Podróże do życia po śmierci	Moen, Bruce. 		magazyn	Galaktyka	2019	333
Kim jest mężczyzna?	Molina, Joaquin G. 		magazyn	Fundacja Cyryla i Metodego - Inicjatywa Tato.Net	2019	143
Rynek ropy naftowej a bezpieczeństwo energetyczne Polski	Noga, Marian (1946- ). 	HD9575.P62 N64 2019		CeDeWu Sp. z o.o.	2019	186
The politics of terrorism	Monaco, Donald. 	HV6432 .M66 2019		[wydawca nieznany]	2019	359
Fotogrametria cyfrowa : fotogrametryczne opracowanie naziemne i lotnicze dla studentów geodezji Uniwersytetu Rolniczego w Krakowie	Mitka, Bartosz. 	TA593 .M58 2019		Wydawnictwo Uniwersytetu Rolniczego	2019	123
