title	author	WD_signature	storage	publisher	year	pages
Pro memoria (1941-1944) : raporty Departamentu Informacji  Delegatury Rządu RP na Kraj o zbrodniach na narodzie polskim		D802.P6 P76 2005		Wyższa Szkoła Humanistyczna im. Aleksandra Gieysztora, 2004/	2005	686
Lasy i leśnictwo Lubelszczyzny		SD217.P72 L853 2004		Centrum Informacyjne Lasów Państwowych, 	2004	155
Archeologia, kultura, ideologie		CC51 .A74 2004		MA, 	2004	353
Lekcje z komputerem : informatyka : podręcznik dla ucznia szkoły podstawowej : klasy 4-6			magazyn	Wydawnictwa Szkolne i Pedagogiczne, cop. 	2004	223
Traktat z Amsterdamu zmieniający Traktat o Unii Europejskiej ; Traktaty ustanawiające Wspólnoty Europejskie i niektóre związane z nimi akty ; Traktat z Nicei zmieniający Traktat o Unii Europejskiej ; Traktaty ustanawiające Wspólnoty Europejskie i niektóre związane z nimi akty ; Decyzja Rady z dnia 12 czerwca 2002 zmieniająca Protokół w sprawie Statutu Trybunału Sprawiedliwości Wspólnot Europejskich ; Decyzja Rady z dnia 25 czerwca i 23 września 2002 zmieniająca Akt dotyczący wyboru przedstawicieli do Parlamentu Europejskiego w powszechnych wyborach bezposrednich, dołączony do decyzji Rady 76/787/EWWiS, EWG, EURATOM		KJE4442.3 .T73 2004 t.10		Urząd Komitetu Integracji Europejskiej, 	2004	375
"Z dziejów Towarzystwa Gimnastycznego ""Sokół"" w Polsce w 135. rocznicę powstania"		GV204.P63 Z9573 2004		PTNKF, [cop. 	2004	199
Stroje ludowe Środkowej Frankonii : katalog towarzyszy wystawie prezentowanej przez: Muzeum Pomorza Środkowego w Słupsku (lipiec-grudzień 2004), Muzeum Zachodnio-Kaszubskie w Bytowie (styczeń-marzec 2005), Oddział Etnografii Muzeum Narodowego w Gdańsku (kwiecień-wrzesień 2005) =  Trachten in Mittelfranken : Katalog zur Ausstellung präsentiert in: Mittelpommersches Museum in Słupsk (Juli-Dezember 2004), Westkaschubisches Museum in Bytów (Januar-Mäez 2005), Nationalmuseum Gdańsk, Abteilung für Ethnografie (April-September 2005)		GT919 .S77 2004		Muzeum Pomorza Środkowego, [	2004	103
Na falach radiowych z... : wywiady			magazyn	Bernardinum, 	2004	272
Grotius II Penal Programme : penal legislation in the fight against financial crimes, fraud and corruption, computer fraud and internet crimes		KJC8643 .A6 2004		Universidad de Salamanca Fundación General, 	2004	273
Słownik bohaterów literackich		PN56.4 .S56 2004		"PPU ""Park"", "	2004	472
Wiedza o kulturze : scenariusze lekcji : liceum ogólnokształcące, liceum profilowane, technikum : kształcenie w zakresie podstawowym, rozszerzonym : praca zbiorowa		NX371.P6 W54 2004		Wydawnictwa Szkolne i Pedagogiczne, cop.  	2004	127
Domowe obiady dla całej rodziny : zapiekanki, szaszłyki, makarony			magazyn	Świat Książki, 	2004	159
Między barokiem a oświeceniem : wojny i niepokoje czasów saskich : praca zbiorowa		DK4314.5 .M57 2004		OBN, 	2004	221
Polskie przedsiębiorstwa, regiony i rolnictwo w procesie integracji europejskiej : praca zbiorowa		HC240.25.P7 P747 2004		Katedra Marketingu Międzynarodowego i Dystrybucji Uniwersytetu Łódzkiego, 	2004	215
Te chwile tworzą historię : spotkania z Janem Pawłem II		BX1378.5 .T42165 2004		Herder, 	2004	207
