title	author	WD_signature	storage	publisher	year	pages
Technologie budowlane : konstrukcje i materiały			magazyn	Wydawnictwo PK	2018	108
Dzieciom na drogę : kazania na msze święte z udziałem dzieci : luty - czerwiec 2018 : rok B			magazyn	Wydawnictwo Diecezji Tarnowskiej Biblos	2018	109
Kościół : biblijne obrazy Kościoła		BS680.C477 K67 2018		Biblos Wydawnictwo Diecezji Tarnowskiej	2018	268
Na ścieżkach pamięci : 100 lat Szkoły Podstawowej nr 4 w Ostrołęce jak w kalejdoskopie			magazyn	Szkoła Podstawowa nr 4	2018	240
Biographical dictionary of Polish women classicists : 20th century		PA83 .B55 2018		OBTA	2018	279
Protokoły rewizyjne dóbr trzcianeckich z 1793 r.			magazyn	Biblioteka Parafialna	2018	255
Język nam dano jako dar nieba : wybór pism profesora Aleksandra Wilkonia przygotowany z okazji jubileuszu 60-lecia pracy pracy naukowo-dydaktycznej profesora			magazyn	Wydawnictwo Biblos	2018	370
Archiwalia do dziejów polskiej emigracji politycznej z lat 1939-1990		DK4122 .A7 2018	magazyn	Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu	2018	423
Medialne kody w wyobraźni i języku dziecka		HQ784.M32 P658 2018		Wydawnictwo Uniwersytetu Śląskiego	2018	171
Architektura XX wieku, jej ochrona i konserwacja w Gdyni i w Europie		NA958.5.M63 A73 2018		Urząd Miasta	2018	262
Historia języka, dialektologia i onomastyka w nowych kontekstach interpretacyjnych		PG6026.K37 H57 2018		Wydawnictwo Uniwersytetu Jagiellońskiego	2018	456
Misterne a trafne rzeczy... Cz. 1, Rzeczy o człeku			magazyn	[Biblioteka Kórnicka]	2018	156
Nanotechnologia w medycynie i kosmetologii : podręcznik akademicki : praca zbiorowa		T174.7 .N358 2018		Wydawnictwo Politechniki Gdańskiej	2018	178
Parafia w Sokolanach 1618-2018			magazyn	Wydawnictwo św. Jerzego w Białymstoku	2018	399
W jedną stronę : Marzec '68		DS134.55 .W25 2018		Muzeum PRL-u	2018	134
Terapia poznawcza psychoz : powrót do życia i normalności			magazyn	Edra Urban & Partner	2018	200
Edukacja ekologiczna w rozwoju turystyki na obszarach przyrodniczo cennych : zbiór dobrych praktyk : praca zbiorowa			magazyn	Bogucki Wydawnictwo Naukowe	2018	105
Aplikacyjne i teoretyczne problemy w przemyśle rolno-spożywczym : zrównoważony rozwój i ochrona środowiska			magazyn	Oficyna Wydawnicza Politechniki Opolskiej	2018	124
