title	author	WD_signature	storage	publisher	year	pages
Media i komunikowanie w społeczeństwie demokratycznym : szkice medioznawcze		P95.8 .M365 2006		Wydawnictwo Wyższej Szkoły Zarządzania i Marketingu, 	2006	232
Encyklopedia wiedzy politycznej		JA64.P6 E52 2006	magazyn	Wydawnictwo Adam Marszałek, 	2006	477
Systemy informatyczne zarządzania - od teorii do praktyki		T58.6 .S955 2006		Wydawnictwo Naukowe PWN, 	2006	337
Tradycje i obrzędowość związane z wypasem owiec w Karpatach : dzieje wypasu owiec w górach : historia i dzień dzisiejszy parafii i miejscowości karpackich			magazyn	Instytut Zootechniki, 	2006	148
Zarządzanie przedsiębiorstwem w warunkach konkurencji : determinanty konkurencyjności przedsiębiorstw. Cz. 1		HD70.P6 Z383 2006 t.1		Wydawnictwo Uniwersytetu Warmińsko-Mazurskiego, cop. 	2006	307
Zagłada Żydów : pamięć narodowa a pisanie historii w Polsce i we Francji : wybrane materiały z kolokwium polsko-francuskiego, Lublin, 22-23 stycznia 2004		D804.348 .Z34 2006	magazyn	Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej, 	2006	276
Szara strefa = Grey area : Łukasz Skąpski		N7255.P63 S522 2006		Galeria Sztuki Współczesnej Bunkier Sztuki, 	2006	110
O psach, kotach i aniołach		SF416 .O2 2006		Wydawnictwo Literackie, 	2006	238
Wprowadzenie do i-handlu		HF5548.32 .W66 2006		Wydawnictwo Akademii Ekonomicznej im. Oskara Langego, 	2006	108
Płockie milenium : uroczystości milenijne w diecezji płockiej w tajnych dokumentach Służby Bezpieczeństwa		BX1568.P56 P56 2006		Adam Marszałek, cop. 	2006	322
Egzamin na doradcę podatkowego : pytania i odpowiedzi, kazusy		KKP3550 .E38 2006		Forum Doradców Podatkowych, 	2006	289
Business English readings : handbook				C. H. Beck, 	2006	182
Cuda w sprawach kanonizacyjnych		BT97.3 .C83 2006		Wydawnictwo Diecezjalne, 	2006	267
Bezpośrednie funkcje rekreacji		GV181 .B49 2006		"""DrukTur"", "	2006	244
Prawnokarne aspekty wolności : materiały z konferencji, Arłamów 16-18 maja 2005 r.		KKP4116.A67 P73 2006	magazyn	Kantor Wydawniczy Zakamycze, 	2006	345
"Plejstocen południowej Warmii i zachodnich Mazur na tle struktur podłoża : XIII Konferencja ""Stratygrafia plejstocenu Polski"", Maróz, 4-8 września 2006 : materiały konferencyjne"			magazyn	Państwowy Instytut Geologiczny, 	2006	205
Nowoczesność jako doświadczenie		CB430 .N68 2006		Universitas, 	2006	436
Myśl pedeutologiczna i edukacja ustawiczna nauczycieli : praca zbiorowa		LB1775 .M97 2006		Wydawnictwo SWPR Szkoła Wyższa Przymierza Rodzin, 	2006	162
Opodatkowanie przedsiębiorców podatkami dochodowymi i pośrednimi : zagadnienia wybrane		HD2753.P7 O66 2006		PASSAT - Paweł Pietrzyk, 	2006	320
Egzamin na doradcę podatkowego : pytania i odpowiedzi, testy		KKP3550 .E4 2005		Forum Doradców Podatkowych, 	2006	200
Promocja gminy, miasta i regionu w kontekście integracji europejskiej : techniki przygotowywania materiałów promocyjnych i ofert inwestycyjnych : zasady obsługi inwestorów : praca zbiorowa		HT395.P6 P786 2006		Twigger, 	2006	211
Trzy stylistyki greckie : Arystoteles, Demetriusz, Dionizjusz		PA401 .T79 2006	magazyn	De Agostini, cop. 	2006	273
Atlas problemów społecznych Wrocławia		HN539.W76 A85 2006	magazyn	"""Silesia"", "	2006	191
Żyć w Chrystusie : ku formacji permanentnej do życia monastycznego		BX2435 .V58165 2006		Wydawnictwo Księży Marianów MIC, 	2006	247
Organic and polymer synthesis and catalysis		QD262 .O74 2006		Wydawnictwo Poznańskie, 	2006	344
Nowa ekonomia a społeczeństwo. 2		HM548 .N68 2006 t.2		Wydawnictwo KUL, 	2006	488
International comparison of anti-discrimination laws		K3242 .I58 2006		Graduate School of  Modern Society and Culture, Niigata University, 	2006	156
Honorowi obywatele miasta Białegostoku			magazyn	Polskie Towarzystwo Historyczne. Oddział w Białymstoku, 	2006	129
Samorząd terytorialny - od społeczeństwa ryzyka do społeczeństwa bezpieczeństwa		JN6759.5.C75 S26 2006		"ARP ""Promocja 21"", "	2006	307
Psychoterapia : podręcznik akademicki. [2], Praktyka		RC480 .P78 2005 t.2	magazyn	Eneteia - Wydawnictwo Psychologii i Kultury, 	2006	636
