title	author	WD_signature	storage	publisher	year	pages
Błogosławiony wśród nas	Kietliński, Marek (1967- ). 	BX1378.5 .K48 2012	magazyn	Fundusz Białystok Ojcu Świętemu, [ca 	2012	191
Dobre praktyki : scenariusze lekcji : poradnik	Kitowska, Danuta K. 	LB1139.35.A37 K58 2011		[s.n., ca 	2011	127
Myśli na każdy dzień	Katarzyniec, Józef Wenanty (1889-1921). 		magazyn	Mieczysław Pabis, [ 	2011	173
Człowiek mieszkający nad kuchnią	Ilgner, Artur. 		magazyn	Wydawnictwo i Drukarnia Towarzystwa Słowaków w Polsce, [ca 	2011	102
Aplikacje 2010 : radcowska, adwokacka, notarialna : egzamin wstępny i końcowy : testy, przepisy, objaśnienia. T. 2	Kamiński, Piotr (prawo). 			LexisNexis Polska, 	2010	466
Zarządzanie wiedzą o czynnikach ludzkich w organizacji	Karwowski, Waldemar (1953- ). 	HD30.35 .K37 2010		Szkoła Główna Handlowa - Oficyna Wydawnicza, 	2010	425
Historia rodu Leszczyców z Radolina Radolińskich	Karwowski, Stanisław (1848-1917). 	CS879 .R282 2010		Muzeum Regionalne, 	2010	315
O miłości	Jäger, Willigis (1925-2020). 	BV4639 .J34165 2010		"Wydawnictwo ""Czarna Owca"", "	2010	160
Efektywne i atrakcyjne metody pracy z dziećmi	Jąder, Mariola. 		magazyn	"Oficyna Wydawnicza ""Impuls"", "	2010	131
Discourses of globalization : selected papers of the 13th International Conference of the Bulgarian Society for British Studies, November 7-9th 2008, Sofia	International Conference of the Bulgarian Society for British Studies (13 ; 2008 ; Sofia). 		magazyn	"Sofia University ""St. Kliment Ohridski"", "	2010	242
Oko w oko z banderowcami : wspomnienia małoletniego żołnierza Armii Krajowej	Jastrzębski, Stanisław (1929- ). 		magazyn	Wydawnictwo Nortom, 	2010	160
Wiejska turystyka kulturowa	Jędrysiak, Tadeusz (1947- ). 	G155.P7 J44 2010		Polskie Wydawnictwo Ekonomiczne, 	2010	162
