title	author	WD_signature	storage	publisher	year	pages
Dr Heart dbaj o swoje serce : jak zapobiegać zawałowi serca oraz lepiej i bardziej świadomie żyć	Waller, Stefan (kardiologia). 	RC682 .W28165 2018		Edra Urban & Partner	2018	156
7 kroków do bogactwa w 7 dni : kurs mentalnego przyciągania dobrobytu finansowego (i nie tylko)	Wójcik, Małgorzata (astropsychologia). 		magazyn	Studio Astropsychologii Jeszcze Lepsze Jutro	2018	183
Gmina Kęsowo : historia, struktura i tradycje rybactwa	Węsierski, Adam. 		magazyn	Machina Druku	2018	164
Życie i przygody Jacka Engle'a : autobiografia, w której czytelnik napotka znajome postacie	Whitman, Walt (1819-1892). 	PS3222.L54 P6 2018		Biuro Literackie	2018	134
Podstawowe problemy modernizacji technicznej wojsk lądowych Sił Zbrojnych RP w perspektywie 2022 roku : (w warunkach realizacji Planu Modernizacji Technicznej Sił Zbrojnych RP w latach 2017-2022)	Wiśniewski, Gaweł. 	UF505.P7 W57 2018		Biuro Bezpieczeństwa Narodowego	2018	195
Piotr i Judasz : dwie historie i miłosierdzie	Wons, Krzysztof (1959- ). 		magazyn	Wydawnictwo WAM	2018	178
Zamki w Polsce : przewodnik turystyczny	Węgrzyn, Maciej. 	NA7763 .W44 2018		Wydawnictwo RM	2018	224
Wsie zanikające w Polsce : stan, zmiany, modele rozwoju	Wesołowska, Monika. 	HN537.5 .W468 2018		Uniwersytet Mari Curie-Skłodowskiej	2018	244
Archeologia Szubina : na tle dziejów Pałuk i regionu kujawsko-pomorskiego	Woźny, Jacek (1962- ). 	GN845.P72 S987 2018		Wydawnictwo Uniwersytetu Kazimierza Wielkiego	2018	174
Życie jak różaniec : rozważania	Twardowski, Jan (1915-2006). 		magazyn	"Wydawnictwo ""Bernardinum"""	2018	213
Śmierć w prozie emigrantów pierwszej fali uchodźstwa rosyjskiego - Michaiła Arcybaszewa i Marka Ałdanowa - w kontekście literacko-filozoficznym	Witczak, Patryk (1986- ). 	PG3453.A8 Z87 2018		Wydawnictwo Adam Marszałek	2018	287
Wspomnienia chełmińskiego lekarza (1891-1985)	Wasielewski, Franciszek (1891-1985). 		magazyn	Muzeum Ziemi Chełmińskiej	2018	255
Sieć agenturalno-informacyjna powiatu tucholskiego w latach 1945-1954. T. 2	Węsierski, Adam. 		magazyn	Machina Druku	2018	260
Bezpieczeństwo procesów decyzyjnych	Wiśniewski, Bernard (nauki wojskowe). 	HD30.23 .W565 2018		Fundacja Obserwatorium Społeczne	2018	210
Muzyka, teatr, książka w Rosji : szkice	Wiśniewski, Grzegorz (1948- ). 	NX556.A1 W47 2018		Wydawnictwo Adam Marszałek	2018	213
Roztrójenie jaźni czyli Bardzo serdecznie dziękuję Państwu!	Węglowski, Jan (1951- ). 	PG7182.E355 R69 2018	magazyn	Oficyna Wydawnicza Atut - Wrocławskie Wydawnictwo Oświatowe	2018	425
Spóźnieni kochankowie	Wharton, William (1925-2008). 		magazyn	Dom Wydawniczy Rebis	2018	346
Fire and fury : inside the Trump White House	Wolff, Michael (1953- ). 	E912 .W65 2018		Henry Holt and Company	2018	321
Produkcja wyrobów medycznych, farmaceutycznych oraz kosmetycznych jako przyszłościowa branża województwa łódzkiego : studium oddziaływań na regionalny rynek pracy województwa łódzkiego : raport końcowy	Tkocz-Piszczek, Ewa. 	HD8039.M372 P68 2018		Wojewódzki Urząd Pracy w Łodzi	2018	163
Nieważność uchwały zgromadzenia spółki kapitałowej	Uliasz, Roman. 	KKP1078 .U55 2018		Wydawnictwo C.H. Beck	2018	607
Angielski w tłumaczeniach : modal verbs : poziom A2-C2	Urban, Adam (1961- ). 	PE1315.M6 U73 2018	magazyn	Preston Publishing	2018	191
Somalia : upadek i odbudowa	Tlałka, Krzysztof (1986- ). 	DT407.4 .T53 2018	magazyn	Wydawnictwo Adam Marszałek	2018	296
Języki mitu, historii, religii w literaturze na Górnym Śląsku : analiza wybranych dzieł XX wieku regionu pogranicza	Węgrzynek, Krystian (filolog). 	PN849.S5 W44 2018	magazyn	"""Śląsk"" Sp. z o.o. Wydawnictwo Naukowe"	2018	377
Ptasiek	Wharton, William (1925-2008). 	PS3573.H32 B57165 2018		Dom Wydawniczy REBIS	2018	316
Logika	Widła, Tadeusz (1951- ). 	BC151 .W53 2018		Wydawnictwo C.H. Beck	2018	376
Imponderabilia	Węgrzynowicz-Plichta, Magdalena. 		magazyn	Wydawnictwo Signo	2018	120
Apelacje z prawa gospodarczego na przykładach i wzorach	Wetoszka, Dominika. 	KKP3190 .W48 2018		Wydawnictwo C. H. Beck	2018	175
Wehrmacht w walce miejskiej 1939-1942	Wettstein, Adrian E. (1979- ). 	D764 .W48165 2018		Napoleon V	2018	463
Natura i moc dowodowa dokumentu w kanonicznym procesie sądowym	Witkowski, Wojciech (1973- ). 	KBU3847 .W58 2018		Wydawnictwo Diecezjalne i Drukarnia w Sandomierzu	2018	303
Wykłady o idei uniwersytetu	Twardowski, Kazimierz (1866-1938). 	B4691 .T9 2018 t.1		Wydawnictwo Marek Derewiecki	2018	462
Jak przestałem kochać design	Wicha, Marcin (1972- ). 	NK1471.P6 W53 2018		Wydawnictwo Karakter	2018	260
Sztuka marginesów : chorwacki plakat polityczny	Wróblewska-Trochimiuk, Ewa. 	DR1602 .W76 2018		Fundacja Slawistyczna	2018	324
Mądrość zstępująca z góry : komentarz strukturalny do Listu św. Jakuba	Wojciechowska, Kalina (1971- ). 	BS2785.53 .W65 2018		Wydawnictwo Naukowe Chrześcijańskiej Akademii Teologicznej	2018	299
Teoria i filozofia prawa międzynarodowego Hansa Kelsena	Widłak, Tomasz. 	KZ3375.K45 W53 2018		Wydawnictwo Uniwersytetu Gdańskiego	2018	347
Siły destabilizacyjne w operacjach reagowania kryzysowego	Więcek, Wojciech. 	U241 .W537 2018		Wydawnictwo Akademii Sztuki Wojennej	2018	147
Zasady wynagradzania za pracę u pracodawców-przedsiębiorców w świetle autonomicznych źródeł prawa pracy	Walczak, Krzysztof (prawo). 	KKP1330 .W35 2018		Wydawnictwo C. H. Beck	2018	369
Bohaterowie, renegaci, zdrajcy...	Wieczorkiewicz, Paweł Piotr (1948-2009). 	D106 .W54 2018		Wydawnictwo LTW	2018	507
Słuchaj swojego serca	West, Kasie. 		magazyn	Feeria Young	2018	373
Był blisko : mała powieść z początku XXI wieku	Wojciechowski, Piotr (1938- ). 		magazyn	Bernardinum	2018	114
Piołun na zapomnienie	Trojanowska, Anna. 	PG7220.R63 P56 2018		Zysk i S-ka Wydawnictwo	2018	638
Folk image of woman : the perspective of otherness : folklore and literature	Walęciuk-Dejneka, Beata. 	GR138 .W35 2018		Wydawnictwo Naukowe UP-H	2018	225
Światy zastępcze : samotność wobec kultury	Wojciechowski, Paweł Rajmund (1976- ). 	BF491 .W65 2018		Gdańskie Wydawnictwo Psychologiczne	2018	367
Dermatologia pediatryczna : diagnostyka różnicowa	Weston, William L. 		magazyn	Edra Urban & Partner	2018	159
Pięć kilometrów do bomby	Wiejaczka, Elżbieta (1982- ). 	DT12.25 .W54 2018		Muza. Sport i Turystyka	2018	446
Myśląc o wieloetniczności	Wojdon, Joanna (1973- ). 		magazyn	Centrum Edukacji Obywatelskiej	2018	103
Pochyleni nad człowiekiem : Szpital Kolejowy w Pruszkowie w latach 1959-1999	Turos, Maria J. 		magazyn	Książnica Pruszkowska im. Henryka Sienkiewicza	2018	221
Niby nic.. a tak wiele	Wieczorkowska, Ewa (1972- ). 		magazyn	Wydawnictwo Morpho	2018	138
Porozumienia dystrybucyjne w prawie konkurencji : Unia Europejska - Polska	Wijckmans, Frank. 	KJE6456 .W55 2018		Wolters Kluwer	2018	673
Solidarność 1980-1989 : polska droga do wolności	Terlecki, Ryszard (1949- ). 	DK4442 .T468 2018		Wydawnictwo AA	2018	302
Wynagradzanie pracowników samorządowych : przykłady wyliczania i wzory dokumentów	Terlikowska, Małgorzata. 	KKP2989 .T47 2018		INFOR PL	2018	144
Prawo pracy w praktyce	Terlecki, Radosław. 	KKP1270 .T47 2018		Wydawnictwo C. H. Beck	2018	521
W sieci pragnień	Terjanian, Sonya. 	PS3620.E73 O25165 2018		Wydawnictwo Albatros	2018	381
Ideał życia chrześcijańskiego w encyklikach Benedykta XVI: Deus caritas est i Spe salvi oraz w encyklice Franciszka Lumen fidei (aspekt biblijny)	Tonkowicz, Jacek. 	BX2350.3 .T66 2018		[wydawca nieznany]	2018	540
Arabska krew. Cz. 2	Valko, Tanya (1963- ). 		magazyn	Ringier Axel Springer Polska	2018	411
Poczucie podmiotowości pedagogów szkolnych a ich osobowościowe wyznaczniki pracy	Wierzejska, Joanna. 	LB1775.4.P7 W534 2018		Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej	2018	323
Rozeznawanie duchowe : sztuka świadomego życia	Thibodeaux, Mark E. 	BV5083 .T45165 2018		Wydawnictwo WAM	2018	264
Wychowanie maluszka od urodzenia do trzeciego roku życia : poradnik dla rodziców i opiekunów	Wegner-Jezierska, Magdalena (1974- ). 	HQ769 .W44 2018		Wydawnictwo Harmonia	2018	157
W cieniu posthistorii : wprowadzenie do filozofii Viléma Flussera	Wiatr, Przemysław. 	B1044.F574 W53 2018		Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika	2018	404
Bydgoszcz movie	Wichrowska, Magdalena M. (1980- ). 	PN1993.5.P552 B938 2018		Wydawnictwo Naukowe Grado	2018	288
Zgniłe jabłka, zepsute skrzynki i złe powietrze : dysfunkcje w Służbie Bezpieczeństwa w latach siedemdziesiątych i osiemdziesiątych XX wieku	Wicenty, Daniel (1977- ). 	HV8227.7.A2 W53 2018	magazyn	Instytut Pamięci Narodowej. Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu	2018	510
Wielka Uczta - Eucharystia w życiu i nauczaniu ks. Aleksandra Woźnego	Woźny, Aleksander (1910-1983). 		magazyn	Wydawnictwo Kontekst	2018	155
Buenos Aires-Gwatemala-Montevideo-Nowy Jork-Paryż : listy do Jana Nowaka-Jeziorańskiego i innych : Andrzej Bobkowski, Maria i Józef Czapscy, Kazimierz Dejmek, Witold Gombrowicz, Konstanty A. Jeleński, Czesław Straszewicz, Tymon Terlecki, Kazimierz Wierzyński, Józef Wittlin	Wejs-Milewska, Violetta (1960- ). 		magazyn	Wydawnictwo Prymat, Mariusz Śliwowski	2018	376
Pamiętnik poety	Wierzyński, Kazimierz (1894-1969). 	PG7158.W422 A36 2018		Państwowy Instytut Wydawniczy	2018	538
Ostatni dyżur	Wahlberg, Karin (1950- ). 		magazyn	[Bellona]	2018	380
Formy zatrudnienia i ich dokumentacja w kościołach i innych związkach wyznaniowych	Wolnicki, Paweł. 	KKP1435.C48 W65 2018		Wydawnictwo im. S. Podobińskiego Akademii im. Jana Długosza	2018	309
Romantyczność	Wolff, Mateusz Marek (1991- ). 		magazyn	Sowello	2018	103
Głosy	Urbankowski, Bohdan (1943- ). 	PG7221.R28 G56 2018	magazyn	Państwowy Instytut Wydawniczy	2018	454
