title	author	WD_signature	storage	publisher	year	pages
"Ja w społeczeństwie : materiały dydaktyczne dostarczone w ramach projektu ""Pracownie Kształtowania Kompetencji Kluczowych i Zawodowych - kompleksowy program rozwojowy dla Technikum Leśnego w Zespole Szkół Leśnych im inż. J. Kloski w Goraju"""			magazyn	Instytut Nauk Społeczno-Ekonomicznych, 	2012	100
Affectivity and its vicissitudes in contemporary humanities and social sciences		B105.E46 A34 2012		Instytut Filozofii i Socjologii PAN, 	2012	239
Consequences of world economic crisis for Poland and Central East Europe		HC340.3 .C63 2012		Wydawnictwo Uniwersytetu Ekonomicznego, 	2012	184
Współczesne wyzwania myśli niepodległościowej : Konferencja Świętokrzyska, maj 2012 : (materiał pokonferencyjny)		JN6760 .W84 2012		Wydawnictwo Polskie IHOO, 	2012	219
Synergia a dobro wspólne : wybrane zagadnienia z psychologii kierowania		HF5548.8 .S95 2012		Wyższa Szkoła Biznesu-National Louis University, cop. 	2012	319
Dokument w sztuce współczesnej		PN1995.9.D6 D62 2012		Wyższa Szkoła Nauk Humanistycznych i Dziennikarstwa, 	2012	311
Świat wiejskich wartości źródłem mojego wzrastania : XI edycja konkursu, Lublin 2012 : praca zbiorowa gimnazjalistów			magazyn	Episteme, 	2012	119
Parlament w państwach Grupy Wyszehradzkiej : problemy metodologiczno-teoretyczne : praca zbiorowa		JN96.A71 P37 2012		REMAR, 	2012	169
Konstytucja Rzeczypospolitej Polskiej z 1997 r. : ciągłośc i zmiana		KKP2070 .K6657 2012		Dom Wydawniczy Elipsa, 	2012	340
W dyskursie pedagogicznym i edukacyjnym doby współczesnej		LB14.7 .W24 2012		Wydawnictwo Państwowej Wyższej Szkoły Techniczno-Ekonomicznej im. ks. Bronisława Markiewicza, 	2012	361
Zawodowe i zdrowotne problemy człowieka w różnych okresach dorosłości : perspektywa psychologiczna		HQ799.95 .Z37 2012		Gdańska Wyższa Szkoła Humanistyczna, 	2012	391
Matka Jezusa w dialogu ekumenicznym : implikacje teologiczno-filozoficzne		BX9.5.M37 M38 2012		Uniwersytet im. Adama Mickiewicza. Wydział Teologiczny. Redakcja Wydawnictw, 	2012	183
Uniwersalne wartości kultury w edukacji i terapii		LB41 .U55 2012		Wydawnictwo WAM, 	2012	465
Siećpospolita : elektroniczne usługi administracji publicznej.			magazyn	Kancelaria Prezydenta Rzeczypospolitej Polskiej, 	2012	166
Logical, statistical and computer methods in medicine		R859.7.D35 L6423 2012	magazyn	University of Białystok, 	2012	192
Zarządzanie organizacjami usługowymi		HD9980.5 .Z383 2012		Wydawnictwo Uniwersytetu Ekonomicznego, 	2012	531
Kultura jako przestrzeń edukacyjna - współczesne obszary uczenia się osób dorosłych		LC5215 .K85 2012		"Oficyna Wydawnicza ""Impuls"", "	2012	171
Confronting the burden of history : literary representations of the past		PN3343 .C65 2012		Towarzystwo Autorów i Wydawców Prac Naukowych UNIVERSITAS, 	2012	225
Wzornictwo ogrodowe 2012		SB470.5 .W962 2012		Szkoła Główna Gospodarstwa Wiejskiego. Katedra Sztuki Krajobrazu, 	2012	280
Virginibus puerisque. T. 2, Z zagadnień wychowania i opieki nad dzieckiem w XVIII-XX wieku		LA841 .V57 2011 t.2		Wydawnictwo Uniwersytetu Jana Kochanowskiego, 	2012	341
Gdańskie Gimnazjum Akademickie. T. 5, Źródła i artykuły		LF4208.G38 G36 2008 t.5		Wydawnictwo Uniwersytetu Gdańskiego, 	2012	225
Program przeciwdziałania przemocy w rodzinie w województwie podlaskim na lata 2012-2015			magazyn	Regionalny Ośrodek Polityki Społecznej, 	2012	100
Rozważania wokół dylematów współczesnej pedagogiki		LA841 .R676 2012		Wydawnictwo Państwowej Wyższej Szkoły Zawodowej, 	2012	333
Metropolia jest okey! : święto kultury metropolii		NX571.P62 G436 2012		Nadbałtyckie Centrum Kultury], 	2012	239
Prezydencja w Radzie Unii Europejskiej : bilans polskich doświadczeń : materiały z konferencji, KSAP, 11 stycznia 2012 r.		JN34 .P725 2012		Krajowa Szkoła Administracji Publicznej, 	2012	113
Język nowej literatury		PG7055 .J49 2012		Primum Verbum, 	2012	144
Zarządzanie zmianą jako stały element polityki ekonomicznej firmy : rekomendacja		HD58.8 .Z39 2012		Instytut Nauk Społeczno-Ekonomicznych, 	2012	124
Podstawy mikro- i makroekonomii : problemy, testy, zadania		HB74.6 .P68 2012		Wydawnictwo Uniwersytetu Przyrodniczego, 	2012	339
Katalog Katedry Sztuki Krajobrazu : prace 2011-2012 rok		SB470.55.P7 K37 2012		Katedra Sztuki Krajobrazu. Wydział Ogrodnictwa i Architektury Krajobrazu. Szkoła Główna Gospodarstwa Wiejskiego, 	2012	288
Metafizyka, fenomenologia, realizm		B29 .M45 2012		Polskie Forum Filozoficzne, 	2012	258
"Wierni do końca : studia i materiały źródłowe o ""Poznańskiej Piątce"" męczenników II wojny światowej"			magazyn	Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu. Oddział, 	2012	210
Nowa wielka gra w regionie Azji Centralnej		JZ1711.5 .N68 2012		Instytut Europy Środkowo-Wschodniej, 	2012	197
Analiza wielowymiarowa w badaniach społeczno-ekonomicznych		HB137 .A53 2012		Wydawnictwo Uniwersytetu Ekonomicznego, 	2012	175
Kultura popularna w Polsce w latach 1944-1989 : problemy i perspektywy badawcze		DK4437 .K84 2012		Instytut Badań Literackich PAN. Wydawnictwo, 	2012	266
Mały słownik łacińsko-polski		PA2365.P6 M34 2012		Wydawnictwo Szkolne PWN, dr. 	2012	656
Msza święta		BX1970 .M97 2012 t.3		Wydawnictwo Diecezjalne i Drukarnia, 	2012	432
Selected aspects of disablement			magazyn	Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej, 	2012	219
Represje wobec żeńskich zgromadzeń zakonnych w PRL : zagadnienia wybrane		BX4220.P7 R46 2012		Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu. Oddział w Katowicach, 	2012	224
Ewaluacja : poradnik dla pracowników administracji publicznej		JF1525.O74 E93 2012		Ministerstwo Rozwoju Regionalnego. Departament Koordynacji Polityki Strukturalnej, 	2012	119
Procesy integracyjne i dezintegracyjne we współczesnej gospodarce. Cz. 2, Integracja i dezintegracja instytucjonalna				Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika, 	2012	228
Nutritional behaviour of adolescents and adults			magazyn	Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej, 	2012	110
Badanie i metody badania elementów systemów transportowych			magazyn	Oficyna Wydawnicza Politechniki Warszawskiej, 	2012	129
Innowacje w przedsiębiorstwie : wybrane aspekty		HD45 .I563 2012		Szkoła Główna Handlowa w Warszawie - Oficyna Wydawnicza, 	2012	133
Oko i myśl : o Zdzisławie Kępińskim		N7483.K46 O55 2012		Poznańskie Towarzystwo Przyjaciół Nauk, 	2012	203
Oncology as a challenge for modern medicine			magazyn	Państwowa Szkoła Wyższa im. Papieża Jana Pawła II w Białej Podlaskiej, 	2012	120
Przedsiębiorczość - natura i atrybuty. T. 1		HB615 .P7833 2012 t.1		Państwowa Wyższa Szkoła Zawodowa im. prof. Stanisława Tarnowskiego, 	2012	352
Creative industry manager : technical knowledge non-technical skills		HD38.2 .C74 2012		Wydawnictwo Politechniki Łódzkiej, 	2012	196
Advances in Titicaca basin archaeology-III		F3319.1.T57 A38 2005 t.3		University of Michigan. The Museum of Anthropology, 	2012	318
Zum Ausrotten (na wyniszczenie) : wojennne losy dzieci wronieckich cel 1939-1945			magazyn	"Wydawnictwo ""Rys"", "	2012	123
Dependability in complex system modelling			magazyn	Oficyna Wydawnicza Politechniki Wrocławskiej, 	2012	217
Mediatyzacja : analiza zjawiska i wybranych studiów przypadków		P94 .M457 2012	magazyn	Collegium Civitas Press, 	2012	128
Procesy integracyjne i dezintegracyjne we współczesnej gospodarce. Cz. 3, Procesy integracyjne i dezintegracyjne w Unii Europejskiej				Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika, 	2012	123
Trendy i koncepcje w marketingu i sprzedaży business-to-business		HF5415.1263 .T74 2012		Wydawnictwo Uniwersytetu Ekonomicznego, 	2012	294
Administracja publiczna a ochrona przyrody : zagadnienia ekonomiczne, społeczne oraz prawne		KKP3128.A67 A93 2012		Uniwersytet Przyrodniczo-Humanistyczny, 	2012	397
Biologia : podręcznik : liceum ogólnokształcące : zakres rozszerzony. T. 5		QH308.7 .B545 2009 t.5		Wydawnictwo Szkolne PWN, 	2012	280
Współczesne wyzwania dla gospodarki turystycznej		G155.P7 W77 2012		Wydawnictwo Uniwersytetu Ekonomicznego, 	2012	186
Przedsiębiorczość - natura i atrybuty. T. 2		HB615 .P7833 2012 t.2		Państwowa Wyższa Szkoła Zawodowa im. prof. Stanisława Tarnowskiego, 	2012	485
"Balsam dla duszy walczącej z rakiem : 101 opowieści o odwadze, wsparciu i miłości oraz dodające otuchy zapiski Elizabeth Bayer ""To tylko słowo"""		RC265.5 .C44165 2012		Dom Wydawniczy Rebis, 	2012	495
Closing the gap? : military co-operation from the Baltic Sea to the Black Sea			magazyn	Ośrodek Studiów Wschodnich im. Marka Karpia, 	2012	113
Protestantyzm potępiony przez papieży		BX4818.3 .P76 2012		Wydawnictwo Diecezjalne i Drukarnia, 	2012	288
Socjologia religii : antologia tekstów		BL60 .S637 2012		"Zakład Wydawniczy ""Nomos"", "	2012	535
Kryzys Unii Europejskiej : polska i czeska perspektywa		JN30 .K79 2012	magazyn	Ośrodek Myśli Politycznej, 	2012	314
Rak jelita grubego		RC280.I5 R34 2012		Termedia Wydawnictwa Medyczne, cop. 	2012	383
Janów Pomorski, stan. 1 : wyniki ratowniczych badań archeologicznych w latach 2007-2008. T. 2, Od późnego okresu wędrówek ludów do nowożytności = Janów Pomorski, site 1 : archaeological rescue excavations in 2007-2008. Vol. 2, From the late migration period to the modern era		DK4800.J353 S78 2012 t.1 cz.2		Muzeum Archeologiczno-Historyczne, 	2012	295
W regionie siła? : stan i perspektywy współpracy wojskowej wybranych państw obszaru od Morza Bałtyckiego do Morza Czarnego			magazyn	Ośrodek Studiów Wschodnich im. Marka Karpia, 	2012	111
Za miedzę, za morze, w zaświaty ... : kulturowe wymiary podróżowania		GT5220 .Z3 2012		Polskie Towarzystwo Ludoznawcze, 	2012	315
Polityka Europy Środkowej i Południowo-Wschodniej po 1989 roku		JN96.A58 C455165 2012		Książka i Wiedza, 	2012	589
Kryzys i co dalej?		HB179.P7 K763 2012		Szkoła Główna Handlowa. Oficyna Wydawnicza, 	2012	193
"""Wolność, czy zbrodnia?"" : rewolucja 1905-1907 roku w Łodzi na łamach gazety ""Rozwój"""		DK4388.L64 W65 2012		Wydawnictwo Uniwersytetu Łódzkiego, 	2012	354
Zastosowanie lnu i insuliny [!] w żywieniu i żywności : współczesne tendencje w produkcji żywności na tle wymogów zrównoważonego rozwoju obszarów wiejskich = The use of flax and inulin in nutrition and food production : modern trends in food production on the background of the sustainable development of rual areas : 5th International Scientific Conference : Lublin - Susiec, 30th May - 1st June, 2012 : monographic			magazyn	"Stowarzyszenie Rozwoju Regionalnego i Lokalnego ""Progress"", "	2012	175
Sto lat 1911-2011 Instytutu Przemysłu Fermentacyjnego prekursora Instytutu Biotechnologii Przemysłu Rolno-Spożywczego (IBPRS) w Warszawie		TP248.65.F66 S76 2012		Instytut Biotechnologii Przemysłu Rolno-Spożywczego, 	2012	290
Liberatura, e-literatura i... : remiksy, remediacje, redefinicje		PN56.I64 L53 2012		Wydawnictwo Uniwersytetu Opolskiego, 	2012	329
Miejsca święte, miejsca przeklęte : polskie doświadczenie przestrzeni : praca zbiorowa		DK4800.A1 M55 2012		"Oficyna Wydawnicza ""Stopka"", "	2012	438
Dystans społeczny wobec osób z niepełnosprawnością jako problem pedagogiki specjalnej. T. 1, Przyczyny - konsekwencje - przeciwdziałanie		HV1568 .D97 2012 t.1		Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej, 	2012	257
Relacje i wspomnienia osadników rejonu gminy Kotla		DK4600.K68896 R45 2012		[s.n.], 	2012	411
Muzea Wrocławia		AM70.P63 W7662 2012		Wydawnictwo Via Nova, cop. 	2012	144
Raport z wyników w województwie kujawsko-pomorskim : Narodowy Spis Powszechny Ludności i Mieszkań 2011		HB3608.7.K85 R38 2012		Urząd Statystyczny, 	2012	179
Z ograniczoną nieodpowiedzialnością : antologia Alternatywnego Elbląskiego Klubu Literackiego			magazyn	na zlec.: Stowarzyszenie Eurofamilia, 	2012	102
Ochrona zasobu archiwów kościelnych		CD1758.5.A1 O37 2012		Naczelna Dyrekcja Archiwów Państwowych. Departament Edukacji i Współpracy z Zagranicą, 	2012	229
Verba docent, exempla trahunt! : zum 80. Geburtstag von Norbert Morciniec			magazyn	Wydawnictwo Wyższej Szkoły Filologicznej, 	2012	113
Ekonomia, finanse i zarządzanie w świetle nowych wyzwań gospodarczych : wyniki badań młodych naukowców Kolegium Zarządzania i Finansów SGH		HC340.3 .E4976 2012		Oficyna Wydawnicza Szkoły Głównej Handlowej, 	2012	260
Jeremias Joseph Knechtel (1679-1750) - legnicki malarz doby baroku		ND588.K69 A4 2012		Muzeum Miedzi, 	2012	264
Powstanie '44 w komiksie : [antologia prac konkursowych 2011 : Archiwum historii mówionej			magazyn	Wydawnictwo Egmont Polska, cop. 	2012	142
20 lat Ogólnopolskiej Izby Gospodarki Nieruchomościami : biuletyn			magazyn	"Fundacja ""Pro Pomerania"", "	2012	194
Polska-Rosja : dialog kultur : tom poświęcony pamięci Profesor Jeleny Cybienko		PG7020.R8 P65 2012	magazyn	"""Studia Rossica"", "	2012	431
Instrukcja urządzania lasu. Cz. 3, Instrukcja techniczna sporządzania i wydruku map leśnych		SD217.P7 I57 2012 t.3	magazyn	na zlec. Dyrekcji Generalnej Lasów Państwowych, 	2012	279
"Człowiek wobec totalitaryzmu : od prostych recept do ""ostatecznego rozwiązania"""		D414 .C95 2012		Fundacja na Rzecz MDSM, 	2012	303
