title	author	WD_signature	storage	publisher	year	pages
Second language acquisition : critical concepts in linguistics. Vol. 5, Social dimensions of L2 learning		P118.2 .S43 2011 t.5		Routledge, 	2011	333
Stosowanie kary śmierci na Pomorzu Zachodnim w latach 1945-1956	Żukowski, Marek. 	KKP4990.P66 Z85 2011		Wydawnictwo Naukowe Grado, 	2011	646
Kolarstwo dolnośląskie 1945-1975 : kronika ilustrowana	Zajączkowski, Józef Maciej (1939- ). 	GV1040.5 .Z34 2011		"Studio Wydawniczo-Typograficzne ""Typoscript"", cop. "	2011	423
Polska prasa polityczno-informacyjna na Mazowszu Północnym w latach 1918-1939	Żuławnik, Mariusz. 	PN5355.P6 Z8598 2011	magazyn	Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu, 	2011	252
Socjalizacja w kategoriach wieku społecznego : dorosłość i starość : standaryzacja socjalizacji inkluzyjnej : przewodnik i teksty do ćwiczeń z socjologii wychowania		HQ799.95 .S63 2011		Państwowa Wyższa Szkoła Zawodowa im. Jana Amosa Komeńskiego, 	2011	194
Zmiany klimatyczne : impas i perspektywy : punkt widzenia krajów globalnego Południa		QC903 .C47165 2011		Polska Akcja Humanitarna, 	2011	219
Powiat ostrołęcki : szlacheckie zaścianki i kurpiowska puszcza : przewodnik turystyczny	Żerański, Marcin (1974- ). 		magazyn	Pracownia na Pastwiskach, 	2011	192
Kodeks postępowania karnego : z hasłami i skorowidzem			magazyn	Wolters Kluwer Polska, cop. 	2011	534
Prawa lekarza	Zajdel-Całkowska, Justyna. 	KKP3100 .Z344 2011		Progress, 	2011	126
Nowe zarządzanie publiczne	Zawicki, Marcin (1972- ). 	JF1358.P6 Z42 2011		Polskie Wydawnictwo Ekonomiczne, 	2011	153
Spory wokół teorii i praktyki państwa prawa		K160 .S66 2011	magazyn	Lex a Wolters Kluwer business, 	2011	154
Koncepcje i praktyka działania społecznego w pracy socjalnej		HV40 .K656 2011		Wydawnictwo Uniwersytetu Warmińsko-Mazurskiego, cop. 	2011	218
Imperium hańby	Ziegler, Jean (1934- ). 	HF1359 .Z54165 2011		Instytut Wydawniczy Książka i Prasa, 	2011	351
Wody kwaśno-żeleziste w Krynicy pod względem przyrodzonych własności fizycznych, chemicznych i lekarskich, z porównaniem innych wód żelezistych i kwaśnych tak krajowych jak zagranicznych, dla lekarzy i dla chorych	Żuławski, Leon (1816-1869). 	RA887.P6 Z85 2011	magazyn	"""Secesja"", cop. "	2011	142
Komunikacja i edukacja : ku synergiczności porozumiewania się		LB1033.5 .K66 2011		Wydawnictwo Adam Marszałek, 	2011	316
Niebieskie migdały	Zyskowska-Ignaciak, Katarzyna (1979- ). 	PG7226.Y75 N54 2011		"Wydawnictwo ""Nasza Księgarnia"", "	2011	297
The crusades and the Near East		D159 .C8 2011		Routledge, 	2011	271
Language, culture and the dynamics of age		P40 .L35 2011	magazyn	De Gruyter Mouton, cop. 	2011	378
The Routledge history of the Holocaust		D804.3 .R68 2011		Routledge, 	2011	516
Siły powietrzne w systemie bezpieczeństwa narodowego	Załęski, Krzysztof (1957- ). 	UG635.P7 Z35 2011		nakł. Akademii Obrony Narodowej, 	2011	255
Rozmaitości filozoficzne	Ziemiański, Stanisław (1931- ). 	B67 .Z54 2011		Petrus, cop. 	2011	285
Zmierzch telewizji? : przemiany medium : antologia		PN1992.55 .Z55 2011		Wyższa Szkoła Zarządzania Ochroną Pracy, 	2011	369
Kultura polityczna więzi w Azji Centralnej : (przypadek Kirgistanu na tle państw regionu)	Załęski, Piotr (politologia). 	JQ1092.A91 Z35 2011	magazyn	Oficyna Wydawnicza ASPRA-JR, 	2011	492
Tobit : powieść z czasów Jezusa	Zitelmann, Arnulf (1929- ). 	PT2688.I75 I3165 2011		Wydawnictwo WAM, 	2011	273
Uwarunkowania użycia sił powietrznych w systemie bezpieczeństwa narodowego	Załęski, Krzysztof (1957- ). 	UG635.P7 Z37 2011		Wydawnictwo Wyższej Szkoły Oficerskiej Sił Powietrznych, 	2011	298
Mistrzowie literatury czy dziennikarstwa?		PN4759 .M57 2011	magazyn	Wydawnictwo Poltext, 	2011	229
Moralność i władza jako kategorie myśli politycznej		JA79 .M69 2011	magazyn	Lex a Wolters Kluwer business, 	2011	470
Alternative fuels for transportation		TL216.5 .A58 2011		CRC Press, 	2011	445
Oblicza terroryzmu		HV6431 .O24 2011		Konsorcjum Akademickie Wydawnictwo, 	2011	239
The Polish Sejm : an overview		JN6763 .P6263 2011	magazyn	Sejm Publishing Office, 	2011	204
Wybór tekstów			magazyn	Wydawnictwo Naukowe Uniwersytetu Papieskiego Jana Pawła II, 	2011	255
Controlling w działalności przedsiębiorstwa		HG4026 .C62 2011		Polskie Wydawnictwo Ekonomiczne, 	2011	382
Kodeks karny wykonawczy : z hasłami i skorowidzem			magazyn	Wolters Kluwer Polska, cop. 	2011	282
Droga inwestora : chciwość i strach na rynkach finansowych	Zalewski, Grzegorz. 	HG4515.15 .Z345 2011		Linia, 	2011	151
Ostatnie słowo	Żuławski, Andrzej (1940-2016). 	PN1998.3.Z77 A5 2011		Wydawnictwo Czerwone i Czarne, 	2011	240
Konstytucja Rzeczypospolitej Polskiej i inne akty prawne : teksty jednolite		KKP2064 2011		Wydawnictwo C. H. Beck, 	2011	374
An assessment of the global impact of the financial crisis		HB3717 2008 .A87 2011		Palgrave Macmillan, 	2011	270
Human memory. Vol. 3, Fundamentals of human memory		BF371 .H86 2011 t.3		SAGE Publications, 	2011	380
Świadczenia pracownicze w ujęciu podatkowym : problemy praktyczne	Zieleń, Sławomir. 	KKP3584 .Z54 2011		Oficyna Wydawnicza UNIMEX, 	2011	525
Życie : przewodnik praktyczny : 16 wywiadów Dużego Formatu	Zaborek, Dariusz (1963- ). 	CT1230 .Z32 2011		Agora, 	2011	364
Markery molekularne : podstawy dla studentów kierunków technicznych	Ziembińska-Buczyńska, Aleksandra. 	QH438.4.B55 Z54 2011		Wydawnictwo Politechniki Śląskiej, 	2011	103
Podstawy prawa dla ekonomistów		KKP68 .P62 2011	magazyn	Oficyna a Wolters Kluwer business, 	2011	259
Rozwój polskiej i ukraińskiej myśli pedagogicznej na przestrzeni XIX-XX wieku		LA841 .R68 2011 t.1		Oficyna Wydawnicza Atut - Wrocławskie Wydawnictwo Oświatowe, 	2011	300
Ziemia iłowska dawniej i dziś	Zientara, Wiesława. 	DK4600.I46 Z54 2011		Wydawnictwo Korepetytor Marian Gałczyński , 	2011	270
Rozmowy z Rafałem	Żurowski, Andrzej (1944-2013). 	PG7185.U75 R69 2011		Fundacja Światło Literatury, 	2011	171
Waldorfski program nauczania : cele i zadania edukacyjne oraz treści nauczania : wersja angielska		LB1029.W34 E48165 2011		"Oficyna Wydawnicza ""Impuls"", "	2011	559
Biskup krakowski kontra król	Żerek, Dariusz. 		magazyn	Wydawnictwo Poligraf, cop. 	2011	109
Przeciwdziałanie zagrożeniom terrorystycznym w Polsce		HV6433.P7 P79 2011		Jografika, 	2011	348
Propaganda - współczesne oblicza : technologia zabójstwa medialnego	Znyk, Paweł. 	P96.P722 P796 2011	magazyn	"Bracia Zybert APR ""Gryf"", cop. "	2011	249
W harmonii z naturą : elementy ekologii w pedagogice i sztuce			magazyn	Wydawnictwo WAM, 	2011	261
Rynek sztuki : aspekty prawne		KKP3169 .R96 2011	magazyn	Lex a Wolters Kluwer business, 	2011	307
Wkurzam salon	Ziemkiewicz, Rafał Aleksander (1964- ). 	PG7185.I3795 Z47 2011		Wydawnictwo Czerwone i Czarne, 	2011	263
Rozkwit średniowiecza		D200 .C46165 2011	magazyn	Świat Książki, 	2011	349
Złote serca czy złote żniwa? : studia nad wojennymi losami Polaków i Żydów		DS134.55 .Z57 2011	magazyn	The Facto, 	2011	391
Polityka kohezji i konwergencja gospodarcza regionów Polski oraz krajów Unii Europejskiej : wybrane zagadnienia		HC240 .P645 2011		Difin, 	2011	184
Nacjonalizm, etniczność i wielokulturowość na Bliskim i Dalekim Wschodzie		DS63.5 .N33 2011		Wydawnictwo Uniwersytetu Jagiellońskiego, cop. 	2011	283
Seriale : przewodnik krytyki politycznej		PN1992.8.S4 S47 2011		Wydawnictwo Krytyki Politycznej, 	2011	319
Human memory. Vol. 4, Memory in everyday life		BF371 .H86 2011 t.4		SAGE Publications, 	2011	322
Spacerem po filozofii	Ziemiański, Stanisław (1931- ). 	B29 .Z54 2011	magazyn	Petrus, cop. 	2011	275
Semiotics : critical concepts in language studies. Vol. 1, Philosophy		P99 .S39 2011 t.1		Routledge, 	2011	372
Sługa Boży o. Piotr Semenenko CR i zmartwychwstańcza szkoła duchowości : materiały z sympozjum, Centrum Resurrectionis, Kraków, 15 marca 2011 r.			magazyn	Wydawnictwo Naukowe Uniwersytetu Papieskiego Jana Pawła II, 	2011	172
Siły powietrzne państw NATO : stan obecny i kierunki rozwoju	Załęski, Krzysztof (1957- ). 	UG635.E85 Z35 2011		Wydawnictwo Wyższej Szkoły Oficerskiej Sił Powietrznych, 	2011	290
Międzynarodowe stosunki polityczne : wybrane problemy	Załęski, Krzysztof (1957- ). 	JZ1242 .Z34 2011		Wydawnictwo Wyższej Szkoły Oficerskiej Sił Powietrznych, 	2011	518
Prawo zamówień publicznych wraz z indeksem rzeczowym		KKP2754.A32004 A4 2011		Wydawnictwo C. H. Beck, cop. 	2011	157
Przyjemność w kulturze epoki rozumu		DK4314.5 .P79 2011	magazyn	Wydawnictwo DiG, 	2011	332
Modele postępowań upadłościowych w Polsce i wybranych krajach UE		KJC4353 .M63 2011		"Agnieszka Wierzbicka ""Oficyna Prawa Polskiego, cop. "	2011	379
Schudnij zdrowo : autorski program przeciwdziałania otyłości	Zielińska, Katarzyna. 		magazyn	Świat Książki Bertelsmann Media, 	2011	270
Polskie kino dokumentalne 1989-2009 : historia polityczna		PN1995.9.D6 P65 2011	magazyn	Wydawnictwo Krytyki Politycznej, 	2011	173
"""Trwali oni w nauce Apostołów i we wspólnocie, w łamaniu chleba i modlitwach "" : antologia"			magazyn	Książnica Podlaska im. Łukasza Górnickiego, 	2011	153
