title	author	WD_signature	storage	publisher	year	pages
"Edukacyjne obszary ""głębokiej zmiany"" w dialogu i perspektywie"		LB41 .E389 2005		Trans Humana Wydawnictwo Uniwersyteckie, 	2005	420
Wybór aktów prawnych do nauki prawa konstytucyjnego				"""Liber"", "	2005	510
Portret z początku wieku : twórczość Zbigniewa Herberta - kontynuacje i rewizje : studia		PG7167.E64 Z825 2005		"Wydawnictwo Archidiecezji Lubelskiej ""Gaudium"", "	2005	451
Prawo papierów wartościowych		KKP475 .S97 2001 t.18		Instytut Nauk Prawnych PAN, 	2005	406
Metateoretyczne problemy literaturoznawcze : praca zbiorowa		PN441 .M38 2005		"Oficyna Wydawnicza ""Atut"" - Wrocławskie Wydawnictwo Oświatowe, "	2005	214
Region, kraj, świat : studia ofiarowane profesorowi Stanisławowi Tadeuszowi Olejnikowi w siedemdziesiątą rocznicę urodzin			magazyn	Naukowe Wydawnictwo Piotrkowskie, 	2005	526
Nowe tendencje w teorii i praktyce urządzania obszarów wiejskich : finansowanie rozwoju obszarów wiejskich po wejściu Polski do Unii Europejskiej		HD1995.7.Z8 N69 2005		Wydawnictwo Uniwersytetu Warmińsko-Mazurskiego, cop. 	2005	334
Okupacja sowiecka ziem polskich 1939-1941		D802.P6 O4 2005	magazyn	Instytut Pamięci Narodowej - Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu, 	2005	248
Traktat w sprawie przystąpienia Królestwa Danii, Irlandii, Królestwa Norwegii oraz Zjednoczonego Królestwa Wielkiej Brytanii i Irlandii Północnej do Europejskiej Wspólnoty Gospodarczej i Europejskiej Wspólnoty Energii Atomowej. Traktat zmieniający niektóre postanowienia Protokołu w sprawie Statutu Europejskiego Banku Inwestycyjnego. Traktat zmieniający niektóre postanowienia finansowe Traktatu ustanawiającego Wspólnoty Europejskie oraz Traktatu ustanawiającego jedną Radę i jedną Komisję Wspólnot Europejskich. Akt dotyczący wyboru przestawicieli do Zgromadzenia w powszechnych wyborach bezpośrednich. Decyzja Rady 76/787/EWWiS, EWG, EURATOM 		KJE4442.3 .T73 2004 t.2		Urząd Komitetu Integracji Europejskiej, cop. 	2005	357
Rok 1914 w dokumentach i relacjach		DK4390 .R65 2005		Fundacja Centrum Dokumentacji Czynu Niepodległościowego, 	2005	207
Wieś w Polsce Ludowej		HN537.5 .W54 2005		Wydaw. Akademii Świętokrzyskiej, 	2005	181
System ochrony praw człowieka		K3240 .S97 2005		"""Zakamycze"", "	2005	367
Wprowadzenie do rachunkowości : podręcznik z przykładami, zadaniami i testami		HF5653 .W68 2005		Oficyna Ekonomiczna, 	2005	598
Prawo dyplomatyczne i konsularne : wybór dokumentów		KZ4078 .P73 2005		Lubelskie Wydawnictwa Prawnicze, 	2005	463
"Materiały z konferencji naukowej ""Aktualne problemy w realizacji praw człowieka na arenie międzynarodowej, krajowej i regionalnej"""		K3239.8 .M38 2005		UAM, 	2005	151
Funkcje obszarów wiejskich		HT443.P7 F85 2005		Wydawnictwo Akademii Świętokrzyskiej im. Jana Kochanowskiego, 	2005	361
Badanie - dojrzewanie - rozwój : (na drodze do doktoratu) : wybrane aspekty doboru próby badawczej		LB1028 .B328 2005		Akademia Podlaska. Instytut Pedagogiki, 	2005	291
Drogi i bezdroża polskiej oświaty w latach 1945-2005 : próba wybiórczo-retrospektywnego spojrzenia		LA841 .D69 2005	magazyn	"Dom Wydawniczy ""Elipsa"", "	2005	198
Bariery i strategia rozwoju polskiej gospodarki morskiej 2005 : materiały z konferencji zorganizowanej przez Komisję Skarbu Państwa i Infrastruktury pod patronatem Marszałka Senatu RP prof. Longina Pastusiaka 9 marca 2005 r.		HE848.7 .B37 2005		Kancelaria Senatu, 	2005	147
Kultura polityczna w Polsce : praca zbiorowa. (T. 4), Swoi i obcy. Cz. 2		JN6766 .K88 1996 t.4 cz.2		Uniwersytet im. Adama Mickiewicza. Instytut Nauk Politycznych i Dziennikarstwa, 	2005	205
Evaluation of ecological consequences of development scenarios for the Vistula River Valley : Vistula Econet Development and Implementation VEDI : [abstract]		QH162 .E93 2005		[Centrum Badań Ekologicznych PAN], 	2005	127
Ustawa o systemie oświaty		KKP3138.A31991 A4 2005b		Polskie Wydawnictwo Prawnicze IURIS, 	2005	154
Nowy słownik angielsko-polski, polsko-angielski		PG6640 .N68 2005		Wydawnictwo Naukowe PWN, 	2005	520
Podstawy ekonomii		HB179.P7 P63 2005	magazyn	Wydawnictwo Naukowe PWN, 	2005	553
Wojskowe wsparcie władz cywilnych i społeczeństwa		UH725.P7 W65 2005		AON - Wydział Wydawniczy, 	2005	251
Niezapomniana przygoda : przewodnik do sponsorowania Alateen : zbiór doświadczeń, siły i nadziei sponsorów i członków Alateen.		HV5132 .G85165 2005		Stowarzyszenie Służb Grup Rodzinnych Al-Anon, 	2005	171
Rachunkowość budżetowa 2005 : zbiór przepisów z wprowadzeniem		KKP3528.3 .A28 2005b		C. H. Beck, 	2005	392
"Rozmowy o ""Dziadach"""		PG7158.M5 D973 2005		Oficyna Wydawnicza Errata, 	2005	153
Ład korporacyjny		HD2741 .C667165 2005		K.E. Liber, 	2005	302
Międzykulturowe konteksty edukacji muzycznej		MT1 .M54 2005		Wydawnictwo Pomorskiej Akademii Pedagogicznej, 	2005	241
New world order : economic, social and political tendencies at the beginning of third millennium. Vol. 2		HC59.15 .N53 2005 t.2		Lodz University Press, 	2005	390
