title	author	WD_signature	storage	publisher	year	pages
Rzeczywistość	Kowalewska, Sabina Alicja. 		magazyn	Książnica Podlaska im. Łukasza Górnickiego, [ca 	2005	141
Spadochrony i pocałunki	Jong, Erica (1942- ). 	PS3560.O56 P37165 2004		Zysk i S-ka, cop. 	2004	495
Szachinszach	Kapuściński, Ryszard (1932-2007). 		magazyn	Czytelnik, 	2004	162
Podręczny polsko-angielski słownik handlu zagranicznego = Handy Polish-English foreign trade dictionary	Kapusta, Piotr (ekonomia). 	HF1373 .K37 2004		Dr Lex, 	2004	295
Prawo zamówień publicznych z wprowadzeniem	Kotula, Marcin. 	KKP2754.A32004 A4 2004f		Ośrodek Doradztwa i Doskonalenia Kadr, 	2004	114
Współwłasność jako szczególna forma własności : problematyka i wzory pism	Karnicka-Kawczyńska, Agata. 	KKP674 .K37 2004		Wydaw. Prawnicze LexisNexis, 	2004	324
Proste jest moje zadanie	Kempny, Roman (1954-2002). 		magazyn	Gość Niedzielny, 	2004	390
Gmina Łubianka : historia i współczesność	Kowalski, Ryszard (1969- ). 	DK4600.L776 K68 2004		Polskie Wydaw. Reklamowe, 	2004	184
Ustrój sądów powszechnych : komentarz	Korózs, Łucja. 	KKP1582.A32001 K67 2004		C.H. Beck, 	2004	318
Niechciana seksualność : o ludzkich potrzebach osób niepełnosprawnych intelektualnie	Kościelska, Małgorzata (1944- ). 	HQ30.5 .K67 2004		Jacek Santorski & Co, cop. 	2004	156
Marketing w teorii i praktyce	Kotra, Kazimiera. 	HF5415 .K63 2004		Wydawnictwo Wyższej Szkoły Bankowej, 	2004	368
Już dzień się nachylił do czterech krańców świata : (wiersze)	Karabovič, Tadej (1959- ). 	PG3949.21.A68 A575 2004		Liber, 	2004	157
Karaj kiuńlari : dziedzictwo narodu karaimskiego we współczesnej Europie = Nasledie karaimov v sovremennoj Evrope	Karaj Kiuńlari (1 ; 2003 ; Warszawa). Seminarium. 	DK34.K29 K37 2003		Bitik , 	2004	329
