title	author	WD_signature	storage	publisher	year	pages
Ścieżka ekologiczna w klasach 4-6 szkoły podstawowej : scenariusze zajęć	Jakieła, Grażyna. 		magazyn	"Wydawnictwo ""Zielone Brygady"" Fundacja Wspierania Inicjatyw Ekologicznych, ["	2005	100
Kronika Parafii św. Jakuba w Dłużynie do 1945 roku oraz dawnej parafii w Charbielinie	Grzelak, Leszek (1949- ). 		magazyn	Wydaw. Rys, 	2004	255
Wyjaśniamy dzieciom Mszę świętą : w znakach, opowiadaniach i zabawach	Hoffsümmer, Willi (1941- ). 		magazyn	Jedność, 	2004	129
Życie codzienne w Tokio : 1990-2004	Hałasa, Dorota (1966- ). 	DS896.5 .H35 2004	magazyn	Dialog, 	2004	194
"Szkice o paryskiej ""Kulturze"""	Hofman, Iwona. 	PN5355.P6 Z935546 2004		Wydawnictwo Adam Marszałek, cop. 	2004	250
Cmentarz ewangelicki w Białej	Janoszek, Ewa (1972- ). 	DK4800.B57 J36 2004		Wydział Kultury i Sztuki Urzędu Miejskiego, 	2004	196
Conditions of work in the fishing sector : the constituents' views : fifth item on the agenda : International Labour Conference, 92nd Session, 2004	International Labour Conference (92 ; 2004 ; Genewa). 	HD8039.F65 I582 2004		ILO, 	2004	259
International Criminal Court = Międzynarodowy Trybunał Karny  : powstanie, organizacja, jurysdykcja, akty prawne	Izydorczyk, Jacek (1972- ). 	KZ7312 .I98 2004	magazyn	"Kantor Wydawniczy ""Zakamycze"", "	2004	630
Kuchnia żydowska : przepisy i opowieści z całego świata	Hyman, Clarissa. 		magazyn	Rosner i Wspólnicy, 	2004	160
Zbyt dużo blondynek	Henderson, Lauren (1966- ). 	PR6058.E4929 T66165 2004		Dom Wydawniczy Bellona, cop. 	2004	281
Administracja publiczna : zagadnienia ogólne	Izdebski, Hubert (1947- ). 	JF1358.P6 I96 2004	magazyn	"""Liber"", "	2004	396
Pierwsze kroki w świadomy sen	Jędrzejczyk, Janusz Konrad. 		magazyn	Studio Astropsychologii, 	2004	169
Kraków w koronie	Jenner, Zygmunt (1921-2006). 	PG7169.E353 K73 2004		Towarzystwo Słowaków w Polsce, 	2004	261
Zdobędziesz miłość, jakiej pragniesz : [uczyń ze swego związku źródło miłości i przyjaźni]	Hendrix, Harville. 	HQ734 .H46165 2004		Dom Wydawniczy Rebis, 	2004	317
21st International Congress of Theoretical and Applied Mechanics : August 15-21, 2004, Warsaw, Poland : ICTAM04, abstracts and CD-ROM proceedings	International Congress of Theoretical and Applied Mechanics (21 ; 2004 ; Warszawa). 			IPPT PAN, 	2004	445
The golden silence	Johnston, Paul (1957- ). 	PR6060.O417 G65 2004		Hodder and Stoughton, 	2004	342
Atlas grzybów	Hofrichter, Robert (1957- ). 	QK617 .H65165 2004		Klub dla Ciebie, 	2004	191
Modelowanie sygnału mowy uwzględniające fizyczny mechanizm jej artykulacji	Izydorczyk, Jacek (1964- ). 		magazyn	Wydaw. Politechniki Śląskiej, 	2004	192
Jasna Góra bliska i daleka : ze studiów nad Sanktuarium Narodowym	Jabłoński, Zachariasz S. (1940-2015). 	BT660.C9 J33 2004		[Poligrafia Salezjańska], 	2004	570
Zatrzymać grabież Polski	Jankowski, Zdzisław (1943- ). 		magazyn	Polska Oficyna Wydawnicza, 	2004	186
Kodeks postępowania karnego. T. 3, Komentarz do artykułów 468-682	Hofmański, Piotr (1956- ). 	KKP4604.31997 .H64 2004 t.3		C.H. Beck, 	2004	624
Teriery typu bull : bull terrier, pit bull terrier, staffordshire bull terrier, american staffordshire terrier	Jendrasiak, Andrzej. 	SF429.B8 J46 2002		Agencja Wydawnicza Mako Press, 	2004	128
Protokół Kartageński o bezpieczeństwie biologicznym do Konwencji o różnorodności biologicznej : komentarz	Jendrośka, Jerzy (1956- ). 	K3583.32000 .J43 2004		Instytut Hodowli i Aklimatyzacji Roślin, 	2004	191
"Twierdza wewnętrzna : wprowadzenie do ""Rozmyślań"" Marka Aureliusza"	Hadot, Pierre (1922-2010). 	B583 .H33165 2004	magazyn	Antyk - Marek Derewiecki, 	2004	337
Between enterprise and ethics : business and management in a bimoral society	Hendry, John (1952- ). 	HF5387 .H46 2004		Oxford University Press, 	2004	299
Nanorurki węglowe : czarne diamenty XXI wieku	Huczko, Andrzej. 	TA418.9.N35 H84 2004		na zlec. Uniwersytetu Warszawskiego, 	2004	475
Narkotyki i narkomania w Wojsku Polskim	Jędrzejko, Mariusz. 	UH630 .J443 2004		WSH, 	2004	331
