title	author	WD_signature	storage	publisher	year	pages
Biblia w liturgii Mszy Świętej : Wielki Post : praca zbiorowa			magazyn	Święty Paweł	2017	332
Słownik gwary i kultury Kujaw. T. 1, A-H		PG6790 .S5826 2017 t.1		Wydawnictwo Uniwersytetu Kazimierza Wielkiego	2017	335
Dzieje Kocka : od czasów najdawniejszych do najnowszych		DK4800.K589 D95 2017		Dom Kultury im. Księżnej Anny z Sapiehów Jabłonowskiej	2017	491
Kapitały w jednostkach gospodarczych		HF5681.C25 K37 2017		Wydawnictwo Uniwersytetu Ekonomicznego	2017	243
Starość : jej potencjał, trudy i wyzwania		HV1451 .S727 2017	magazyn	Katedra Teorii Wychowania UWM	2017	234
Opieka farmaceutyczna			magazyn	Dział Redakcji i Wydawnictw Warszawskiego Uniwersytetu Medycznego	2017	118
Edukacja dla przyszłości w świetle wyzwań XXI wieku = Osvìta dlâ majbutnʹogo u svìtlì viklikìv XXI stolìttâ		LB41 .E33555 2017		Wydawnictwo Uniwersytetu Kazimierza Wielkiego	2017	439
Od obserwacji do animacji : autorzy o kinie dokumentalnym		PN1995.9.D6 O4 2017		Wydawnictwo Biblioteki PWSFTviT	2017	159
Dyplomacja publiczna wobec wyzwań współczesnego świata		JZ1313 .D96 2017		Oficyna Wydawnicza ASPRA-JR	2017	172
Zarządzanie działalnością rozwojową przedsiębiorstwa		HD58.8 .Z363 2017		Fundacja Uniwersytetu Ekonomicznego	2017	197
Mistrzostwo duchowe		BL624 .M57 2017		Wydawnictwo Uniwersytetu Łódzkiego	2017	168
Księga jubileuszowa : 65-lecie powołania Wydziału Leśnego Uniwersytetu Rolniczego w Krakowie			magazyn	Wydawnictwo Uniwersytetu Rolniczego w Krakowie	2017	614
Sytuacja demograficzna województwa kujawsko-pomorskiego jako wyzwanie dla polityki społecznej i gospodarczej. T. 4		HB3608.7.K85 S96 2017		Rządowa Rada Ludnościowa	2017	256
Fizjologia		QP34.5 .F45 2017		Dział Redakcji i Wydawnictw Warszawskiego Uniwersytetu Medycznego	2017	320
Nowa ewangelizacja : język, teologia, kultura		BX2347.4 .N693 2017		"Wydawnictwo Diecezji Tarnowskiej ""Biblos"""	2017	499
Miejskie środowisko mieszkaniowe = Urban housing environment		HD7287 .M54 2017		Wydawnictwo PK	2017	285
Rodzina i szkoła : od rozpoznania problemów do efektywnej współpracy		LC225 .R636 2017		Wydawnictwo Diecezji Tarnowskiej Biblos	2017	238
Komunikacja i zarządzanie międzykulturowe : współczesne wyzwania prawno-organizacyjne		HD62.4 .K65 2017		Difin	2017	213
Zarządzanie restrukturyzacją : procesy i struktury w obliczu zmian		HD58.8 .Z3656 2017		Fundacja Uniwersytetu Ekonomicznego	2017	192
Wirtualne targowisko : o reklamie, marketingu i promowaniu się w Internecie. T. 1		HF5415.1265 .W57 2017 t.1		"Dom Wydawniczy ""Elipsa"""	2017	252
Selected problems on experimental mathematics		QA7 .S45 2017		Wydawnictwo Politechniki Śląskiej	2017	297
Możliwości i horyzonty ekoinnowacyjności : procesy zwiększające efektywność energetyczną w świetle ekorozwoju		TJ163.2 .M7 2017		"Instytut Naukowo-Wydawniczy ""Spatium"""	2017	201
Pars in toto : mniejszości w ciągu dziejów		JC312 .P37 2017		Wydawnictwo Uniwersytetu Gdańskiego	2017	359
Filologia trudnego sąsiedztwa : tom studiów dedykowany profesorowi Markowi Zyburze w 60-lecie urodzin		PF3026.Z93 F55 2017		Quaestio	2017	388
Legalne/nielegalne poszukiwanie zabytków i obrót zabytkami na styku archeologii i prawa		KKP3183 .L44 2017		Oficyna Wydawnicza Humanitas	2017	153
Liderzy o liderowaniu w XXI wieku : refleksje przedstawicieli nauk o zarządzaniu i praktyków		HD57.7 .L55 2017		"Towarzystwo Naukowe Organizacji i Kierownictwa ""Dom Organizatora"""	2017	213
Prawo zamówień publicznych		KKP2754.A32004 A4 2017b		Wydawnictwo C. H. Beck	2017	216
W służbie zabytków		NA7764.M359 W538 2017		Muzeum Zamkowe	2017	458
Urban development in Poland and Georgia - chosen aspects = Rozwój miast w Polsce i Gruzji - wybrane aspekty		HT169.P72 L727 2017		Wydawnictwo Uniwersytetu Łódzkiego	2017	120
Sytuacja demograficzna Podkarpacia jako wyzwanie dla polityki społecznej i gospodarczej. T. 1		HB3608.7.P62 S96 2017		Rządowa Rada Ludnościowa	2017	184
