title	author	WD_signature	storage	publisher	year	pages
Kodeks cywilny 2006			magazyn	INFOR Gazeta Prawna, [	2006	240
Informatyczne przygotowanie nauczycieli : kompetencje i standardy kształcenia		LB1028.43 .I5365 2006		Wydawnictwo Naukowe Akademii Pedagogicznej, [ca 	2006	454
Vademecum gospodarki przestrzennej		KKP3059 .V33 2005		Instytut Rozwoju Miast, 	2005	463
Rozwój regionalny i globalny we współczesnej gospodarce światowej		HF1359 .R69 2005		Wydaw. Akademii Ekonomicznej im. Oskara Langego, 	2005	422
Filharmonia Śląska : 1945-2005		ML297.8.S57 F55 2005	magazyn	Miasto Katowice, 	2005	339
Coordination motor abilities in scientific research			magazyn	Józef Piłsudski Academy of Physical Education in Warsaw. Faculty of Physical Education in Biała Podlaska, 	2005	474
Perspectives of coordination chemistry		QD474 .P473 2005		Wydawnictwo Uniwersytetu Wrocławskiego, 	2005	283
Safeguarding space for all : security and peaceful uses : conference report 25-26 March 2004		JZ5695 .S25 2005		United Nations, cop. 	2005	120
Modele optymalizacyjne : przykłady i zadania		HD30.25 .M63 2005		Wydawnictwo Uniwersytetu Łódzkiego, 	2005	203
Ochrona środowiska przed hałasem w Polsce w świetle przepisów europejskich : opracowanie zbiorowe		TD893.5.P6 O27 2005		Centralny Instytut Ochrony Pracy - Państwowy Instytut Badawczy, 	2005	311
Matematyka III : zbiór zadań dla liceum i technikum		QA43 .M3364 2005		Gdańskie Wydawnictwo Oświatowe, 	2005	127
Korektywa i kompensacja zaburzeń w rozwoju fizycznym dzieci i młodzieży. T. 2			magazyn	Akademia Wychowania Fizycznego Józefa Piłsudskiego w Warszawie. Zamiejscowy Wydział Wychowania Fizycznego, 	2005	356
Wybrane zagadnienia treningu sportowego piłkarzy nożnych : praca zbiorowa		GV943.8 .W93 2005		[Polskie Towarzystwo Naukowe Kultury Fizycznej. Oddział], 	2005	222
Kamieniec Podolski : przewodnik turystyczny		DK508.95.K36 K367 2005	magazyn	"""Centrum Europy"", "	2005	351
Place and memory in Canada : global perspectives = Lieu et mémoire au Canada : perspectives globales		PR9180 .C66 2004		Polska Akademia Umiejętności, 	2005	592
Kodeks karny z komentarzem : skorowidz przedmiotowy		KKP3794.31997 .Z39 2005		Wydawnictwo Sigma, 	2005	204
