title	author	WD_signature	storage	publisher	year	pages
Gdańsk : biografia miasta	Loew, Peter Oliver (1967- ). 	DK4670 .L62165 2013		Instytut Kultury Miejskiej, [ca 	2013	319
Z prądem pod prąd : felietony z lat 1988-1991	Kurowski, Bohdan (1933-2009). 		magazyn	Big Blue, ca 	2013	119
Wiesz jak jest	Lewicki, Bolesław Włodzimierz (1908-1981). 		magazyn	Wydawnictwo Uniwersytetu Łódzkiego, 	2012	169
Rzeki Hadesu	Krajewski, Marek (1966- ). 	PG7170.R25 R96 2012		Wydawnictwo Znak, 	2012	275
Rodzinka do zwrotu	LaZebnik, Claire Scovell. 			Prószyński i S-ka, 	2012	366
Wspomnienia kochanowskie czyli Radom lat powojennych	Loth, Roman (1931-2019). 		magazyn	Instytut Technologii Eksploatacji - Państwowy Instytut Badawczy [etc.], 	2012	251
Czuły drań	Lindsey, Johanna (1952-2019). 	PS3562.I5123 G46165 2012		Świat Książki, 	2012	350
Lehli znaczy Polak : udział Karola Karskiego (1833-1914) w procesie przeobrażenia Imperium Osmańskiego w Republikę Turcji	Łątka, Jerzy Siemisław (1944- ). 	DR568.8.K37 L38 2012		Wydawnictwo i Drukarnia Towarzystwa Słowaków w Polsce, 	2012	106
Ogród niezapominajek	Ławecka, Teresa A. (1958- ). 		magazyn	Koło PZN, 	2012	111
Człowiek w filozofii pracy Józefa Tischnera	Legięć, Jarosław. 	B4691.T574 L44 2012		Wydawnictwo Księży Sercanów, 	2012	396
"Romana Brandstaettera pisanie lumenarnej ikony w ""Jezusie z Nazaretu"" : próba deszyfracji kodu symboliki jako modelu komunikacji transcendentnej"	Krawiecka, Ewa. 	PG7158.B625 J4244 2012		Wydawnictwo Naukowe UAM, 	2012	212
Sowiecki Kaukaz : podróż do Gruzji, Armenii i Azerbejdżanu	Lepecki, Mieczysław Bohdan (1897-1969). 		magazyn	Wydawnictwo LTW, [	2012	148
Wstęp do archeologii	Ławecka, Dorota. 	CC75 .L39 2012		Wydawnictwo Naukowe PWN, 	2012	205
Cztery listy do Pana Boga	Krzywiec, Ewa. 		magazyn	Wydawnictwo Poligraf, cop. 	2012	234
Patterns of democracy : government forms and performance in thirty-six countries	Lijphart, Arend (1936- ). 	JC421 .L55 2012		Yale University Press, 	2012	348
Bank Spółdzielczy w Nowym Sączu 1912-2012	Leśniak, Jerzy (1957-2017). 		magazyn	Wydawnictwo GOLDRUK Wojciech Golachowski, 	2012	170
Śląskie sezony : Teatr Katowic 1907-2012	Linert, Andrzej (1944- ). 	PN2859.P63 K365 2012		Śląsk, 	2012	361
Komórka : komunikacja mobilna	Ling, Richard Seyler. 	HE9713 .L56165 2012		Wydawnictwo Naukowe PWN, 	2012	206
Challenging the Matthew effect : international exchange of publications in four Finnish learned societies until the Second World War	Lilja, Johanna. 	AS145.A5 L55 2012		The Finnish Society of Science and Letters, 	2012	350
Wizerunek Rosji i Stanów Zjednoczonych w polskich tygodnikach opinii po 1991 roku	Krzywdzińska, Agata. 	DK67.5.P7 K79 2012		Wydawnictwo Uniwersytetu Jagiellońskiego, cop. 	2012	306
Modelowanie nieustalonych przepływów w rzekach nizinnych na przykładzie Warty	Laks, Ireneusz Tomasz. 		magazyn	Wydawnictwo Uniwersytetu Przyrodniczego, 	2012	134
Słonimski : heretyk na ambonie	Kuciel-Frydryszak, Joanna. 	PG7158.S552 K83 2012		Wydawnictwo W.A.B., 	2012	382
Biskup Wincenty Urban 1911-1983	Kurdybelski, Jan (1925-2018). 	BX4705.U535 K87 2012		Wydawnictwo Nortom, cop. 	2012	176
Bumerang : podróże do nowego trzeciego świata	Lewis, Michael (1960- ). 	HB3717 2008 .L49165 2012		Sonia Draga, 	2012	244
Umiastowienie obszaru Polski od XIII do XXI wieku : interpretacja geograficzno-historyczna	Krzysztofik, Robert (1972- ). 	HT384.P6 K792 2012		"""Śląsk"", "	2012	403
Hej tam spod Tater. T. 3	Ligas, Wanda. 		magazyn	Dom Wydawniczy Elipsa, 	2012	239
Energia : zasoby, procesy, technologie, rynki, transformacje, modele biznesowe, planowanie rozwoju	Krawiec, Franciszek. 	HD9685.A2 K73 2012		Difin, 	2012	304
