title	author	WD_signature	storage	publisher	year	pages
Standardy żeglugi powietrznej w działalności Organizacji Międzynarodowego Lotnictwa Cywilnego (ICAO)	Kraśnicka, Izabela. 	K4095 .K73 2019		Wydawnictwo C.H. Beck	2019	262
Prawo liturgiczne Kościoła łacińskiego	Kołodziej, Marcin (1981- ). 	KBU3184 .K65 2019		Papieski Wydział Teologiczny	2019	195
Bogini Marijamman : mitologia i kult  na podstawie tamilskich pieśni religijnych	Kłoszewska, Karolina. 	BL1225.M37152 K56 2019		Dom Wydawniczy Elipsa	2019	339
Mistrzynie myślenia : serbski esej feministyczny (XIX-XXI wiek)	Koch, Magdalena (1958- ). 	PG1412.6.F46 K63 2019		Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza	2019	259
Legiony : droga do legendy : tworzyli Wojsko Polskie 1916-1918	Koprowski, Marek A. (1947- ). 	D556 .K66 2019		Replika	2019	405
Władza algorytmów : u źródeł potęgi Google i Facebooka	Kreft, Jan. 	ZA3083 .K74 2019		Wydawnictwo Uniwersytetu Jagiellońskiego	2019	324
Komunikacja społeczna w ujęciu interdyscyplinarnym, komunikacja biznesowa	Knapik, Wioletta. 	HF5718 .K55 2019		Wydawnictwo Uniwersytetu Rolniczego	2019	175
"Cień Wolanda nad PRL : ""Mistrz i Małgorzata"" Michaiła Bułhakowa w Polsce w latach 1969-1989 : obecność, recepcja, odzew"	Korcz, Karolina. 	PG3476.B78 M347 2019		"Wydawnictwo ""Bonami"""	2019	423
Przeklęte drobiazgi, czyli 30 przykładów, jak drobne kwestie mogą zachwiać wizerunek firmy	Kucner, Aldona. 		magazyn	Q-Aldo Communication Aldona Kucner	2019	104
Śmierć białych motyli : Eliza Orzeszkowa : biografia, wyobraźnia, idee	Kreft, Magdalena. 	PG7158.O72 K74 2019		Wydawnictwo Uniwersytetu Gdańskiego	2019	223
Apelacje karne : zagadnienia praktyczne, akta i kazusy	Kapiński, Zbigniew. 	KKP4780 .K364 2019		Wydawnictwo C.H. Beck	2019	349
Kompletny program terapii SAZ dla osób z zaburzeniami ze spektrum autyzmu w wieku rozwojowym od 4 roku do 7 lat : podręcznik terapeuty zawierający materiały do nauczania 150 umiejętności początkowych krok po kroku	Knapp, Julie. 	LC4717 .K635165 2019		Harmonia Universalis	2019	639
Pod skrzydłami Rzeczypospolitej : emigracja gruzińska w Polsce 1921-1939 = Rečpospilitas p'rt'ebk'veš : k'art'uli emigrac'ia Polonet'ši 1921-1939	Kolbaia, Dawid (1963- ). 	DK4121.5.G28 K65 2019		Instytut Pamięci Narodowej	2019	247
Fotografie	Karłowicz, Mieczysław (1876-1909). 	TR653 .M44 2019	magazyn	"Oficyna Wydawnicza ""Wierchy"". Centralny Ośrodek Turystyki Górskiej PTTK"	2019	332
Powrót do źródeł : porywająca saga rodu Baranowskich	Kasprzyk, Małgorzata (literatura). 		magazyn	Wydawnictwo WasPos	2019	335
Internet w Kościele - Kościół w internecie : cyfrowa agora przestrzenią nowej ewangelizacji	Kuciński, Mariusz (1964- ). 	BX842.5 .K83 2019		Wydawnictwo Bernardinum	2019	231
Obrazki litewskie	Kunčius, Herkus (1965- ). 	PG8722.21.U49 L56165 2019		Warsztaty Kultury	2019	243
Dramaty wybrane	Kochan, Marek (1969- ). 	PG7170.O25 A19 2019	magazyn	Wydawnictwo Naukowe Uniwersytetu Kardynała Stefana Wyszyńskiego w Warszawie	2019	291
Zawsze będę przy tobie	Kieres, Tomasz. 		magazyn	Wydawnictwo Filia	2019	390
List zastawny : 250 lat historii	Kanigowski, Krzysztof (1959- ). 	HG5587 .K345 2019		Centrum Prawa Bankowego i Informacji	2019	478
Rytmy albo wiersze stałe	Kierc, Bogusław (1943- ). 		magazyn	Warstwy	2019	136
Dziewczyna od marzeń	Krentz, Jayne Ann (1948- ). 		magazyn	Wydawnictwo Amber	2019	318
Perły i plewy : powieść o wyjątkowych kobietach XIX wieku	Kijas, Zdzisław (1960- ). 	PG7211.I4936 P47 2019		Bratni Zew Wydawnictwo Franciszkanów	2019	403
Duchy we śnie, duchy na jawie : Papua Zachodnia	Kapla, Grzegorz. 	DU744 .K36 2019		Wydawnictwo Bernardinum	2019	287
Powrót do tradycji : saga rodu Wysockich	Kasprzyk, Małgorzata (literatura). 		magazyn	WasPos	2019	323
Kamienica pod śniegiem	Kassjanowicz, Dorota. 	PG7211.A8795 K36 2019		Wielka Litera	2019	494
Polki, władczynie Europy	Kienzler, Iwona (1956- ). 	D107.3 .K55 2019		Bellona	2019	422
Święcenia niższe, posługi i funkcje wiernych świeckich w liturgii	Krakowiak, Czesław (1944- ). 	KBU3184 .K73 2019		Towarzystwo Naukowe Katolickiego Uniwersytetu Lubelskiego Jana Pawła II	2019	159
Effekt 1 : język niemiecki : podręcznik dla liceum i technikum	Kryczyńska-Pham, Anna. 		magazyn	Wydawnictwa Szkolne i Pedagogiczne Spółka Akcyjna	2019	143
O chłopcu, który ujarzmił wiatr	Kamkwamba, William (1987- ). 		magazyn	Edgard	2019	294
Absolwenci Akademii Medycznej w Warszawie : rocznik 1963-1969	Krawczyk, Marek. 		magazyn	[wydawca nieznany]	2019	200
Busz po polsku	Kapuściński, Ryszard (1932-2007). 		magazyn	"Spółdzielnia Wydawnicza ""Czytelnik"""	2019	130
Firma jako całość	Kuciński, Łukasz. 	HD36 .K846 2019		Wydawnictwo Helion	2019	424
Morfofunkcjonalne uwarunkowania wyników sportowych we wspinaczce na czas i boulderingu	Krawczyk, Marcin (kultura fizyczna). 	GV200.2 .K73 2019		Wydawnictwa Państwowej Wyższej Szkoły Zawodowej w Tarnowie	2019	212
