title	author	WD_signature	storage	publisher	year	pages
Tyrani i dyktatorzy : prawdziwe historie	Cawthorne, Nigel (1951- ). 	D107 .C39165 2013		Buchmann, [ca 	2013	223
Zakończeniem jest śmierć	Christie, Agatha (1890-1976). 	PR6005.H66 D38165 2012		Wydawnictwo Dolnośląskie, cop. 	2012	238
Stołpce - Łowcza - Leśna 1924 : II Rzeczpospolita wobec najpoważniejszych incydentów zbrojnych w województwach północno-wschodnich	Cichoracki, Piotr. 	DK507.9.N39 C53 2012		Wydawnictwo LTW, 	2012	337
Świątynie nowego państwa : kościoły rzymskokatolickie II Rzeczypospolitej	Burno, Filip. 	NA5955.P6 B88 2012	magazyn	Wydawnictwa Uniwersytetu Warszawskiego, 	2012	444
Ingrid Bergman	Chandler, Charlotte. 	PN2778.B43 C43165 2012		Prószyński i S-ka, 	2012	335
Woda : zasoby, degradacja, ochrona	Chełmicki, Wojciech (1952-2011). 	GB661.2 .C48 2012		Wydawnictwo Naukowe PWN, 	2012	306
Mycenaean Greece, Mediterranean commerce, and the formation of identity	Burns, Bryan E. (1970- ). 	DF107 .B87 2012		Cambridge University Press, 	2012	246
Model procesu restrukturyzacji resortowej służby zdrowia Ministerstwa Spraw Wewnętrznych w Polsce	Chełchowski, Janusz Stanisław (1961- ). 	JN6762.Z13 H393 2012		Wydział Wydawnictw i Poligrafii Wyższej Szkoły Policji, 	2012	271
Tajemniczy ogród	Burnett, Frances Hodgson (1849-1924). 	PS1214.S43 P6 2012		Vesper, 	2012	303
Identification, validation and prediction of fractional dynamical systems	Burnecki, Krzysztof. 		magazyn	Oficyna Wydawnicza Politechniki Wrocławskiej, 	2012	124
Z legendą przez wieki. T. 3	Bogdan, Stan (1939- ). 	GR196.G39 B64 2012 t.3		"Wydawnictwo ""Bernardinum"", "	2012	224
Ochrona praw nabywcy lokalu mieszkalnego lub domu jednorodzinnego : komentarz	Burzak, Andrzej Jan (1957- ). 	KKP688.A312011 B87 2012		Lex a Wolters Kluwer business, 	2012	479
Pamięć Gułagu	Bogumił, Zuzanna. 	HV9712 .B64 2012		Towarzystwo Autorów i Wydawców Prac Naukowych Universitas, cop. 	2012	376
Serbia w nowej przestrzeni ustrojowej : dzieje, ustrój, konstytucja	Bujwid, Ewa (1956- ). 	KKS1207 .B85 2012		Księgarnia Akademicka, 	2012	270
