title	author	WD_signature	storage	publisher	year	pages
Feliks Wicher	Masannek, Joachim (1960- ). 		magazyn	Wydawnictwo Debit, [	2006	140
Sekretariat Prymasa Polski : 25 lat posługi prymasowskiej Józefa kardynała Glempa	Macko, Waldemar Robert. 		magazyn	Thaurus, [ca 	2006	191
Tylko jeden obraz	Łajło, Dorota (1964- ). 			UNIVERS Konsulting - Edukacja Jacyno i Modzelewski, [ca 	2006	120
Jestem w Paryżu : dzienniki z lat 1961-2006	Łyczywek, Krystyna (1920- ). 	DC715 .L93 2006		"Przedsiębiorstwo Produkcyjno-Handlowe ""Zapol"", [ca "	2006	105
Chemia organiczna. T. 1	Maciejewska, Dorota (chemik). 	QD251.3 .M27 2006 t.1		Oficyna Wydawnicza Akademii Medycznej, [	2006	231
Metody konserwacji malarstwa sztalugowego na ziemiach polskich w latach 1800-1918 : zarys	Maniakowska-Sajdak, Anna Maria (1972- ). 	ND1630 .M36 2006		Wydawnictwo Aksjomat, [	2006	194
Wątroba i drogi żółciowe : [przyczyny i objawy schorzeń, zapobieganie, skuteczne naturalne leczenie]	Leibold, Gerhard. 	RC845 .L45165 2006		Agencja Wydawnicza Jerzy Mostowski, [	2006	149
Chemia organiczna. T. 2	Maciejewska, Dorota (chemik). 	QD251.3 .M27 2006 t.2		Oficyna Wydawnicza Akademii Medycznej, [	2006	232
Cholesterol : cichy zabójca	Laughin, Andrew. 		magazyn	Wydawnictwo Astrum, [ca 	2006	230
Ujarzmić bestię	Maguire, Emily (1976- ). 	PR9619.4.M339 T36165 2006		G+J Gruner+Jahr Polska, [ca 	2006	321
Biały Kieł	London, Jack (1876-1916). 	PS3523.O46 W5165 2006		"Wydawnictwo ""Waza"", [ca "	2006	164
Choroby tarczycy : [przyczyny, objawy, zapobieganie,  leczenie kompleksowe]	Leibold, Gerhard. 	RC655 .L45165 2006		Agencja Wydawnicza Jerzy Mostowski, [ca 	2006	128
Dzieje Głubczyc w latach 1742-1945	Maler, Katarzyna (1968- ). 	DK4800.G55 M36 2006		Instytut Śląski w Opolu, Państwowy Instytut Naukowy, ca 	2006	387
Zaparcia : [przyczyny, objawy, zapobieganie, leczenie kompleksowe]	Leibold, Gerhard. 	RC861 .L45165 2006		Agencja Wydawnicza Jerzy Mostowski, [ca 	2006	126
Choroby skóry : [przyczyny, objawy, zapobieganie, skuteczne leczenie metodami naturalnymi]	Leibold, Gerhard. 	RL85 .L45165 2006		Agencja Wydawnicza Jerzy Mostowski, [	2006	160
Choroby prostaty : [przyczyny, objawy, zapobieganie, skuteczne leczenie metodami naturalnymi]	Leibold, Gerhard. 	RC899 .L45165 2006		Agencja Wydawnicza Jerzy Mostowski, [ca 	2006	150
Leon Superdrybler	Masannek, Joachim (1960- ). 		magazyn	Wydawnictwo Debit, [	2006	139
Edukacja ustawiczna w ujęciu brytyjskim	Matlakiewicz, Alina (1971- ). 	LC5256.G7 M384 2006		Wydawnictwo Instytutu Technologii Eksploatacji, [ca 	2006	143
ABC biometrów : praktyka radiestezyjna dla każdego	Matela, Leszek (1955- ). 		magazyn	Studio Astropsychologii, 	2005	135
Przestępstwa przeciwko wolności sumienia i wyznania : w Kodeksie karnym z 1997 roku	Makarska, Małgorzata. 	KKP4116 .M35 2005	magazyn	Towarzystwo Naukowe Katolickiego Uniwersytetu Lubelskiego, cop. 	2005	235
Rozmówki polsko-hiszpańskie	Kurzyca, Danuta (1950- ). 		magazyn	Agencja Artystyczna MTJ, 	2005	132
Matematyka elementarna w zadaniach. T. 2	Kurlândčik, Lev. 	QA43 .K87 2005 t.2		Wydawnictwo Aksjomat, 	2005	227
Linux a technologie klastrowe	Lal, Kazimierz. 	QA76.88 .L35 2005		Mikom, 	2005	209
Problemy z komputerem : 222 porady	Lohniský, Jakub. 	QA76.5 .L64165 2005		Mikom, cop. 	2005	149
Oblężenie Lankmaru	Leiber, Fritz (1910-1992). 	PS3523.E4583 S97165 2005		Solaris, 	2005	227
Londyn	Logan, Lesley. 		magazyn	Langenscheidt Polska, 	2005	144
Bezrobocie : podstawy teoretyczne	Kwiatkowski, Eugeniusz (1947- ). 	HD5707.5 .K86 2005		Wydawnictwo Naukowe PWN, 	2005	352
Rzut kośćmi nigdy nie zniesie przypadku : [poemat]	Mallarmé, Stéphane (1842-1898). 	PQ2344.C6 P6 2005		Korporacja Ha!art, 	2005	123
Wprowadzenie do polityki społecznej	Machelski, Zbigniew. 	HN17.5 .M33 2005		Wydawnictwo Instytut Śląski, 	2005	190
Wprowadzenie do automatyki	Kwiatkowski, Włodzimierz (automatyka). 	TJ213 .K94 2005		Instytut Automatyki i Robotyki. Wydział Cybernetyki. Wojskowa Akademia Techniczna, 	2005	216
Leksykon miast województwa małopolskiego	Kutaś, Paweł (1972- ). 	DK4600.M33 L45 2005		Wydawnictwo Promo, 	2005	235
Autorskie programy nauczania w szkołach ponadgimnazjalnych	Ładyżyńska, Jolanta. 		magazyn	Instytut Badań Edukacyjnych, 	2005	173
Dynamika zmian jakości i wykrywanie surogatów w mieszankach kawy mielonej	Kwiatkowska-Sienkiewicz, Krystyna. 		magazyn	Wydawnictwo Akademii Morskiej, 	2005	101
"Lekkoatleci Klubu Sportowego ""Warta"" (1912-1994)"	Luty, Roman (1938- ). 		magazyn	Wydawnictwo Ars Nova, 	2005	301
Przejazdem przez życie... : kroniki rodzinne	Kydryński, Lucjan (1929-2006). 	ML429.K98 A36 2005		Wydawnictwo Literackie, 	2005	367
Fizyka w prostych zadaniach : zbiór zadań dla gimnazjum	Kurowski, Andrzej (fizyka). 	QC32 .K85 2005		ZamKor, 	2005	168
Gdańsk literacki (1793-1945)	Loew, Peter Oliver (1967- ). 	PG7365.G4 K75 1997 t.2		"Wydawnictwo ""Mestwin"", "	2005	198
Książę	Machiavelli, Niccolò (1469-1527). 	JC143 .M38165 2005		Wydawnictwo Zielona Sowa, 	2005	119
Równość i różnica : mniejszości narodowe w porządku demokratycznym w Polsce po 1989 roku	Łodziński, Sławomir (1958- ). 	JN6756.M5 L63 2005		Wydawnictwo Naukowe SCHOLAR, 	2005	320
