title	author	WD_signature	storage	publisher	year	pages
Ziemia wołkowyska. 2	Karpyza, Witold (1913-2009). 	DK507.9.V38 K37 2005 t.2		nakł. Przemysława Mikusińskiego, [ca 	2006	159
Poezje i inne utwory zebrane	Książek, Andrzej (1953- ). 	PG7211.S53 A17 2006		Wydawnictwo Akme, [ca 	2006	399
Zarys nauki administracji	Knosala, Ernest (1948-2012). 	JF1358.P6 K585 2005		"Kantor Wydawniczy ""Zakamycze"", "	2005	311
Podróż	Kuczyński, Maciej (1929-2019). 	PG7170.U33 Z47 2005		"""Kos"", "	2005	302
Komplementarność apostolskiej misji Kościoła w życiu konsekrowanym : studium teologiczno-dogmatyczne	Kowalczyk, Marian (1956- ). 	BX1746 .K68 2005		Apostolicum Wydawnictwo Księży Pallotynów, 	2005	313
Polskie i słoweńskie predykaty modalne o znaczeniu 'chcieć', 'móc', 'musieć, 'powinien' na poszerzonym tle słowiańskim	Kryzia, Władysław (1942- ). 	PG6398.M63 K78 2005		Wydawnictwo Naukowe Uniwersytetu Śląskiego, 	2005	128
Po naszymu : pieszo i na skrzidłach	Kupiec, Aniela (1920- ). 		magazyn	Kongres Polaków w Republice Czeskiej, 	2005	223
Informatyczne kształcenie i doskonalenie nauczycieli	Kędzierska, Barbara (informatyka). 	LB1028.43 .K43 2005		Wydawnictwo Naukowe Akademii Pedagogicznej, 	2005	177
Diagnostyka mikologiczna zatruć grzybami	Klawitter, Maria. 	RA1242.M9 K53 2005		"""Śląsk"" Wydawnictwo Naukowe, "	2005	256
Zajęcia pozalekcyjne i terapia zajęciowa z osobami o obniżonej sprawności umysłowej	Kott, Tadeusz. 	LC4602 .K683 2005		Wydawnictwo Akademii Pedagogiki Specjalnej im. Marii Grzegorzewskiej, 	2005	272
Ilustrowana przyroda świata	Krzyściak-Kosińska, Renata (1971- ). 	QH46 .K67 2005		Wydawnictwo Publicat, 	2005	127
Kodeks postępowania administracyjnego : komentarz	Kędziora, Robert. 	KKP2730.A3196 K43 2005		C.H. Beck, 	2005	505
Excel : 144 porady	Kopertowska-Tomczak, Mirosława. 	HF5548.4.M523 K67 2005		Mikom, 	2005	229
Prawo finansowe w Unii Europejskiej i w Polsce	Kosikowski, Cezary (1942- ). 	KJE7050 .K675 2005		LexisNexis, 	2005	373
Elementy rachunkowości : podręcznik. Cz. 2, Uproszczone formy rachunkowości	Kuczyńska-Cesarz, Anna. 		magazyn	Difin, 	2005	149
Historia parafii ewangelicko-augsburskiej w Radomiu	Kłaczkow, Jarosław (1972- ). 		magazyn	Wydawnictwo Adam Marszałek, 	2005	157
Ampelografia Zielonej Góry	Kuleba, Mirosław (1958- ). 	SB387.8.P6 K85 2005		Wydawnictwo Pro Libris, 	2005	340
Wojna Hannibala	Kęciek, Krzysztof. 	DG247 .K43 2005		Dom Wydawniczy Bellona, 	2005	307
Cesarzowa Etiopii Taitu Bytul : życie i działalność na przełomie XIX i XX wieku	Kulesza, Monika (1978- ). 	DT387.34.T35 K85 2005		"""Trio"", cop. "	2005	104
Polityczny ruch ludowy w Polsce - transformacja partyjna : myśl polityczna, organizacja, działalność, przemiany wewnętrzne	Kuczur, Tomasz. 	JN6769.A45 K83 2005		Wydawnictwo Adam Marszałek, cop. 	2005	307
Wiedza o społeczeństwie : wychowanie obywatelskie : podręcznik : [gimnazjum]	Kulesza, Michał (1948-2013). 		magazyn	Wydawnictwa Szkolne i Pedagogiczne, [	2005	247
Klub spiskowców	Kellerman, Jonathan (1949- ). 			Wydawnictwo Amber, 	2005	254
Prawo rzymskie	Kolańczyk, Kazimierz (1915-1982). 			Wydawnictwo Prawnicze LexisNexis, 	2005	521
Rzeczowniki motywowane wyrażeniem przyimkowym w językach serbskim i chorwackim	Koncewicz-Dziduch, Edyta. 	PG1271 .K66 2005		Wydawnictwo Uniwersytetu Opolskiego, 	2005	160
Namaszczenie chorych - sakrament uzdrowienia	Krakowiak, Czesław (1944- ). 		magazyn	Wydawnictwo Diecezjalne, 	2005	123
Pismo Święte w polskiej katechezie posoborowej : studium egzegetyczno-katechetyczne	Klich, Anna Emmanuela. 	BS600.3 .K55 2005		Wydaw. Naukowe PAT, 	2005	414
Jani Konstantinovski Puntos - seven gates to eternity : Malbork 2005 : Malbork Castle Museum June 3 - August 30, 2005 =  Jani Konstantinovski Puntos - siedem wrót do wieczności : Malbork 2005 : Muzeum Zamkowe w Malborku 3 czerwca - 30 sierpnia 2005	Konstantinovski-Puntos, Jani (1961- ). 		magazyn	Muzeum Zamkowe, 	2005	100
The political economy of the Polish agricultural sector's accession to the European Union	Kosior, Katarzyna (1975- ). 	HD1995.7.Z8 K67 2005		University of Information Technology and Management, 	2005	254
Demokracja peryferii	Krasnodębski, Zdzisław (1953- ). 	JN6766 .K73 2005		Wydawnictwo Słowo/Obraz Terytoria, 	2005	349
Wybrane zagadnienia ekofilozofii	Konstańczak, Stefan (1955- ). 	QH540.5 .K66 2005		Wydawnictwo Pomorskiej Akademii Pedagogicznej, 	2005	209
Przed agonią	Krasiński, Janusz (1928-2012). 	PG7170.R3 P79 2005	magazyn	Wydawnictwo Arcana, 	2005	533
Zasady bezpieczeństwa w ruchu drogowym : komentarz	Kotowski, Wojciech. 	KKP3442.A31997 K7 2005		C.H. Beck, 	2005	296
Wapno i alabaster : biurokratyczna wizja rzeczywistości w raportach urzędowych Królestwa Polskiego (1815-1867)	Kulecka, Alicja (1956- ). 	CD79.P7 K85 2005	magazyn	Neriton, 	2005	267
Elementy rachunkowości : podręcznik. Cz. 1, Zasady rachunkowości	Kuczyńska-Cesarz, Anna. 		magazyn	Difin, 	2005	204
Drogi publiczne	Kotowski, Wojciech. 	KKP3043.7.A311985 K68 2005		ABC, cop. 	2005	287
Z dziećmi witamy Boże Narodzenie : propozycje celebracji i spotkań katechetycznych na czas Adwentu	Krämer, Brigitta. 		magazyn	Jedność, 	2005	163
Językowe rytuały grzecznościowe	Kita, Małgorzata. 	PG6434 .K57 2005		Wyższa Szkoła Zarządzania Marketingowego i Języków Obcych, 	2005	433
Wczesne średniowiecze chrześcijańskie	Kumor, Bolesław (1925-2002). 		magazyn	Wydawnictwo KUL, 	2005	206
Przez różaniec do domu Ojca. T. 2	Kiszczak-Wrońska, Danuta (1944- ). 		magazyn	Homo Dei, 	2005	120
Tragizm ludzkiej egzystencji jako problem filozoficzny	Krakowiak, Józef L. (1945- ). 	BD450 .K677 2005	magazyn	Scholar, 	2005	514
W służbie nauki : profesorowie Uniwersytetu Łódzkiego w latach 1945-2004 : pro memoria	Kita, Jarosław. 	LF4207.L6 K59 2005		Wydawnictwo Uniwersytetu Łódzkiego, 	2005	473
Perswazja w przekazie religijno-moralnym	Krok, Dariusz (1969- ). 	BV4219.P6 K76 2005		Redakcja Wydawnictw Wydziału Teologicznego Uniwersytetu Opolskiego, 	2005	298
Rozwijanie przedmiotowo-zabawowej działalności dzieci niepełnosprawnych umysłowo w stopniu lekkim	Kulesza, Ewa Maria. 	LC4602.5 .K85 2005		Akademia Pedagogiki Specjalnej im. Marii Grzegorzewskiej, 	2005	124
Maggie Darling	Kunstler, James Howard (1948- ). 			Bellona, cop. 	2005	368
Refleksy na wodzie	Kilian, Mieczysław (1941- ). 		magazyn	[s. n.], 	2005	121
Podziemni ; Pic	Kerouac, Jack (1922-1969). 	PS3521.E735 S92165 2005		Dom Wydawniczy Bellona, cop. 	2005	207
Klucz do żywych przekonań : chrystologia filozoficzna Włodzimierza Sołowjowa	Kita, Marek (1965- ). 	B4268.R4 K58 2005		Wydawnictwo Uniwersytetu Jagiellońskiego, cop. 	2005	212
Różne oblicza ducha : 15 rozpraw o ważnych sprawach duchowych	Kowalczyk, Dariusz (1963- ). 	BX2350.65 .K69 2005		Rhetos, 	2005	206
Z dziejów Krościenka nad Dunajcem	Koper, Krzysztof (1973- ). 		magazyn	"Zakład Poligraficzny ""MK"", "	2005	430
Tattooing from Japan to the West : Horitaka interviews contemporary artists	Kitamura, Takahiro. 	GT2345 .K47 2005		Schiffer Publishing, cop. 	2005	160
Publiczne prawo gospodarcze Polski i Unii Europejskiej	Kosikowski, Cezary (1942- ). 	KJC6415 .K67 2005		Wydaw. Prawnicze LexisNexis, 	2005	433
Konsultant w dziedzinie zarządzania jakością	Kowalczyk, Jerzy (1932- ). 	TS156.6 .K69 2005	magazyn	CeDeWu, 	2005	163
Mówię, więc jestem : rozmowy o współczesnej polszczyźnie. 3	Kreja, Bogusław (1931-2002). 	PG6460 .M68 2000 t.3		Wydaw. Uniwersytetu Gdańskiego, 	2005	156
Merchandising : theory, principles, and practice	Kunz, Grace I. 	HD9940.A2 K86 2005	magazyn	Fairchild Publications, 	2005	538
Strategie negatywne w poezji Tadeusza Różewicza : od poetyki tekstu do poetyki lektury	Kunz, Tomasz (1969- ). 	PG7158.R632 K86 2005		Towarzystwo Autorów i Wydawców Prac Naukowych Universitas, 	2005	272
Geomorfologia	Klimaszewski, Mieczysław (1908-1995). 			Wydawnictwo Naukowe PWN, 	2005	280
Wykroczenia drogowe : komentarz	Kotowski, Wojciech. 	KKP3450 .A28 2005		C. H. Beck, 	2005	202
Widzę to, czego ty nie widzisz : zabawy rozwijające spostrzegawczość dla dzieci w wieku od 3 lat	Kunz, Ina (1940- ). 	LB1137 .K85165 2005		Wydawnictwo Jedność, 	2005	105
W krajobrazie Nałęczowa	Kłak, Tadeusz (1932- ). 	DK4800.N35 K53 2005		przy współpr. Muzeum Bolesława Prusa, 	2005	383
Auschwitz : medycyna III Rzeszy i jej ofiary	Klee, Ernst (1942-2013). 		magazyn	"""Universitas"", cop. "	2005	506
Heban	Kapuściński, Ryszard (1932-2007). 		magazyn	Czytelnik, 	2005	340
Inteligencja emocjonalna : poradnik z zestawem ćwiczeń	Konrad, Stefan. 		magazyn	Videograf II, 	2005	174
Rachunkowość : podręcznik. Cz. 1	Kuczyńska-Cesarz, Anna. 	HF5653 .K825 2005 t.1	magazyn	"""Difin"", "	2005	317
Współczesne procesy urbanizacji i ich skutki : XVIII Konwersatorium Wiedzy o Mieście : praca zbiorowa	Konwersatorium Wiedzy o Mieście (18 ; 2005 ; Łódź). 	HT384.P6 K66 2005		Wydawnictwo Uniwersytetu Łódzkiego, 	2005	410
Umowa o świadczenie usług telekomunikacyjnych	Krasuski, Andrzej. 	KKP3487 .K73 2005		Wydawnictwo Prawnicze LexisNexis, 	2005	118
Historia : zadania maturalne dla liceum i technikum	Kubacka, Maria (historia). 		magazyn	Gdańskie Wydawnictwo Oświatowe, 	2005	143
Prywatne Gimnazjum Humanistyczne im. Henryka Jordana we Lwowie (właściciel: Mieczysław Kistryn) : lata szkolne: 1909-1939 : zachowane w pamięci i dokumenty przeszłości	Kowalczuk, Jerzy Michał (1926-2019). 		magazyn	[nakł. aut.], 	2005	322
Muzyka w zintegrowanej edukacji wczesnoszkolnej : studium metodyczno-badawcze	Kisiel, Mirosław. 	MT1 .K574 2005		Wydawnictwo Uniwersytetu Śląskiego, 	2005	223
Indywidualne konta emerytalne : komentarz	Kopeć, Alicja. 	KKP1010.A312004 K67 2005		C. H. Beck, 	2005	206
Problematyka pedagogiki specjalnej na łamach czołowych polskich periodyków pedagogicznych po II wojnie światowej : [surdopedagogika, tyflopedagogika, pedagogika dzieci z niepełnosprawnością intelektualną, resocjalizacja, pedagogika terapeutyczna]	Kupisiewicz, Małgorzata. 	LC3986.P7 K87 2005		Dom Wydawniczy Elipsa, 	2005	117
Bony, dzwony, betony : Poznań w latach 70. XX wieku	Książkiewicz-Bartkowiak, Danuta. 	DK4750.1 .K75 2005		Wydawnictwo Miejskie, 	2005	227
VAT po zmianach od 1 czerwca 2005 roku	Kosacka-Olszewska, Dorota. 	KKP3633 .L45 2005		Stowarzyszenie Księgowych w Polsce. Zarząd Główny. Centralny Ośrodek Szkolenia Zawodowego, 	2005	109
Egzekucja świadczeń niepieniężnych	Kowalski, Wojciech (1980- ). 	KKP1896 .K72 2005		Currenda, 	2005	154
Wio, Leokadio!	Kulmowa, Joanna (1928-2018). 	PG7170.U46 W56 2005		Oficyna Wydawnicza G&P, [	2005	143
Pomorze Zachodnie : przewodnik po miejscach ładnych i ciekawych : 40 tras wycieczkowych dla posiadaczy wszelakich wehikułów	Kosacki, Jerzy Mirosław (1944-2010). 	DK4600.P672 K672 2005		Wydaw. Kurpisz, 	2005	448
Szata graficzna młodopolskich czasopism literacko-artystycznych	Kulpińska, Katarzyna. 	NC970 .K85 2005	magazyn	DiG, 	2005	336
Optymalizacja kodu  : efektywne wykorzystanie pamięci	Kaspersky, Kris. 	QA76.9.M45 K37165 2005		Wydawnictwo RM, cop. 	2005	404
Obywatelstwo europejskie w kontekście członkostwa Polski w Unii Europejskiej	Konopacki, Stanisław (19..-2017). 	KJE5124 .K66 2005		Wydaw. Uniwersytetu Łódzkiego, 	2005	305
Zachowania dewiacyjne młodzieży w percepcji rówieśników : studium psychologiczno-pedagogiczne	Kluz, Tadeusz. 	HV1441.P7 K58 2005		Wydawnictwo Uniwersytetu Mikołaja Kopernika, 	2005	192
