title	author	WD_signature	storage	publisher	year	pages
Ze stadionów na barykady 1918-1944	Chmielewski, Zbigniew. 			Wojskowe Centrum Edukacji Obywatelskiej im. płk dypl. Mariana Porwita	2019	151
Połączenie odebrane	Boniecki, Adam Edward (1934- ). 		magazyn	Tygodnik Powszechny	2019	219
Podstawy reologii konstrukcji z betonu = Fundamentals of rheology of concrete structures	Brunarski, Lesław (1929- ). 		magazyn	Instytut Techniki Budowlanej	2019	138
Modlitwa muzułmanina	Chadid, Youssef. 		magazyn	Liga Muzułmańska w Rzeczpospolitej Polskiej	2019	101
Indygo	Chmielewski, Michał Jan (1986- ). 	PG7203.H655 I54 2019		MORGANA Katarzyna Wolszczak	2019	263
Potrzeby usługowe osób starszych w warunkach przemian demograficznych w Polsce	Dąbrowska, Anna (ekonomika). 			Oficyna Wydawnicza SGH Szkoła Główna Handlowa	2019	167
Obcy w obcej ziemi : życie wiarą w postchrześcijańskim świecie	Chaput, Charles J. (1944- ). 	BR115.W6 C47165 2019		Wydawnictwo Sióstr Loretanek	2019	359
Wrocław : wydarzenia niezwykłe	Chądzyński, Wojciech (1950- ). 	DK4780.3 .C526 2019		Via Nova	2019	206
Mediacja w dochodzeniach policyjnych : perspektywa teoretyczna i praktyczna	Choromańska, Agnieszka. 			Wydawnictwo Wyższej Szkoły Policji	2019	623
Pożegnaj wagę : jak wykorzystać techniki ACT w odchudzaniu i utrzymaniu wymarzonej sylwetki	Ciarrochi, Joseph. 	RM222.2 .C53165 2019		Gdańskie Wydawnictwo Psychologiczne	2019	280
Trudne spotkania w konfesjonale : trzydzieści problemów sumienia	Ciccone, Lino (1919-2014). 	BX2265.3 .C53165 2019		Wydawnictwo Serafin	2019	209
Ogień Jozjasza : autyzm odebrał mu mowę, Bóg podarował mu głos	Cullen, Tahni. 		magazyn	Wydawnictwo Szaron	2019	339
Matematyka 6 : podręcznik dla klasy szóstej szkoły podstawowej. Cz. 2	Borzyszkowska, Jolanta (matematyka). 		magazyn	Grupa MAC S.A.	2019	176
Fatima - historia prawdziwa : pełna relacja objawień fatimskich	De Marchi, Giovanni (1914-2003). 		magazyn	MI Militia Immaculatae	2019	199
Return to Kahiki : native Hawaiians in Oceania	Cook, Kealani (1976- ). 	DU624.65 .C66 2019		Cambridge University Press	2019	255
Krew z mojej krwi : wiosna komisarza Ricciardiego	De Giovanni, Maurizio (1958- ). 	PQ4904.E146 C65165 2019		Noir sur Blanc	2019	304
Kapłaństwo, charyzma i jego Zielonki : ksiądz Adam Zięba (1907-1979)	Bulak, Jan. 		magazyn	Biblioteka Publiczna	2019	150
Do ciotusieńki dobrodziejki	Borkowska, Małgorzata (1939- ). 		magazyn	Tyniec, Wydawnictwo Benedyktynów	2019	192
Helter skelter : prawdziwa historia morderstw które wstrząsnęły Hollywood	Bugliosi, Vincent (1934-2015). 	HV6248.M34 B84165 2019		Zysk i S-ka Wydawnictwo	2019	656
Czterdzieści dni = Erbgħin Jum	Cassar, Antoine (1978- ). 	PJ6891.9.C37 E73 2019		Instytut Kultury Miejskiej	2019	206
Wezwanie do miłości	De Mello, Anthony (1931-1987). 		magazyn	Zysk i S-ka Wydawnictwo	2019	161
Zrozumieć fizykę : maturalne karty pracy z dziennikiem laboratoryjnymi 1 : dla liceum ogólnokształcącego i technikum	Borgensztajn, Joanna. 		magazyn	Nowa Era	2019	128
Rusz z miejsca : uwolnij się od lęków i nawyków : uczyń swoje życie lepszym	Chödrön, Pema (1936- ). 		magazyn	Wydawnictwo Zwierciadło	2019	201
Zmierzch	Dazai, Osamu (1909-1948). 		magazyn	Tajfuny	2019	150
Fikcje	Borges, Jorge Luis (1899-1986). 	PQ7797.B635 F5165 2019		Państwowy Instytut Wydawniczy	2019	252
Matematyka z kluczem 6 : podręcznik nauczyciela : materiały dydaktyczne do matematyki dla szkoły podstawowej. Cz. 1	Braun, Marcin. 		magazyn	Nowa Era	2019	175
Nauczyciel bibliotekarz w szkole : plan pracy biblioteki, zasady zatrudniania, warunki awansu, czas pracy : po zmianach w przepisach od 1 września 2019 r.	Celuch, Małgorzata. 	KKP3180.3 .C45 2019	magazyn	Wiedza i Praktyka	2019	147
Otogizōshi : księga japońskich opowieści	Dazai, Osamu (1909-1948). 	PL825.A8 O86165 2019		Wydawnictwo Akademickie DIALOG	2019	157
Dominika Anna Borek : Niczym : obrazy i autokomentarz	Borek, Dominika Anna (1986- ). 		magazyn	Wydawnictwa PWSZ w Tarnowie	2019	156
Potoczność w przekładzie dialogu powieściowego : na materiale polskich przekładów współczesnej francuskiej prozy powieściowej	Cook, Jadwiga. 	PQ144 .C65 2019		Towarzystwo Autorów i Wydawców Prac Naukowych UNIVERSITAS	2019	243
Staropolskie fascynacje literackie świętością	Cieślak, Stanisław (1934- ). 	PG7023.H65 C54 2019		Wydawnictwo Bernardinum	2019	228
Pestki	Ciarkowska, Anna. 	PG7203.I27 P47 2019		Otwarte	2019	221
Słownik własności przemysłowej : polsko-angielski, angielsko-polski	Brudnicka, Elżbieta. 	K1504.6 .B78 2019		Urząd Patentowy Rzeczypospolitej Polskiej	2019	191
Zaangażowanie inwestorów instytucjonalnych w nadzór w spółkach giełdowych	Bosek-Rak, Dominika. 	HD2741 .B68 2019		Oficyna Wydawnicza SGH Szkoła Główna Handlowa	2019	266
Urbex history : wchodzimy tam, gdzie nie wolno	Dąbrowski, Łukasz (turystyka alternatywna). 	G156.5.H47 D25 2019		Wydawnictwo Otwarte	2019	415
Jezus u bram islamu	Bogdański, Stanisław. 		magazyn	Wydawnictwo Zacheusz	2019	282
Matematyka 6 : przewodnik metodyczny dla nauczyciela	Borzyszkowska, Jolanta (matematyka). 		magazyn	MAC Edukacja	2019	112
Udział redemptorystów polskich w odrodzeniu Kościoła rzymskokatolickiego na Białorusi	Brudzisz, Marian (1930- ). 	BX4020.Z5 B53 2019		Homo Dei	2019	237
