title	author	WD_signature	storage	publisher	year	pages
Stanisław Konarski - pedagog, polityk, filozof		LB575.K662 S72 2004	magazyn	WP UW, 	2004	118
Spawanie w energetyce : XV Międzynarodowa Konferencja = Zváranie v energetike : XV Medzinárodna Konferencia, Kielce, 22-24 września 2004			magazyn	Wydawnictwo Instytut Śląski, 	2004	155
Warunki mieszkaniowe gospodarstw domowych i rodzin - województwo podlaskie : Narodowy Spis Powszechny Ludności i Mieszkań 2002, Powszechny Spis Rolny 2002		HD7345.7.P63 W37 2004		US, 	2004	264
Wielokulturowe środowisko historyczne Lwowa w XIX i XX w. T. 2		D13.5.U4 W54 2004 t.2		Wydaw. Uniwersytetu Rzeszowskiego, 	2004	412
Energia i środowisko w technologiach materiałów budowlanych : materiały III międzynarodowj konferencji naukowej			magazyn	Wydaw. IŚ, 	2004	442
Usługi a rozwój gospodarczo-społeczny : materiały konferencji naukowej		G155.P7 U85 2004		GTN, 	2004	233
Kościół w życiu publicznym : teologia polska i europejska wobec nowych wyzwań. T. 1, Wykłady i wprowadzenia do dyskusji grupowych		BX1751.3 .K67 2004 t.1		Wydawnictwo KUL, 	2004	474
Essays on Mammals of Białowieża Forest			magazyn	Mammal Research Institute Polish Academy of Sciences, 	2004	214
Podstawy rachunkowości		HF5653 .P555 2004	magazyn	"Towarzystwo Naukowe Organizacji i Kierownictwa ""Dom Organizatora"", "	2004	614
Cognitive linguistics, second language acquisition, and foreign language teaching			magazyn	Mouton de Gruyter, cop. 	2004	283
Księga 50-lecia Wydziału Inżynieryjno-Ekonomicznego			magazyn	Wydawnictwo Akademii Ekonomicznej im. Oskara Langego, 	2004	197
Autorzy kina polskiego		PN1993.5.P55 A97 2004 t.1		"""Rabid"", "	2004	256
Droga do Europy : opinie ukraińskich elit		HC240.25.U38 D76 2004	magazyn	"Międzynarodowa Fundacja ""Odrodzenie"", "	2004	238
Borysław w okruchach wspomnień : antologia. Cz. 2		DK508.95.B67 B67 2000 t.2		Stowarzyszenie Przyjaciół Ziemi Drohobyckiej. Koło w Warszawie, 	2004	336
Integration in the globalising world economy		HC240 .I58 2004	magazyn	Warsaw School of Economics Publishers, 	2004	356
Oparzenia w katastrofach i masowych zdarzeniach		RD96.4 .O63 2004		Wydaw. Lekarskie PZWL, cop. 	2004	331
Wyprawy na koniec świata		G465 .W96 2004		Wydaw. G+J RBA, cop. 	2004	341
Basen permski niżu polskiego : czerwony spągowiec - budowa i potencjał zasobowy : konferencja naukowo - techniczna, Piła, 23 IV 2004		QE674 .B37 2004		Bogucki - Wydaw. Naukowe, 	2004	162
50 lat slawistyki w Polskiej Akademii Nauk (1954-2004) : księga jubileuszowa Instytutu Slawistyki PAN		DJK36.P6 A15 2004		Slawistyczny Ośrodek Wydawniczy, 	2004	406
Mistrzowie grafiki = Masters of graphic art		NE735.P6 M57 2004		Muzeum Narodowe, 	2004	127
Komórki roślinne w warunkach stresu. T. 1, Komórki in vivo. Cz. 2, Warunki stresu		QK754 .K66 2004 t. 1 cz. 2		Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza, 	2004	201
Wychowanie patriotyczno-obronne : tradycje i współczesność		JN6767.A2 W87 2004	magazyn	Wydaw. Akademii Podlaskiej, 	2004	220
Trendy naukowe młodzieży akademickiej : nauki humanistyczne : praca zbiorowa			magazyn	Wydawnictwo Akademii Podlaskiej, 	2004	194
Rozwijanie twórczości i inteligencji emocjonalnej dzieci i młodzieży : poradnik dla wychowawców i nauczycieli		LB1062 .R68 2004		"""Impuls"", "	2004	161
Poradnik ochrony mokradeł w krajobrazie rolniczym		QH77.P6 P67 2004	magazyn	Wydaw. Klubu Przyrodników, 	2004	141
Jubileusz 50-lecia Oddziału PZITB w Gliwicach			magazyn	PZITB - Oddział, 	2004	147
Drugi balsam dla duszy nastolatka czyli Kolejne opowieści o życiu, miłości i nauce			magazyn	Rebis, 	2004	348
Rzecznictwo : jak skutecznie zabiegać o realizację praw osób z autyzmem i innymi całościowymi zaburzeniami rozwojowymi		HV1570 .R94 2004	magazyn	Fundacja Synapsis, 	2004	168
Wybrane elementy sytuacji ekonomicznej gospodarstw rolnych 2002 - województwo dolnośląskie : [Narodowy Spis Powszechny Ludności i Mieszkań 2002, Powszechny Spis Rolny 2002		HD1995.7.Z9 S548 2004		US, 	2004	176
Nowoczesność przemysłu i usług - nowe wyzwania : praca zbiorowa. T. 2		HD70.P6 N694 2004 t.2		Towarzystwo Naukowe Organizacji i Kierownictwa. Oddział, 	2004	360
Punkty widzenia II : strategie autorskie w czeskim i polskim teatrze i filmie = Pohledy II		PN2018 .P86 2004		Wydawnictwo Uniwersytetu Śląskiego, 	2004	204
Higiena pracy dla pielęgniarek : wybrane zagadnienia		RT67 .H54 2004		Wydaw. Naukowe AM, 	2004	198
Trendy naukowe młodzieży akademickiej : nauki ekonomiczne : praca zbiorowa			magazyn	Wydawnictwo Akademii Podlaskiej, 	2004	171
Wielkopolska nasza kraina. T. 1, Rzecz o współczesności i przyrodzie		DK4600.W55 W54 2004 t.1		Kurpisz, 	2004	327
Gwary Mazowsza, Podlasia i Suwalszczyzny. 1, Filipów, pow. Suwałki		PG6760 .G93 2004 t.1	magazyn	Wydaw. Uniwersytetu w Białymstoku, 	2004	303
Słowo - myśl - działanie : Towarzystwo Kultury Języka i jego prezesi		PG6069.5.T68 S56 2004	magazyn	Elipsa, 	2004	140
Almanach kompozytorów Akademii Muzycznej im. F. Chopina w Warszawie. T. 2		ML390 .A46 2004 t.2		AMFC, 	2004	332
Nafta i gaz Podkarpacia : zarys historii		HD9575.P63 G35 2004		Wydaw. Naukowa Dumka, 	2004	570
Opowiadanie w perspektywie badań porównawczych		PN3383.N35 O66 2004		"""Universitas"", cop. "	2004	462
100 lat Domu Jana Matejki w Muzeum Narodowym w Krakowie : materiały do historii Domu Jana Matejki		N3152.32.D66 A15 2004		MN, 	2004	158
Młodzi obywatele : wyniki międzynarodowych badań młodzieży		HQ796 .M66 2004	magazyn	Wydawnictwa UW, 	2004	246
Współczesne problemy wielofunkcyjnego gospodarstwa leśnego : las bliżej społeczeństwa			magazyn	PTL, 	2004	167
Kodeks spółek handlowych i inne teksty prawne : teksty jednolite			magazyn	C.H. Beck, 	2004	277
Vademecum osoby niepełnosprawnej		KKP518.3.P46 V33 2004		Powiatowe Centrum Pomocy Rodzinie, 	2004	185
Przemiany przemysłu spożywczego w latach 1988-2003 : praca zbiorowa		HD9015.P72 P79 2004		IERiGŻ, 	2004	211
Radiologia pediatryczna		RJ51.R3 P43165 2004		Wydaw. Lekarskie PZWL, cop. 	2004	249
Samouczek do samodzielnej nauki języka angielskiego : ucz się sam : wskazówki praktyczne, wymowa fonetyczna, słownik tematyczny. Z. 2, [Rodzina, dom, wynajmowanie mieszkania, kłopoty z mieszkaniem, w kuchni, w łazience, mój pokój, wyrażanie potrzeb, orientacja w terenie, autobus miejski i metro, autobus dalekobieżny, na dworcu i w pociągu, podróż samolotem, taksówki		PE1129.S6 S26 2004 t.2		Exter, cop. 	2004	119
Fiscal transparency in Ukraine : assessment and recommendations		HJ1211.59 .F57 2004b		IBGR, 	2004	140
Złota Księga Nauk Humanistycznych 2004			magazyn	"Polski Instytut Biograficzny ""Mastermedia"", cop. "	2004	480
1543 : zapisy polskojęzyczne w księgach sądów szlacheckich województwa krakowskiego		KKP2935.K72 A13 2004		Collegium Columbinum, cop. 	2004	230
Tablice  biologiczne : [praca zbiorowa		QH310 .T33 2004		Wydawnictwo Adamantan, cop. 	2004	487
Edukacja kulturalna dorosłych : raporty z badań międzykulturowych : praca zbiorowa		LC5215 .E39 2004		Wydaw. Instytutu Technologii Eksploatacji, 	2004	429
Ius et lex : księga jubileuszowa profesora Andrzeja Kabata		KKP74 .I95 2004		Wydawnictwo Uniwersytetu Warmińsko-Mazurskiego, cop. 	2004	448
Charakterystyka gospodarstw indywidualnych prowadzących rachunkowość rolną 2002 : [Narodowy Spis Powszechny Ludności i Mieszkań, Powszechny Spis Rolny 2002			magazyn	US, 	2004	123
Kościół w życiu publicznym : teologia polska i europejska wobec nowych wyzwań. T. 2, Materiały spotkań sekcyjnych		BX1751.3 .K67 2004 t.2		Wydawnictwo KUL, 	2004	576
Oprogramowanie edukacyjne w Linuksie : matematyka, fizyka, chemia, informatyka : praca zbiorowa		LB1028.68 .O67 2004		Mikom, 	2004	200
Największe zagadki ludzkości : badania, odkrycia, hipotezy		Q173 .F37165 2004		Reader's Digest, 	2004	384
Współczesna Europa : praca zbiorowa		D2020 .W77 2004		Wyższa Szkoła Nauk Humanistycznych i Dziennikarstwa, 	2004	312
Najlepsze praktyki zarządzania ludźmi w małych i średnich przedsiębiorstwach : materiały na konferencję		HF5549.2.P6 N33 2004		Polska Fundacja Promocji Kadr - Zarząd, 	2004	393
Dwór polski : zjawisko historyczne i kulturowe : materiały VII seminarium zorganizowanego przez Oddział Kielecki Stowarzyszenia Historyków Sztuki i Dom Środowisk Twórczych w Kielcach, Kielce, 16-18 października 2003		NA7412.P6 D853 2004		Stowarzyszenie Historyków Sztuki, 	2004	527
Współczesne wyzwania wobec edukacji elementarnej		LB1555 .W895 2004		Wydaw. Akademii im. Jana Długosza, 	2004	422
Udział jednostek Wojska Polskiego w międzynarodowych operacjach pokojowych w latach 1973-2003 : wybrane problemy		JZ6377.P7 U37 2004		Akademia Obrony Narodowej - Wydział Wydawniczy, 	2004	161
Ideał nauki i wartości w filozofii XIX-XXI wieku = The concepts of science and values in philosophy of 19th-21st centuries		B803 .I32 2004	magazyn	Stowarzyszenie Twórcze Artystyczno-Literackie, 	2004	356
Teoretyczne i praktyczne aspekty nauczania integracyjnego w szkole samorządowej		LC4036.P7 T46 2004		"Szkoła Podstawowa nr 6 im. ""Zdobywców Wału Pomorskiego"", "	2004	217
Internet w społeczeństwie informacyjnym : podstawowe problemy Internetu : praca zbiorowa		TK5105.875.I57 I595 2004		Wydawnictwa Naukowo-Techniczne, 	2004	303
Diplomacy. Vol. 3, Problems and issues in contemporary diplomacy		JZ1405 .D57 2004 t.3		Sage Publications, 	2004	374
Walka o krzyże : Miętne - Włoszczowa 1984		BX1566.2 .W35 2004		Pax, 	2004	253
Podziemie niepodległościowe w województwie białostockim w latach 1944-1956		DK4600.B5285 P64 2004		IPN KŚZpNP, 	2004	181
Warunki mieszkaniowe gospodarstw domowych i rodzin 2002 - województwo Łódzkie : [Narodowy Spis Powszechny Ludności i Mieszkań 2002, Powszechny Spis Rolny 2002		HD7345.7.L63 W37 2004		US, 	2004	200
Polska i wieś na drodze do Unii Europejskiej		HD1995.7.Z8 P64 2004		Wydaw. Akademii Bydgoskiej im. Kazimierza Wielkiego, 	2004	138
Obwód Kaliningradzki Federacji Rosyjskiej - historia i współczesność : materiały z polsko-rosyjskiej konferencji zorganizowanej przez Wydział Humanistyczny Wyższej Szkoły Humanistyczno-Ekonomicznej we Włocławku w dniu 3 kwietnia 2003 r.		DK651.K1213 O29 2004	magazyn	Wyższa Szkoła Humanistyczno-Ekonomiczna, 	2004	121
Pokój i dobro : modlitewnik Franciszkańskiego Zakonu Świeckich			magazyn	Wydaw. Ojców Franciszkanów, 	2004	613
Internet w społeczeństwie informacyjnym : internet w systemach zarządzania : praca zbiorowa		HD30.37 .I57 2004		Wydawnictwa Naukowo-Techniczne, 	2004	267
Nowe kierunki w zarządzaniu przedsiębiorstwem : między teorią a praktyką		HD36 .N675 2004		Wydaw. Akademii Ekonomicznej im. Oskara Langego, 	2004	675
Wielkopolska nasza kraina. T. 3, Rzecz o wybitnych ludziach, kulturze ludowej i turystyce Wielkopolski		DK4600.W55 W54 2004 t.3		Kurpisz, 	2004	223
Osoby niepełnosprawne - województwo podlaskie : Narodowy Spis Powszechny Ludności i Mieszkań 2002, Powszechny Spis Rolny 2002		HV1559.P7 O794 2004		US, 	2004	231
Geografia problemów ekologiczno-krajobrazowych Słupska		GE160.P72 S674 2004		Wydawnictwo Pomorskiej Akademii Pedagogicznej, 	2004	251
Księga tajemnic : [nadnaturalne zjawiska wokół nas		AG243 .A45165 2004	magazyn	Reader's Digest, 	2004	464
Rozwój regionalny a procesy globalizacji : praca zbiorowa		HT388 .R7 2004		Wydaw. Uniwersytetu w Białymstoku, 	2004	265
Praca a bezczynność zawodowa		HD4904 .P73 2004		Wyższa Szkoła Społeczno-Gospodarcza, 	2004	255
Studia z dziejów Polski i Europy w XIX i XX wieku : księga dedykowana profesorowi Piotrowi Stefanowi Wandyczowi		DK4349.3 .S78 2004		Sonar, 	2004	644
Przeżywamy ciekawe przygody : pomysły zabaw dla dzieci i młodzieży			magazyn	"Wydaw. ""Jedność"", "	2004	104
Aktywność ekonomiczna ludności związanej z rolnictwem 2002 : [Narodowy Spis Powszechny Ludności i Mieszkań 2002, Powszechny Spis Rolny 2002		HB2488.7.A3 A44 2004		GUS, 	2004	343
Changing functions of rural areas in the Baltic Sea region		HN380.Z9 C63 2004		Institute of Geography and Spatial Organization. Polish Academy of Sciences, 	2004	158
Szanse i perspektywy polskiej gospodarki w Unii Europejskiej		HC240.25.P7 S984 2004		Polskie Wydaw. Ekonomiczne, 	2004	279
Ekonomiczne i organizacyjne aspekty rozwoju turystyki		G155.P7 E355 2004		Wydawnictwo Wyższej Szkoły Informatyki i Zarządzania, 	2004	214
W krainie białych skał : zadania dydaktyczne i scenariusze zajęć terenowych dla nauczycieli prowadzących edukację przyrodniczą w Złotym Potoku i Ojcowie : praca zbiorowa			magazyn	OPN, 	2004	148
...a droga wiodła przez Łódź.		DS134.72.K57 A33 2004		Tygiel Kultury, 	2004	107
Osoby niepełnosprawne - województwo lubelskie : Narodowy Spis Powszechny Ludności i Mieszkań 2002, Powszechny Spis Rolny 2002		HV1559.P7 O787 2004		US, 	2004	199
Region jurajski w piśmiennictwie polskim od XV wieku do początków XX wieku		DK4600.K75 R44 2004		WSHiT, 	2004	255
Komórki roślinne w warunkach stresu. T. 2, Komórki in vitro		QK754 .K66 2004 t. 2		Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza, 	2004	167
Groźne zjawiska pogodowe w Polsce		QC989.P7 A88 1974 t.18	magazyn	Wydział Geografii i Studiów Regionalnych Uniwersytetu Warszawskiego, 	2004	217
Wybrane zagadnienia ekonomiki ochrony środowiska leśnego			magazyn	Wydaw. Akademii Rolniczej im. Augusta Cieszkowskiego, 	2004	203
Offense, defense, and war		U162 .O36 2004		The Massachusetts Institute of Technology, 	2004	444
Problemy ochrony zasobów wodnych w dorzeczu Odry : X międzynarodowa konferencja naukowo-techniczna, Jugowice, 16-19 maja 2004 r.		TD295.P7 P765 2004		Wydaw. RZGW, [	2004	414
Motywowanie menedżerów XXI wieku - pieniądz czy samorealizacja? : materiały z sympozjum naukowego, Siedlce, 19 listopada 2003 r.		HD38.2 M68 2004		Wydaw. Akademii Podlaskiej, 	2004	113
Analiza potrzeb innowacyjnych przedsiębiorstw w województwie podlaskim		HC340.3.Z7 P6423 2004		Wydaw. Wyższej Szkoły Ekonomicznej, 	2004	211
Kodeks postępowania karnego i inne teksty prawne				C.H. Beck, 	2004	325
Spójność rodziny a jej obraz w oczach dorastających dzieci		HQ728 .S66 2004		Wydaw. UŚ, 	2004	169
Language and culture : establishing foundations for anthropological linguistics		P35 .L37 2004	magazyn	WSFiZ, 	2004	329
Opisy parafii i kościołów bydgoskich 1791-1921 : wybór źródeł			magazyn	Bydgoskie Towarzystwo Naukowe, 	2004	335
Zarządzanie przedsiębiorstwem		HD36 .Z2735 2004		"""Difin"", "	2004	448
Niepokoje polskie		HN537.5 .N547 2004		Wydawnictwo Instytutu Filozofii i Socjologii PAN, 	2004	479
Sprawdziany osiągnięć szkolnych w klasie trzeciej			magazyn	Nowa Era, 	2004	142
Contemporary European foreign policy		JZ1570 .C66 2004		SAGE Publishers, 	2004	278
Nadzieje, złudzenia, rzeczywistość : studia z historii Polski XX wieku : księga dedykowana profesorowi Tadeuszowi Wyrwie		DK4150 .N34 2004		Zamiejscowy Wydział Kultury Fizycznej poznańskiej AWF, 	2004	550
Obyczaje w Polsce : od średniowiecza do czasów współczesnych : praca zbiorowa		DK4110 .O35 2004		Wydaw. Naukowe PWN, 	2004	446
Metody statystycznej analizy wielowymiarowej w badaniach marketingowych		HF5415.2 .M48 2004		Wydaw. Akademii Ekonomicznej im. Oskara Langego, 	2004	393
Polszczyzna mówiona mieszkańców miast : księga referatów z konferencji językoznawczej w Białymstoku		PG6074.8 .P66 2004	magazyn	Wydawnictwo Uniwersytetu w Białymstoku, 	2004	280
Rozmówki włoskie ze słowniczkiem			magazyn	Langenscheidt Polska, [	2004	224
Bezpieczeństwo i wolność jako kategorie kulturowe i społeczne : zbiór prac		HM1266 .B49 2004		Wydaw. Akademii Podlaskiej, 	2004	240
Poziom życia w Polsce i krajach Unii Europejskiej : praca zbiorowa		HD7022 .P69 2004		Polskie Wydaw. Ekonomiczne, 	2004	256
Pozyskiwanie wiedzy i zarządzanie wiedzą		HD30.2 .P6962 2004		Wydaw. AE, 	2004	384
Z Chrystusem na drogach życia : podręcznik metodyczny do religii dla III klasy liceum i IV technikum			magazyn	Gaudium, 	2004	197
Konstytucja i sądowe gwarancje jej ochrony : księga jubileuszowa Profesora Pawła Sarneckiego		KJC5456 .K66 2004	magazyn	Zakamycze, 	2004	267
Fauna miast Europy Środkowej 21 wieku = Urban fauna of Central Europe in the 21 century		QL254 .F38 2004		Piotr Indykiewicz, Tadeusz Barczak, 	2004	584
