title	author	WD_signature	storage	publisher	year	pages
Innowacje, kształcenie, zarządzanie : (wybrane zagadnienia) : praca zbiorowa		HD45 .I554 2006		Wydawnictwo Instytutu Technologii Eksploatacji, 	2006	267
Wczesna interwencja i wspomaganie rozwoju małego dziecka		HQ767.9 .W39 2006		"""Impuls"", "	2006	462
Słownik terminologii medialnej		P87.5 .S56 2006	magazyn	Towarzystwo Autorów i Wydawców Prac Naukowych Universitas, 	2006	250
Zarys dziejów Szkoły Podstawowej i Gimnazjum w Białce Tatrzańskiej 1856-2006 : praca zbiorowa			magazyn	Zespół Szkół - Szkoła Podstawowa i Gimnazjum, 	2006	227
Trzebiatów - spotkania pomorskie - 2005 r.		DK4600.T79 T792 2006		na zlec. Trzebiatowskiego Ośrodka Kultury, [	2006	185
Z dziejów Liceum Ogólnokształcącego im. Kazimierza Wielkiego w Łęczycy			magazyn	"P.P.-H. ""Drukarnia"" Sp., "	2006	356
The modern history of China		DS754 .M63 2006		Księgarnia Akademicka, 	2006	395
Pytanie prejudycjalne w orzecznictwie ETS : funkcjonowanie procedury prejudycjalnej w Polsce : praca zbiorowa		KJE5472.A8 P98 2006		"Towarzystwo Naukowe Organizacji i Kierownictwa ""Dom Organizatora"", "	2006	327
Marek Koterski		PN1998.3.K68 M37 2006	magazyn	Muzeum Sztuki Filmowej, 	2006	100
85-lecie studiów w zakresie farmacji i 25-lecie studiów w zakresie analityki medycznej w Poznaniu : księga pamiątkowa. T. 2			magazyn	Wydawnictwo Naukowe Akademii Medycznej im. Karola Marcinkowskiego, 	2006	168
Procesy restrukturyzacji a konkurencyjność w warunkach globalizacji		HD70.P6 P745 2006		[Fundacja Akademii Ekonomicznej], 	2006	411
Postępy robotyki : praca zbiorowa. [2], Systemy i współdziałanie robotów		TJ210.3 .P673 2006		Wydawnictwa Komunikacji i Łączności, 	2006	350
Z myśli hiszpańskiej i iberoamerykańskiej : filozofia, literatura, mistyka		B4561 .Z26 2006	magazyn	Instytut Filozofii Uniwersytetu Warmińsko-Mazurskiego, 	2006	340
Mikrobiologia praktyczna : materiały do ćwiczeń dla studentów Wydziału Farmaceutycznego i Oddziału Analityki Medycznej			magazyn	Zakład Mikrobiologii Farmaceutycznej Akademii Medycznej, 	2006	114
Problemy zarządzania finansami we współczesnych przedsiębiorstwach : praca zbiorowa		HG4006 .P75 2006		Vizja Press & IT, 	2006	392
Zdrowie i jego ochrona : między teorią a praktyką		RA393 .Z47 2006		Szkoła Główna Handlowa w Warszawie, 	2006	298
"Krakowski Jazz - Klub ""Helikon"" : 1956-1969 : wspomnienia, impresje i relacje"		ML3509.P78 K753 2006		Polskie Wydawnictwo Muzyczne, 	2006	203
