title	author	WD_signature	storage	publisher	year	pages
Konstytucja Rzeczypospolitej Polskiej				LexisNexis Polska, 	2011	101
Uwarunkowania sprawności innowacyjnej przedsiębiorstw		HD58.8 .U93 2011		Wydawnictwo Uniwersytetu Ekonomicznego, 	2011	170
Metodyka i badania jakości kształcenia w szkolnictwie wyższym w Polsce		LB2331.65.P7 M48 2011		Szkoła Główna Handlowa - Oficyna Wydawnicza, 	2011	282
Zagrożenia dla bezpieczeństwa międzynarodowego w XXI wieku : azjatycka perspektywa		JZ6009.A75 Z34 2011		Wydawnictwo Adam Marszałek, cop. 	2011	369
Journalism after September 11		PN4853 .J59 2011		Routledge, 	2011	342
Pobór podatków samorządowych		KKP3660 .P58 2011		Wydaw. KUL, 	2011	213
Edukacja poprzez kulturę : kreatywność i innowacyjność/ pod red. nauk. Doroty Ilczuk i Sławomira Ratajskiego ; [aut. Juliusz Braun et al.].		LB45 .E49 2011	magazyn	Polski Komitet do spraw UNESCO, 	2011	362
"Post-Gauguin : wystawa w ramach XI Biennale ""Wobec Wartości"", Galeria Sztuki Współczesnej BWA w Katowicach, Muzeum Archidiecezjalne w Katowicach, 25.03-08.05.2011 = exhibition within the framework of the 11th Biennal ""Towards Values"", BWA Contemporary Art Gallery in Katowice, Archdiocese Museum in Katowice"			magazyn	Galeria Sztuki Współczesnej BWA, 	2011	121
Dieta Kliniki Mayo		RM222.2 .M38165 2011		Dom Wydawniczy Rebis, 	2011	254
Symbol w dziele Cypriana Norwida		PG7158.N572 S93 2011	magazyn	nakładem Wydziału Polonistyki Uniwersytetu Warszawskiego, 	2011	384
Aparat bezpieczeństwa w Polsce w latach 1954-1956 : taktyka, strategia, metody		DK4429 .A633 2011	magazyn	Instytut Pamięci Narodowej. Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu, 	2011	487
Komunikowanie się Polaków w okresie II wojny światowej		D810.C7 K66 2011	magazyn	Wydawnictwo Uniwersytetu Marii Curie- Skłodowskiej, 	2011	240
Nauka, edukacja, wychowanie : księga jubileuszowa dedykowana profesorowi doktorowi habilitowanemu Franciszkowi Szloskowi			magazyn	Wydawnictwo Uniwersytetu Przyrodniczo-Humanistycznego, 	2011	525
Kodeks karny skarbowy wraz z indeksem rzeczowym		KKP3693.A311999 A4 2011		Wydawnictwo C. H. Beck, cop. 	2011	115
Fundator i mecenas : magnateria Rzeczypospolitej w XVI-XVIII wieku		NX705.5.P7 F86 2011		Trans Humana, 	2011	428
"Wokół ""Złotych żniw"" : debata o książce Jana Tomasza Grossa i Ireny Grudzińskiej-Gross"		DS134.55 .G754 2011		Wydawnictwo Znak, 	2011	254
Dependence or cooperation? : dialectics of official practices			magazyn	Institute of Applied Social Sciences. University of Warsaw, 	2011	152
Wzrost gospodarczy : teoria, rzeczywistość		HD84.5 .W88 2011		Wydawnictwo Uniwersytetu Ekonomicznego, 	2011	477
Sztuka dla dziecka : tradycja we współczesności : praca zbiorowa		NX180.C45 S98 2011		Centrum Sztuki Dziecka, 	2011	298
Kobiety w chemii : [materiały konferencyjne], Centrum Edukacji Nauczycieli w Gdańsku, 7 czerwca 2011 r.		QD21 .K63 2011		Centrum Edukacji Nauczycieli [etc.], 	2011	136
Katowice w kulturze pamięci		DK4800.K38 K45 2011		Polska Akademia Nauk. Oddział [etc.], 	2011	296
Extreme environmental events : complexity in forecasting and early warning. Vol. 2		GB5014 .E96 2011 t.2		Springer, cop. 	2011	623
Diagnoza e-edukacji zawodowej osób dorosłych w województwie śląskim : raport z badań		LC5256.P72 S563 2011		CTC Polska, 	2011	118
Od akcesji do prezydencji : Kościół katolicki w Polsce i Unia Europejska		BX1490 .O32 2011		Wydawnictwo Adam Marszałek, 	2011	225
Ecohydrological methods in water management		TD255 .E26 2011		Wydawnictwo Politechniki Gdańskiej, 	2011	167
Publiczna troska, prywatna opieka : społeczności lokalne wobec osób starszych		HQ1064.P6 P83 2011	magazyn	Fundacja Instytut Spraw Publicznych, 	2011	322
Klub Performance : Warszawa, listopad 2004 - maj 2008 - ...		N7255.P62 W337 2011	magazyn	Wydawnictwo Sztuka Ogrodu, Sztuka Krajobrazu, 	2011	275
Narcyzm : jednostka, społeczeństwo, kultura		BF575.N35 N37 2011		Wydawnictwo Uniwersytetu w Białymstoku, 	2011	329
Przemiany demograficzno-społeczne na Pomorzu : ujęcie przestrzenne : praca zbiorowa		HB3608.7.P66 P79 2011		Wydawnictwo Uczelniane Politechniki Koszalińskiej, 	2011	154
Społeczno-pedagogiczne konteksty niepełnosprawności		HV1568 .S66 2011		Volumina.pl Daniel Krzanowski, 	2011	337
Ocalić od zapomnienia : 30 rocznica pielgrzymki Papieża Jana Pawła II do Nowego Targu			magazyn	Podhalańska Państwowa Wyższa Szkoła Zawodowa, 	2011	102
"""Drogi ku niepodległości"""			magazyn	Towarzystwo Przyjaciół 9 PSK, 	2011	148
Edukacja i świadomość finansowa : doświadczenia i perspektywy		HG179 .E38 2011		Szkoła Główna Handlowa w Warszawie - Oficyna Wydawnicza, 	2011	310
Technologie edukacyjne w wymiarze praktycyzmu. T. 2		LB1028.3 .T43 2011 t.2		Wydawnictwo Adam Marszałek, cop. 	2011	300
Homo sum: humani nil a me alienum puto : życie codzienne wczoraj i dziś		GT76 .H66 2011		Instytut Historii UAM, 	2011	216
Kodeks postępowania administracyjnego. Postępowanie egzekucyjne w administracji. Prawo o ustroju sądów administracyjnych. Prawo o postępowaniu przed sądami administracyjnymi : teksty jednolite wraz z indeksem rzeczowym		KKP2730 .A28 2011g		C. H. Beck, 	2011	304
Systemy wynagrodzeń w okresie spowolnienia gospodarczego		HD5047.7 .S97 2011		C.H. Beck, 	2011	159
Bibliografia edycji i studiów o literaturze polskiego renesansu i baroku 1995-2009		PG7036 .B52 2011		Wydawnictwo Neriton, 	2011	233
Optymalizacja, klasyfikacja, logistyka : przykłady zastosowań			magazyn	Wydawnictwo Uniwersytetu Łódzkiego, 	2011	310
Technologie informacyjne w warsztacie nauczyciela : nowe wyzwania edukacyjne		LB1028.43 .T46 2011		Wydawnictwo Naukowe Uniwersytetu Pedagogicznego, 	2011	383
A companion to Asian art and architecture		N7260 .C66 2011		Wiley-Blackwell, 	2011	668
