title	author	WD_signature	storage	publisher	year	pages
Morskie diabły	Borghese, Iunio Valerio (1907-1974). 	D775 .B67165 2018		Oficyna Wydawnicza Finna	2018	343
Przygody Alicji w Krainie Czarów	Carroll, Lewis (1832-1898). 		magazyn	Wydawnictwo Zielona Sowa	2017	170
Modelka	Bijoch, Zuzanna (1994- ). 		magazyn	Burda Publishing Polska	2017	260
Transport w przedsiębiorstwie : logistyka, spedycja, reklamacje	Budzyński, Wojciech. 	HF5765 .B83 2017		Poltext	2017	264
Pójdę do jedynej	Bulicz-Kasprzak, Kasia (1976- ). 	PG7202.U48 P64 2017		Prószyński Media	2017	372
Francuska filozofia nauk : szkice epistemologiczne	Bytniewski, Paweł (1954- ). 	Q174.8 .B95 2017		Wydawnictwo IFIS PAN	2017	133
Dialog obywatelski w Krakowie. 4, Ewaluacja Centrum Obywatelskiego	Bogacz-Wojtanowska, Ewa. 	JS6139.K7 D53 2015 t.4		Wydawnictwo ToC	2017	182
Historia piłki siatkowej w Bełchatowie w latach 1930-2015	Bojanowski, Bolesław. 		magazyn	Muzeum Regionalne	2017	301
Poradnik dyktatora czyli O politycznych zaletach niegodziwości	Bueno de Mesquita, Bruce (1946- ). 	JC330.3 .B84165 2017	magazyn	Polski Instytut Spraw Międzynarodowych	2017	374
Córka Fanny Hill	Cherrie, Janet. 		magazyn	Wydawnictwo Replika	2017	318
Rekin i baran : życie w cieniu islandzkich wulkanów	Biernat, Marta (1987- ). 	DL326 .B54 2017		Wydawnictwo Poznańskie	2017	318
Dzogczen : esencja serca Wielkiej Doskonałości	Bstan-'dzin-rgya-mtsho (XIV dalajlama ; 1935- ). 		magazyn	Wydawnictwo Rogaty Budda	2017	238
Adres nieznany	Child, Lee (1954- ). 	PS3553.H4838 N66165 2017b		Wydawnictwo Albatros	2017	445
Tajne archiwa archeologii	Bürgin, Luc (1970- ). 		magazyn	Wydawnictwo Amber	2017	270
Tajemniczy ogród	Burnett, Frances Hodgson (1849-1924). 		magazyn	Wydawnictwo Edipresse Polska	2017	297
Mutacje, czyli Ewolucja	Burlay, Jack. 	PG7202.U755 M88 2017		Open Space	2017	160
Ofiara krwawa w Grecji starożytnej w świetle danych filologicznych : Corpus Platonicum, Corpus Hippocraticum	Biernat, Przemysław (1987- ). 	B398.R4 B54 2017	magazyn	Wydawnictwo Naukowe Sub Lupa	2017	235
Hospicjum - drzewo życia : opieka paliatywno-hospicyjna w Poznaniu 1986-2004	Bogusz, Halina. 		magazyn	Wydawnictwo Kontekst	2017	246
Społeczna odpowiedzialność biznesu : nowa wartość konkurencyjna	Buglewicz, Ksenia (1978- ). 	HD60 .B84 2017		Polskie Wydawnictwo Ekonomiczne	2017	186
Ajurwedyjski detoks : naukowo potwierdzony 4-stopniowy program na stany zapalne, zdrowie jelit, ciała i umysłu	Chaudhary, Kulreet. 		magazyn	Wydawnictwo Vital	2017	344
Rzymskie Kameny nad Bałtykiem : o łacińskiej poezji w Gdańsku w drugiej połowie XVI wieku	Bogumił, Izabela. 	PA8052 .B64 2017		Wydawnictwo Uniwersytetu Gdańskiego	2017	324
Dobrze zaprojektowane życie	Burnett, Bill. 	BF637.S4 B88165 2017		Galaktyka	2017	201
Urlopy rodzicielskie : komu przysługuje urlop macierzyński, ojcowski, rodzicielski, wychowawczy, dla kogo zasiłek macierzyński, jakie są wymiary urlopów	Boguska, Anna (prawo). 		magazyn	Infor Biznes	2017	128
Spółdzielnia europejska w świetle prawa polskiego	Bierecki, Dominik. 	KJE2565 .B54 2017		Spółdzielczy Instytut Naukowy	2017	374
Pustelnik na wyspie Formentera	Bogusławski, Wojciech (1757-1829). 		magazyn	Katedra Edytorstwa. Uniwersytet Łódzki	2017	144
Zagadnienia ogólne	Bogucka, Iwona. 	KKP2730 .S95 2017 t.1		Wolters Kluwer Polska	2017	691
"Obecny stan muzyki we Francji i Italii albo Dziennik podróży przez owe kraje, podjętej celem zebrania materiałów dla ""Powszechnej historii muzyki"" : uzupełniony o pozostawione w rękopisie fragmenty w oparciu o wydanie Percy'ego Scholesa"	Burney, Charles (1726-1814). 	ML270.3 .B87165 2017		Muzeum Pałacu Króla Jana III w Wilanowie	2017	510
Wniosek o wpis w księdze wieczystej po nowelizacji : komentarz praktyczny, opłaty sądowe, wzór wniosku o wpis	Biernacki, Przemysław (prawo). 	KKP737 .B54 2017		Wydawnictwo C. H. Beck	2017	418
Mały lord	Burnett, Frances Hodgson (1849-1924). 		magazyn	Siedmioróg	2017	172
Prawo pracy	Barzycka-Banaszczyk, Małgorzata (1949- ). 	KKP1270 .B37 2017		Wydawnictwo C.H. Beck	2017	403
Mistrzyni swojego życia : żonglująca matka	Bogdańska, Kinga. 		magazyn	Kinga Bogdańska	2017	196
Art déco	Bolz, Franziska. 	N6494.A7 B65 2017		Könemann	2017	279
Jak zostać pisarzem	Cheshire, Simon (1954- ). 		magazyn	Wydawnictwo Juka-91	2017	144
