title	author	WD_signature	storage	publisher	year	pages
Klasyfikacja diagnostyczna DC:0-3R : klasyfikacja diagnostyczna zaburzeń psychicznych i rozwojowych w okresie niemowlęctwa i wczesnego dzieciństwa		RJ500.5 .D53165 2007		Fundament, [	2007	127
Dzięgielów 1305-2005			magazyn	"Wydawnictwo ""Warto"", [ca "	2007	117
Historia futbolu : mistrzostwa świata 1930-2006		GV943.49 .H57 2006		Oficyna Wydawnicza ATUT - Wrocławskie Wydawnictwo Oświatowe, [ca 	2006	239
Zapomniani bohaterowie II wojny światowej		D811.A2 F67165 2006		Bellona, [ca 	2006	206
Advertising now : print		HF5837 .A47 2006		Taschen, [	2006	640
Akty prawne 2005			magazyn	LECHAA, [ca 	2006	236
O bogactwie : aforyzmy, wiersze i przysłowia		PN6071.W39 O23 2006		Wydawnictwo ASTRUM, [ca 	2006	229
Małopolska 2015 : the Małopolska Region development strategy for 2007-2013			magazyn	Marshal Office of the Małopolska Region, [ca 	2006	147
Kierownicy akcji ratowniczych i osoby sprawujące nadzór nad kopalniami : [praca zbiorowa			magazyn	Centralna Stacja Ratownictwa Górniczego, [	2006	258
Doktoraty honoris causa Politechniki Rzeszowskiej nadane w latach 2002-2005 = Honorary doctorates of Rzeszow University of Technology conferred in the years 2002-2005			magazyn	Oficyna Wydawnicza Politechniki Rzeszowskiej, [ca 	2006	137
Słownik drzeworytników ksylografów				s.n., 	2006	143
Leczenie otyłości i towarzyszących zaburzeń metabolicznych		RC628 .L43 2006		Wydawnictwo Medyczne, [ca 	2006	200
Organizacja działań ratowniczych w kopalniach podziemnych : zakres informacji dla kierowników kopalnianych stacji ratownictwa górniczego : [praca zbiorowa			magazyn	Centralna Stacja Ratownictwa Górniczego, [	2006	344
Fuzje i przejęcia		HD2746.5 .H38165 2006		Helion, [ca 	2006	211
Organizacja działań ratowniczych w kopalniach podziemnych : zakres informacji dla osób dozoru nie będących ratownikami górniczymi : [praca zbiorowa			magazyn	Centralna Stacja Ratownictwa Górniczego, [	2006	179
Organizacja działań ratowniczych w kopalniach podziemnych : zakres informacji dla ratowników górniczych : [praca zbiorowa			magazyn	Centralna Stacja Ratownictwa Górniczego, [	2006	271
Rozmówki szwedzkie ze słowniczkiem			magazyn	Langenscheidt Polska, [ca 	2006	223
Employment in the public sector : Poland against the background of the EU		JN6762 .E48 2006		Szkoła Główna Handlowa. Oficyna Wydawnicza, ca 	2006	111
Strzemieszyce - moja mała Ojczyzna : 60 lat Liceum Ogólnokształcącego w Strzemieszycach			magazyn	"Muzeum Miejskie ""Sztygarka"", [ca "	2006	118
Rozmówki biznesowe - język angielski : najważniejsze sytuacje, praktyczne dialogi, profesjonalne zwroty		PE1115 .R69 2006		Langenscheidt Polska, [	2006	352
Matematyka z GRAN 1 - W			magazyn	Wyższa Szkoła Zarządzania i Marketingu, 	2005	251
Cities in the transforming post-communist countries : ten years of economic, social and spatial experience		HT131 .C58 2005		Polish Academy of Sciences. Institute of Geography and Spatial Organization, 	2005	171
Finansowe narzędzia zarządzania zakładem ubezpieczeń		HG8076 .F56 2005		"""Poltext"", "	2005	320
