title	author	WD_signature	storage	publisher	year	pages
Festiwal Małopolska wielu kultur	Dziedzic, Łukasz (regionalista). 		magazyn	Grafikon, [ca 	2013	230
Zróżnicowanie poziomu rozwoju społeczno-gospodarczego gmin województwa wielkopolskiego w świetle realizacji polityki intraregionalnej	Dyba, Wojciech M. 	HT395.P62 W54 2012		Bogucki Wydawnictwo Naukowe, 	2012	144
Motocross i offroad : terenowa jazda motocyklem	Degelmann, René (1968- ). 	GV1060.12 .D44165 2012		Wydawnictwo RM, 	2012	143
Rośliny kserotermiczne	Cwener, Anna (1975- ). 	QK322 .C84 2012		Multico Oficyna Wydawnicza, 	2012	316
Felińska	Cwenk, Małgorzata (1975- ). 	DK4379.5.F45 C84 2012		Wydawnictwo KUL, 	2012	279
Usługi turystyczne : komentarz	Cybula, Piotr (1977- ). 	KKP3425.A31997 C93 2012	magazyn	Wolters Kluwer Polska, 	2012	545
Oblicza neoklasycyzmu w kompozycji i interpretacji : na przykładzie wybranych Sonat na fagot i fortepian Camille'a Saint-Saënsa, Charlesa Koechlina i Paula Hindemitha	Dąbrowski, Grzegorz (muzyka). 		magazyn	Polihymnia, 	2012	110
The age of the Gods : a study in the origins of culture in prehistoric Europe and the ancient East	Dawson, Christopher (1889-1970). 	GN738 .D38 2012		The Catholic University of America Press, 	2012	325
Ochrona środowiska przyrodniczego	Dobrzańska, Bożena M. 	GE170 .D63 2012		Wydawnictwo Naukowe PWN, 	2012	458
Podejmowanie i prowadzenie działalności gospodarczej w turystyce. Cz. 2, Relacje z otoczeniem	Ćwiklińska, Jolanta. 		magazyn	Szkoła Główna Handlowa - Oficyna Wydawnicza, 	2012	154
Kodeks cywilny : komentarz Lex. T. 2, Własność i inne prawa rzeczowe	Dadańska, Katarzyna Anna. 	KKP494.31964 .K53 2011 t.2	magazyn	Wolters Kluwer Polska, 	2012	491
"W kręgu rodowym ""Cioci Antosi"" Michaliny z Lubiczankowskich Wieszeniewskiej"	Ćwiertniewski, Krzysztof. 		magazyn	Księży Młyn Dom Wydawniczy Michał Koliński, 	2012	295
Pozerka : moje życie w dwudziestu trzech pozycjach jogi	Dederer, Claire (1967- ). 		magazyn	Wydawnictwo W.A.B., 	2012	412
Kosmografia czyli trzydzieści apokryfów tułaczych	Dehnel, Jacek (1980- ). 		magazyn	Biblioteka Narodowa, 	2012	247
Obrót nieruchomościami w teorii i praktyce	Doganowski, Roman. 	KKP683 .D66 2012		Wydawnictwo Naukowe PWN, 	2012	555
Przyjaciółki na zawsze : jak nawiązywać i dbać o dobre relacje	Degges-White, Suzanne. 	BF575.F66 D44165 2012		Świat Książki, 	2012	381
Antropologia sztuk walki : studia i szkice z socjologii i filozofii sztuk walki	Cynarski, Wojciech Jan (1965- ). 	GV1102.7.A56 C94 2012		Wydawnictwo Uniwersytetu Rzeszowskiego, 	2012	283
Metateatralność w dramaturgii Carla Goldoniego	Dygul, Jolanta. 	PQ4700 .D87 2012	magazyn	Wydawnictwa Uniwersytetu Warszawskiego, cop. 	2012	298
