title	author	WD_signature	storage	publisher	year	pages
Artyleria kolejowa	Giętkowski, Mirosław (1958- ). 	UF490 .G54 2018		Muzeum Wojsk Lądowych	2018	168
List do nienarodzonego dziecka	Fallaci, Oriana (1929-2006). 	PQ4866.A4 L4165 2017		Świat Książki, Wydawnictwo	2017	143
Tajemnicza kobieta	Ekberg, Anna. 	PT8177.15.K3 H46165 2017		Świat Książki	2017	397
Dywizjon 303	Fiedler, Arkady (1894-1985). 	D792.P6 F49 2017		"Wydawnictwo ""Bernardinum"""	2017	150
XX Forum Architektury Krajobrazu : praktyka zawodowa - badania naukowe - dydaktyka, 21-23 września 2017 r. : streszczenia = abstracts	Forum Architektury Krajobrazu (20 ; 2017 ; Kraków). 		magazyn	Instytut Architektury Krajobrazu. Wydział Architektury Politechniki Krakowskiej	2017	192
Jeden spośród wielu	Friedman, Ryszard (1927-2019). 	D811.5 .F75165 2017		Księgarnia Akademicka	2017	340
Paedophilia revisited : shedding a new light on correlates and diagnostics of the sexual preference for children	Gerwinn, Hannah (1987- ). 		magazyn	[wydawca nieznany]	2017	128
Konspiracja wyobraźni : studium o pamiętnikach Jana Kilińskiego	Głażewski, Jacek (1974- ). 	DK4348.K55 G53 2017	magazyn	nakł. Wydziału Polonistyki Uniwersytetu Warszawskiego	2017	349
Złota różdżka : od książki dla dzieci po dreszczowiec raczej dla dorosłych	Dybiec-Gajer, Joanna. 	PT2362.H45 S736 2017		Tertium	2017	211
Moja kochana, dumna prowincja : opowiadania	Filipowicz, Kornel (1913-1990). 	PG7158.F45 M655 2017		Społeczny Instytut Wydawniczy Znak	2017	237
"Pomniki publiczne i dyskurs zasługi w dobie ""wskrzeszonej"" Polski lat 1807-1830"	Getka-Kenig, Mikołaj (1987- ). 	DK4155 .G48 2017		"Towarzystwo Autorów i Wydawców Prac Naukowych ""Universitas"""	2017	418
Biologia : czyli sens życia	Dzik, Jerzy (1950- ). 	QH308.2 .D95 2017	magazyn	Wydawnictwa Uniwersytetu Warszawskiego	2017	172
