title	author	WD_signature	storage	publisher	year	pages
Bezpieczeństwo narodowe RP : podstawowe kategorie, uwarunkowania, system	Kitler, Waldemar (1957- ). 	KKP2490 .K58 2011		Akademia Obrony Narodowej, 	2011	411
Lech Kaczyński - ostatni wywiad	Kaczyński, Lech (1949-2010). 	DK4452.K333 A5 2011		Prószyński i S-ka, 	2011	277
Prawo administracyjne intertemporalne	Kamiński, Marcin (prawo). 	KKP2920 .K36 2011	magazyn	Lex a Wolters Kluwer business, 	2011	650
Chiny : leksykon	Kajdański, Edward (1925- ). 	DS705 .K35 2011		Książka i Wiedza, cop. 	2011	416
Książka meldunkowa	Kamiński, Jan (1947- ). 	PG7170.A46236 K77 2011		Fundacja Sąsiedzi, cop. 	2011	206
Kościoły Diecezji Zielonogórsko-Gorzowskiej - nasze dziedzictwo. T. 4 = Die Kirchen der Diözese Grünberg-Landsberg - unser Erbe. Bd. 4	Jarzembowska, Katarzyna. 		magazyn	Ikona, [	2011	159
Analiza techniczna : wprowadzenie do analizy wykresów giełdowych	Kahn, Michael N. 	HG4529 .K34165 2011	magazyn	Oficyna a Wolters Kluwer business, 	2011	312
Word order tendencies in mediaeval English against the Indo- European background	Kida, Ireneusz. 	PE221 .K54 2011		Wydawnictwo Uniwersytetu Śląskiego, 	2011	152
Modlitewnik bł. Jana Pawła II	Jan Paweł II (papież ; 1920-2005). 		magazyn	Wydawnictwo Serafin, 	2011	270
Za pięć rewolta	Kain, Dawid (1981- ). 	PG7211.A52 Z26 2011		Wydawnictwo Nisza, 	2011	175
Anatomia zwierząt. 3	Kobryń, Henryk (1940- ). 	QL805 .K79 2005 t.3		Wydawnictwo Naukowe PWN, 	2011	503
Wyprawa	Kamiński, Marek (1964- ). 		magazyn	Instytut Marka Kamińskiego, cop. 	2011	249
Kodeks pracy z komentarzem oraz ustawy okołokodeksowe	Jaroszewska-Ignatowska, Iwona. 	KKP1264.31974 .J355 2011		Infor Ekspert, 	2011	319
The Pilgrim of eternity : the figure of the Wandering Jew in the romantic literature of Britain and America	Kallas, Piotr. 	PR468.W36 K35 2011		Wydawnictwo Państwowej Wyższej Szkoły Zawodowej, 	2011	267
Malarstwo Alfonsa Mazurkiewicza (1922-1975)	Jarosz, Andrzej (1971-2019). 	N7255.P63 M4342 2011	magazyn	Instytut Historii Sztuki Uniwersytetu Wrocławskiego, 	2011	429
Miłość wśród nas	Kasperska, Hanna Maria Janina. 		magazyn	Novae Res - Wydawnictwo Innowacyjne, cop. 	2011	205
Córka mazowieckich równin czyli Maria Skłodowska-Curie z Mazowsza	Kaczorowska, Teresa (1953- ). 	QD22.C8 K33 2011		Związek Literatów na Mazowszu, 	2011	208
Polityczne aspekty instytucjonalnego doskonalenia nauczycieli w Polsce Ludowej w latach 1944-1956	Kahl, Edyta Joanna. 	LB1731 .K343 2011		Wydawnictwo Arkot, 	2011	214
Struktura rodziny a społeczne funkcjonowanie dorastających dzieci	Kaleta, Kinga. 	BF723.P25 K35 2011		Wydawnictwo Uniwersytetu Humanistyczno- Przyrodniczego Jana Kochanowskiego, 	2011	207
Zintegrowany system nadzoru nad instytucjami finansowymi	Kamiński, Janusz ( -2011). 	KKP961.5 .K36 2011		Wydawnictwo Wyższej Szkoły Menedżerskiej, 	2011	301
Collage w twórczym rozwoju i arteterapii	Karolak, Wiesław (1949- ). 		magazyn	Wydawnictwo Akademii Pedagogiki Specjalnej, 	2011	159
Beauty and being : Thomistic perspectives	Jaroszyński, Piotr (1955- ). 	BH39 .J37413 2011		Pontifical Institute of Mediaeval Studies, 	2011	269
Nowenna do Najświętszej Maryi Panny Różańcowej z Pompei : o wyproszenie łask w sprawach bardzo trudnych	Kałdon, Stanisław Maria (1945- ). 		magazyn	"Wydawnictw ""M"", "	2011	360
Powrót do rzeczywistości : prześmiewcza książka o tym, jak przechytrzyć, prześcignąć i pokonać konkurencję	Kawasaki, Guy (1954- ). 	HD62.5 .K39165 2011	magazyn	Oficyna a Wolters Kluwer business, 	2011	510
Humanistyka nowych czasów : szkolna edukacja humanistyczna w Polsce Odrodzonej (1918-1939)	Jaroszuk, Teresa. 	LC1024.P6 J37 2011		Oficyna Wydawnicza Prospekt, 	2011	216
Mity Gdańska : antyk w publicznej sztuce protestanckiej res publiki	Kaleciński, Marcin. 	N7255.P62 G3548 2011	magazyn	Wydawnictwo Słowo/Obraz Terytoria, 	2011	415
Uzdatnianie wody do spożycia przez ludzi	Kaleta, Jadwiga. 		magazyn	Oficyna Wydawnicza Politechniki Rzeszowskiej, 	2011	136
Luboń 1945 : przełamanie obrony Festung Posen	Karalus, Maciej. 		magazyn	Wydawnictwo Vesper, 	2011	148
Razem w szkole : edukacja wczesnoszkolna : klasa 3 : przewodnik metodyczny ze scenariuszami zajęć. 4	Kalińska, Agata. 		magazyn	Wydawnictwa Szkolne i Pedagogiczne, 	2011	199
Listy Nauzykai	Keller, Aleksandra (1980- ). 		magazyn	Polihymnia, 	2011	117
Polska naszych marzeń	Kaczyński, Jarosław (1949- ). 	DK4446 .K33 2011	magazyn	Akapit, 	2011	222
Prymas Tysiąclecia	Kindziuk, Milena (1970- ). 		magazyn	Ringier Axel Springer Polska, [	2011	111
Szkoda na mieniu i jej naprawienie	Kaliński, Maciej. 	KKP828 .K35 2011		Wydawnictwo C. H. Beck, 	2011	613
Medycyna chińska dla każdego : badanie, leczenie, odżywianie, zioła, akupunktura	Kajdański, Edward (1925- ). 	R601 .K346 2011		Wydawnictwo Literackie, 	2011	321
Piotr Mordel - polski typograf i bibliofil w Berlinie	Kalczyńska, Maria (1958- ). 	Z315.M67 K35 2011		Wydawnictwo Instytut Śląski, 	2011	206
Invisible Romans	Knapp, Robert C. (1946- ). 	DG78 .K62 2011		Harvard University Press, 	2011	371
Zapomniany wiek dwudziesty : retrospekcje	Judt, Tony (1948-2010). 	D421 .J83165 2011	magazyn	Wydawnictwa Uniwersytetu Warszawskiego, cop. 	2011	531
Wszyscy jesteście postmodernistami! : szkice o literaturze lat dziewięćdziesiątych XX w.	Kęder, Cezary Konrad (1965- ). 	PG7051 .K44 2011		Wydawnictwo FA-art, 	2011	378
Zasada odpowiedzialności pozaumownej Unii Europejskiej	Knade-Plaskacz, Agnieszka. 	KJE5786 .K63 2011		"Towarzystwo Naukowe Organizacji i Kierownictwa ""Dom Organizatora"", "	2011	243
Poszukiwacz luster : baśń dla dorosłych	Jankowska, Joanna (bibliotekarstwo). 			Wydawnictwo Radwan, 	2011	148
ABC sprzedawcy	Jaracz, Beata. 	HF5438.25 .J37 2011		"Wydawnictwo i Handel Książkami ""KaBe"", "	2011	140
Historia mojego życia : autobiografia duchowa założycielki Żywego Różańca	Jaricot, Pauline Marie (1799-1862). 		magazyn	Wydawnictwo eSPe, 	2011	105
Matematyka : egzamin gimnazjalny : zbiór zadań i arkuszy zgodny z nową formułą obowiązującą od roku 2012	Kalisz, Stanisław. 	QA139 .K32 2011		Wydawnictwo Nowik, 	2011	136
Teorie pieniądza i ich wykorzystanie : od pieniądza kruszcowego do fiducjarnego	Knakiewicz, Wacława Zenobia (1923-2011). 	HG220.A2 K59 2011		Wydawnictwo Uniwersytetu Ekonomicznego, 	2011	332
Zmiany społecznych praktyk zamieszkiwania	Jewdokimow, Marcin. 	HD7287 .J49 2011		Wydawnictwo Uniwersytetu Kardynała Stefana Wyszyńskiego, 	2011	240
Analiza sekwencji krótkiego ramienia chromosomu 21 w okolicach punktów złamań w najczęstszych translokacjach robertsonowskich człowieka oraz w genomach innych naczelnych ; Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu.	Jarmuż-Szymczak, Małgorzata. 		magazyn	Wydawnictwo Naukowe Uniwersytetu Medycznego, 	2011	129
Tirpitz and the Imperial Germany Navy	Kelly, Patrick J. (1944- ). 	DD231.T5 K45 2011		Indiana University Press, 	2011	585
Oblicza komunikacji : bariery - zaburzenia - możliwości	Klonowska, Iwona (psycholog). 	P37 .K59 2011		Wydawnictwo K2Lider.eu, 	2011	169
"Proceedings of the XXXIX ""Jaszowiec"" International School and Conference on the Physics of Semiconductors : Krynica-Zdrój, Poland, June 19-24, 2010"	"""Jaszowiec"" International School and Conference on the Physics of Semiconductors (39 ; 2010 ; Krynica-Zdrój). "			Polish Academy of Science. Institute of Physics, 	2011	569
Jak zdobyć, utrzymać i porzucić mężczyznę : nowe spojrzenie	Kofta, Krystyna (1942- ). 	HQ801 .K66 2011		Wydawnictwo W.A.B., 	2011	364
Wariacje jesienne	Janowska, Anita (1933- ). 	PG7169.A574 W37 2011		Wydawnictwo W.A.B., 	2011	266
Tarantula	Jonquet, Thierry (1954-2009). 	PQ2670.O53 M94165 2011		Prószyński Media, 	2011	142
Cavaletti : praca na koziołkach w ujeżdżeniu i skokach	Klimke, Reiner (1936-1999). 		magazyn	Galaktyka, 	2011	156
Sercem w dwóch krajach : norwesko-polskie pejzaże kulturalne	Januszewska-Skreiberg, Janina. 	DK4185.N8 J35165 2011	magazyn	Fundacja Inicjatyw Społecznie Odpowiedzialnych, 	2011	334
Dolina tysiąca brzuchów : zebrane utwory sceniczne i satyryczne. T. 1	Kofta, Jonasz (1942-1988). 	PG7170.O29 D65 2011 t.1		Prószyński i S-ka, 	2011	532
Monitoring polskiego rynku nieruchomości : raport za 2010 rok	Kałkowski, Leszek (1927- ). 	HD728.2 .K3472 2011		Instytut Rozwoju Miast, 	2011	148
