title	author	WD_signature	storage	publisher	year	pages
Książka o Wielkim Wodzu	Günsberg, Leopold Stanisław. 	DK4420.P5 G86 2016		"Oficyna Wydawnicza ""Impuls"""	2016	259
Seksparty	Herz, Emanuel. 		magazyn	Novae Res - Wydawnictwo Innowacyjne	2016	281
Szkice warszawskie	Hertz, Paweł (1918-2001). 	PG7167.E78 S95 2016		Muzeum Warszawy	2016	293
Wioska morderców	Herrmann, Elisabeth (1959- ). 	PT2708.E5 D67165 2016		Prószyński Media	2016	548
Śnieżny wędrowiec	Herrmann, Elisabeth (1959- ). 	PT2708.E5 S36165 2016		Prószyński Media	2016	511
Co inni myślą o Tobie : bez słów bez kłamstw	Havener, Thorsten (1972- ). 	BF637.N66 H39165 2016		Studio Astropsychologii jeszcze lepsze jutro	2016	295
Oficer polski	Hołówko, Tadeusz (1889-1931). 		magazyn	Centralna Biblioteka Wojskowa im. Marszałka Piłsudskiego	2016	128
Sposób życia	Hertz, Paweł (1918-2001). 	PG7167.E78 Z474 2016		"Wydawnictwo ""Iskry"""	2016	253
Zakład o życie wieczne i inne kazania krótkie	Heller, Michał (1936- ). 	BX1756.H45 Z35 2016		Copernicus Center Press	2016	256
Syntetyczny Bóg	Huxley, Aldous (1894-1963). 	PR6015.U9 A575 2016		Fronda PL	2016	447
Miłosierni miłosierdzia dostąpią : zamyślenia na rok miłosierdzia	Henel, Alojzy (1934- ). 		magazyn	Wydawnictwo Księży Sercanów Dehon	2016	114
"""Solidarność"" nad Sekwaną : działalność Komitetu Koordynacyjnego NSZZ ""Solidarność"" w Paryżu 1981-1989"	Heruday-Kiełczewska, Magdalena (1985- ). 	DC34.5.P6 H47 2016		Europejskie Centrum Solidarności	2016	334
Wierzę, żeby rozumieć : w osobistej rozmowie o życiowych wyborach	Heller, Michał (1936- ). 	Q143.H55 A5 2016		Wydawnictwo Znak	2016	345
Po drugiej stronie światła	Hartman, Elżbieta. 		magazyn	Wydawnictwo Księży Sercanów	2016	126
Artysta futbolu	Iniesta, Andrés (1984- ). 	GV942.7.I55 A3165 2016		Wydawnictwo Sine Qua Non	2016	345
Morycek w szkole : żydowskie dowcipy o edukacji, w dialogu międzykulturowym	Grzybowski, Przemysław. 		magazyn	Fundacja dla Uniwersytetu Kazmiemierza Wielkiego	2016	178
Pułapki tożsamości : między narracją a literaturą	Jakubowski, Piotr (1985- ). 	PN212 .J35 2016	magazyn	Towarzystwo Autorów i Wydawców Prac Naukowych UNIVERSITAS	2016	354
Między światami : dziennik andersowca 1939-1945	Hartry, Edward Henrik (1920-1967). 	D811 .H37 2016		Ośrodek Karta	2016	214
Nazaretańska szkoła dla mężczyzn : duchowa wędrówka ze świętym Józefem	Hartfiel, Mark. 		magazyn	Wydawnictwo Karmelitów Bosych	2016	194
Droga z przekonania	Hellmann, Małgorzata. 		magazyn	Hellmann Eurocolor	2016	134
Smuggling : seven centuries of contraband	Harvey, Simon. 	HJ6619 .H37 2016		Reaktion Books	2016	333
Dylematy ewolucji	Heller, Michał (1936- ). 	QH360.5 .H45 2016		Copernicus Center Press	2016	328
Przypadki miłosne pięciu kobiet = Kōshoku gonin onna	Ihara, Saikaku (1642-1693). 	PL794.K57 P6 2016		Wydawnictwo Uniwersytetu Jagiellońskiego	2016	247
Doradztwo w działalności turystycznej	Jalinik, Mikołaj. 	G154 .J35 2016		Agencja Wydawnicza EkoPress	2016	155
Mózg autystyczny : podróż w głąb niezwykłych umysłów	Grandin, Temple (1947- ). 	RC553.A88 G69165 2016		Copernicus Center Press	2016	294
Przestrzenie globalnego kapitalizmu : w stronę teorii rozwoju nierównego geograficznie	Harvey, David (1935- ). 	HB501 .H364165 2016		Instytut Wydawniczy Książka i Prasa	2016	215
Sprawozdawczość podmiotów prowadzących działalność leczniczą	Hass-Symotiuk, Maria (1941- ). 	KKP3110 .H37 2016		Wolters Kluwer	2016	308
Nowe rozważania. 1, Wiedzieć skąd	Hellinger, Bert (1925-2019). 		magazyn	Wydawnictwo Virgo	2016	184
Tarcza Gai : opowieści żelaznego druida	Hearne, Kevin. 	PS3608.E26 I76165 2016		Dom Wydawniczy Rebis	2016	434
Filozofia nauki	Heller, Michał (1936- ). 	Q175 .H394 2016		Copernicus Center Press	2016	205
Postępowanie egzekucyjne w administracji : komentarz	Hauser, Roman (1949- ). 	KKP2795.A31966 H4 2016		Wydawnictwo C. H. Beck	2016	676
Podróże po Mazowszu	Herz, Lechosław (1935- ). 	DK4600.M36 H47 2016		Wydawnictwo Iskry	2016	385
Mój Głogówek	Hauptstock, Günter (1940- ). 	DK4800.G523 H384165 2016		Wydawnictwo MS	2016	311
Słownik jidysz-angielsko-polski = Yiddish-English-Polish dictionary = Jidiš-engliš-pojliš werterbuch	Jakimyszyn-Gadocha, Anna (1979- ). 	PJ5117 .J35 2016		Wydawnictwo Uniwersytetu Jagiellońskiego	2016	136
Być dzielnym i umieć się różnić : szkice o Aleksandrze Kamińskim	Janowski, Andrzej (1935- ). 	LA2375.P62 K3624 2016		Niezależne Wydawnictwo Harcerskie	2016	253
Pegazowe dróżki	Grynkiewicz, Otton (1931- ). 		magazyn	"Katolickie Stowarzyszenie ""Civitas Christiana"". Oddział Okręgowy"	2016	117
Heat and light	Haigh, Jennifer (1968- ). 	PS3608.A544 H43 2016		ECCO an imprint of HarperCollins Publishers	2016	430
Policzmy to razem 2 : podręcznik do matematyki dla gimnazjum	Janowicz, Jerzy (dydaktyka). 	QA107.2 .J363 2016		Nowa Era	2016	336
