title	author	WD_signature	storage	publisher	year	pages
Doświadczanie przeszłości : poznanie historyczne wobec pluralizmu czasu historycznego	Solarska, Maria (1974- ). 	D16.8 .S65 2018		Instytut Historii UAM	2018	159
Z punktu widzenia komputera	Stańczuk, Janusz (1965- ). 		magazyn	Wydawnictwo Sióstr Loretanek	2018	157
Uprawnienia organizacyjne obligatariuszy : studium cywilnoprawne ze szczególnym uwzględnieniem pozasądowej restrukturyzacji zobowiązań z obligacji	Sójka, Tomasz. 	KKP1068 .S655 2018		Wydawnictwo C.H. Beck	2018	285
Konstrukcja apelacji jako środka odwoławczego w procesie karnym	Świecki, Dariusz (1965- ). 	KKP4780 .S945 2018		Wolters Kluwer Polska	2018	354
Polityka regionalna Unii Europejskiej jako polityka publiczna : wobec potrzeby optymalizacji publicznego działania	Świstak, Marek (1982- ). 	HT395.E8 S88 2018		Wydawnictwo Uniwersytetu Jagiellońskiego	2018	345
Uczniowie ze specjalnymi potrzebami edukacyjnymi : pomoc psychologiczno-pedagogiczna, dostosowanie wymagań	Słupek, Kazimierz. 	LC3986.P7 S58 2018		Wydawnictwo Harmonia	2018	188
Wagnerowska mozaika : Wagner i wagneryzm w kulturze	Sokalska, Małgorzata. 	ML410.W1 S65 2018		Avalon	2018	603
Postępowanie odwoławcze w sprawach karnych	Świecki, Dariusz (1965- ). 	KKP4780.A311997 S95 2018		Wolters Kluwer	2018	477
"XXXVII Sympozjum Polarne ""Polar change - global change"", Poznań, 7-10 czerwca 2018 : streszczenia"	Sympozjum Polarne (37 ; 2018 ; Poznań). 		magazyn	Bogucki Wydawnictwo Naukowe	2018	152
Legal and political dimensions of American federalism : development and interpretations	Sokalska, Edyta. 	JK311 .S65 2018		Wydawnictwo Uniwersytetu Warmińsko-Mazurskiego	2018	398
Kobiety wywiadu : Mata Hari, Coco Chanel, Krystyna Skarbek i inne agentki wywiadu...	Słowiński, Przemysław (1977- ). 	UB270 .S59 2018	magazyn	Fronda PL	2018	334
Etos : o filozofii i etyce - dla lekarzy	Sytnik-Czetwertyński, Janusz. 	R724 .S9 2018		Wydawnictwo Naukowe PWN	2018	188
Rewitalizacja osiedli wielkopłytowych a ciągłość i komplementarność przestrzeni publicznej miasta	Szczerek, Eliza. 	HT170 .S96 2018		Wydawnictwo PK	2018	310
Ojczyźnie w 100. rocznicę odzyskania niepodległości	Skrzypek, Helena (1946- ). 		magazyn	Towarzystwo Ziemi Niżańskiej	2018	112
Kolorowe sny	Sokalska, Agnieszka (1968- ). 	PG7219.O533 K65 2018		Wydawnictwo Poligraf	2018	187
Pamięć ciała bawi się moim sercem = La memoria del corpo giocca con il cuore mio	Strządała, Jan (1945- ). 		magazyn	Stowarzyszenie Pisarzy Polskich. Oddział. Wydawnictwo EGO	2018	100
Haryzmaty czyli Kościółkowe łubu dubu	Szałanda, Tomasz (1970- ). 		magazyn	Wydawnictwo Zacheusz	2018	136
Basia : wielka księga słów	Stanecka, Zofia (1972- ). 		magazyn	Egmont Polska	2018	136
White gamut : a memoir of Siberian exile	Stanek, Zofia (1914-2008). 		magazyn	by Inter Line SC	2018	117
Wolność, wiara, Bóg : rozmowy o chrześcijaństwie	Strzelczyk, Grzegorz (1971- ). 	BX1754 .S79 2018		Wydawnictwo WAM	2018	379
Piękno Bieszczadów : dar i zobowiązanie w świetle Laudato si' : Sympozjum Przyrodnicze, Cisna - 14 października 2017 r.	Sympozjum Przyrodnicze (2017 ; Cisna). 		magazyn	Wydawnictwo Jedność	2018	159
Mistrzowie życia	Stryjewska, Anna (1969- ). 	PG7219.T7667 M47 2018		Wydawnictwo Szara Godzina	2018	249
Blisko i daleko III : Sympozjum Regionalistów - Praszka 2017	Sympozjum Regionalistów (3 ; 2017 ; Praszka). 		magazyn	Muzeum w Praszce	2018	157
Najgroźniejszy agitator sprawy polskiej : Harro Harring Kazimirowicz (1798-1870) : awanturnicze życie poety, romantyka, ułana, bojownika o wolność, Polaka z wyboru	Szayna-Dec, Krystyna (1953- ). 	PT2292.H177 Z79 2018		Biały Kruk	2018	247
Niedziela z dziećmi : spotkania przy ołtarzu : rok C	Stańczuk, Janusz (1965- ). 		magazyn	Wydawnictwo Sióstr Loretanek	2018	237
Wsparcie organizacyjne menedżerów	Stańczyk, Izabela. 	HD62.12 .S73 2018		Wydawnictwo Uniwersytetu Jagiellońskiego	2018	269
Odpowiedzialność odszkodowawcza gminy	Szczepaniak, Rafał. 	KKP2920 .S89 2018		Wolters Kluwer	2018	548
Transformation : art in East-Central Europe since 1989	Szczerski, Andrzej (1971- ). 	N6758 .S93313 2018		Jagiellonian University Press	2018	221
Ania bajki pisze... dla Lenki : wersja wielojęzyczna. Cz. 2	Sokół, Anna (1985-2011). 		magazyn	Wydawnictwo Serafin	2018	167
Trening pamięci i koncentracji dla seniorów : przykłady zajęć dla prowadzących warsztaty	Sokół-Stanisławska, Agnieszka. 	BF724.85.M45 S65 2018		Difin	2018	167
Konszachty z Krasińskim : wieczór autorski nie-umarłego poety	Śmieciński, Włodzimierz Robert. 	PG7158.K72 S65 2018		Ciechanowskie Towarzystwo Naukowe	2018	193
Przewodnik po Głuchej Warszawie. Cz. 2	Świderski, Tomasz (archiwista). 		magazyn	"Instytut Historii Głuchych ""Surdus Historicus"""	2018	103
Góry wołają : opowiadania przewodnickie	Staich, Tadeusz (1913-1987). 		magazyn	Wydawnictwo Astraia	2018	205
Zjawisko i sens : fenomenologia jako nauka podstawowa i jej problemy	Špet, Gustav Gustavovič (1879-1937). 	B829.5 .S46165 2018		Wydawnictwo IFiS PAN	2018	190
Dieta Raw Food : 20-dniowe kompleksowe oczyszczanie organizmu	Szaciłło, Karolina. 		magazyn	Wydawnictwo Zwierciadło	2018	223
Przyprawy, które leczą	Szaciłło, Karolina. 	RM666.S64 S95 2018		Zwierciadło	2018	268
Pająki (Obrazek z życia warszawskiego) ; Czarne Błoto (Pająki wiejskie)	Szaniawski, Klemens (1849-1898). 	PG7158.S784 P35 2018		Klinika Języka	2018	364
Dzisiaj śpisz ze mną	Szczypczyńska, Anna. 		magazyn	Wydawnictw Filia	2018	327
Diecezja sandomierska 1818-2018 : tradycje historyczne	Stanaszek, Bogdan (1966- ). 		magazyn	Wydawnictwo Diecezjalne i Drukarnia	2018	159
Analiza możliwości poprawy bezpieczeństwa dzieci przewożonych w samochodach osobowych w przypadku kolizji drogowych	Świetlik, Mirosław. 		magazyn	Oficyna Wydawnicza Politechniki Warszawskiej	2018	120
