title	author	WD_signature	storage	publisher	year	pages
Trajektoria życia rodziców dzieci z rzadkimi chorobami genetycznymi : formy społecznego wsparcia	Klajmon-Lech, Urszula. 	HQ759.913 .K55 2018		Wydawnictwo Adam Marszałek	2018	331
Szaleńcy Boży	Kossak, Zofia (1889-1968). 		magazyn	Fundacja Servire Veritati Instytut Edukacji Narodowej	2018	169
Kochane od poczęcia : rozwój dziecka w łonie matki	Kończewska-Murdzek, Zofia. 		magazyn	Wydawnictwo Polihymnia	2018	134
Zdążyć przed Panem Bogiem	Krall, Hanna (1937- ). 		magazyn	Wydawnictwo Literackie	2018	167
Pola i inne rzeczy teatralne	Krall, Hanna (1937- ). 	PG7170.R28 P65 2018		Wydawnictwo Literackie	2018	191
Koleje miejskie i regionalne w Polsce	Kruszyna, Maciej. 	HE4760.5 .K78 2018		Księży Młyn Dom Wydawniczy	2018	119
Beata Szydło : przerwana misja?	Kramek, Michał. 	DK4452.S98 K73 2018		Wydawnictwo Bonum Verbum	2018	101
Wyzwolenie pracy : nowa ekonomia postkapitalistyczna	Kisil, Aleksander (1960- ). 	HD4901 .K5 2018		Capital	2018	329
Życie we własnym rytmie : socjologiczne studium slow life w dobie społecznego przyspieszenia	Kramarczyk, Justyna. 	HN20 .K73 2018		Universitas	2018	329
Łobuzy : grzesznicy mile widziani	Kramer, Grzegorz (1976- ). 		magazyn	Wydawnictwo WAM	2018	381
Czereśnie będą dziczeć	Kruszewska, Mariola (1965- ). 		magazyn	Wydawnictwo w Podwórku	2018	144
Stukostrachy. Cz. 2	King, Stephen (1947- ). 	PS3561.I483 T66165 2018 t.2		Wydawnictwo Albatros	2018	232
Bruno Kreisky : polityka zagraniczna i dyplomacja wobec PRL (1959-1983)	Kisztelińska-Węgrzyńska, Agnieszka (1975- ). 	DB49.P68 K57 2018		Wydawnictwo Uniwersytetu Łódzkiego	2018	419
Advances in contemplative social research	Konecki, Krzysztof. 	H62 .K66 2018		Jagiellonian University Press	2018	257
Teraz '43 : losy	Kicińska, Magdalena (1987- ). 	DS134.64 .K525 2018		Wielka Litera	2018	373
Zadośćuczynienie pieniężne za szkodę niemajątkową powstałą wskutek niewykonania lub nienależytego wykonania umowy	Kryla-Cudna, Katarzyna. 	K836 .K79 2018		Wydawnictwo C.H. Beck	2018	235
Największa przygoda ludzkości : odkrywanie zagadki Wszechświata	Krauss, Lawrence Maxwell (1954- ). 	QC6.4.R42 K73165 2018		Feeria Science	2018	406
Marzenia i koszmary. Cz. 1	King, Stephen (1947- ). 	PS3561.I483 N52165 2018 t.1		Wydawnictwo Albatros	2018	408
Uwaga, szpieg! : dzieje wywiadu od Noego do Bonda	Kisielewski, Tadeusz A. (1950-2018). 	JF1525.I6 K57 2018		Dom Wydawniczy Rebis	2018	352
Geografia historyczna	Koneczny, Feliks (1862-1949). 		magazyn	Prohibita	2018	120
Ostatni bastion Barta Dawesa	King, Stephen (1947- ). 		magazyn	Wydawnictwo Albatros	2018	281
Romantyczne współpoetyzowanie : wybór listów Zygmunta Krasińskiego i Henryka Reeve'a. 2	Krasiński, Zygmunt (1812-1859). 	PG7158.K72 A474 2018 t.2		Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika	2018	430
Fandom : fanowskie modele odbioru	Kobus, Aldona. 	HM646 .K63 2018		Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika	2018	410
Geodezja w praktyce	Kruszewski, Patryk. 	TA545 .K78 2018		"Wydawnictwo i Handel Książkami ""KaBe"""	2018	327
Marzenia i koszmary. Cz. 2	King, Stephen (1947- ). 	PS3561.I483 N52165 2018 t.2		Wydawnictwo Albatros	2018	408
Światło Chrystusa i sakrament zbawienia : studia eklezjologiczne 	Królikowski, Janusz (1962- ). 		magazyn	Uniwersytet Papieski Jana Pawła II. Wydawnictwo Naukowe	2018	558
Dokonania Naukowe Doktorantów VI : materiały konferencyjne : streszczenia wystąpień : materiały Konferencji Młodych Naukowców nt. Dokonania Naukowe Doktorantów VI ; dotyczy sesji: Warszawa 14.04.2018. Poznań 15.04.2018 oraz Kraków 21.04.2018	Konferencja Młodych Naukowców nt. Dokonania Naukowe Doktorantów (6 ; 2018 ; Warszawa etc.). 		magazyn	Creativetime	2018	154
Zawierucha	Krzemiński, Stanisław (1947- ). 	PG7211.R973 Z28 2018		Wydawnictwo Znak	2018	485
Cztery pory roku	King, Stephen (1947- ). 		magazyn	Wydawnictwo Albatros	2018	511
Rozstanie	Kitamura, Katie (1979- ). 	PS3611.I83 S47165 2018		Wydawnictwo Literackie	2018	280
Bóg jest dobry : ... i dam się za to zabić	Kramer, Grzegorz (1976- ). 	BX2187.P6 K74 2018		Wydawnictwo WAM	2018	365
Stefan Adam Zamoyski (1904-1976) : ziemianin, żołnierz, działacz emigracyjny	Kondracki, Tadeusz (1956- ). 	DK4420.Z3584 K66 2018		Instytut Historii PAN	2018	246
VII Konferencja Biologii Molekularnej, Łódź, 12-14.04.2018 : książka abstraktów	Konferencja Biologii Molekularnej (7 ; 2018 ; Łódź). 		magazyn	Wydawnictwo Uniwersytetu Łódzkiego	2018	127
Koszty niezgodności w doskonaleniu jakości zarządzania szpitalem publicznym	Kister, Agnieszka. 	RA971 .K57 2018		Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej	2018	291
Dać się Bogu rozświetlać : homilie Ojca Honoriusza Kowalczyka	Kowalczyk, Honoriusz (1935-1983). 		magazyn	"Wydawnictwo ""Bonami"""	2018	115
Projekt miłość	Krauze, Karolina. 	HQ801 .K775 2018		Flow books	2018	259
Tylko dobre wiadomości	Krawczyk, Agnieszka (1972- ). 	PG7211.R38 T95 2018		Filia	2018	414
"Ireneusz Starkiewicz ""Radziwiłł"" : członek Polskiej Podziemnej Organizacji Wojskowej (1948-1949)"	Kozłowski, Marek (historia). 	DK4435.S725 K69 2018		Media i Rynek	2018	120
Jezioro szczęścia	Krawczyk, Agnieszka (1972- ). 		magazyn	Wydawnictwo Edipresse Polska	2018	395
Tajemnice garnizonów radzieckich w Polsce	Kondusza, Wojciech. 	UA778.P7 K66 2018		Wydawnictwo Edytor	2018	448
Nieznany kraj	Kossak, Zofia (1889-1968). 	PG7158.K653 N54 2018		Instytut Wydawniczy Pax	2018	329
Mennictwo wschowskie	Kozłowski, Ryszard Piotr (1956- ). 	CJ3049.W73 K69 2018		Oddział PTN im. K. Beyera	2018	244
Kamienica pod Szczęśliwą Gwiazdą	Krawczyk, Agnieszka (1972- ). 	PG7211.R38 K36 2018		Filia	2018	452
Zatrudnianie w podmiotach leczniczych	Karkowska, Dorota. 	KKP1435.H67 K37 2018		Wolters Kluwer	2018	245
Zegar melodii	Knapczyk, Monika (1977- ). 		magazyn	Wydawnictwo Inspiracje	2018	123
Przymierze	Kossak, Zofia (1889-1968). 	PG7158.K653 P79 2018		Instytut Wydawniczy Pax	2018	445
Katalog księgozbioru Profesora Władysława Kotwicza. Cz. 2, Numery inwentarzowe 801-1400	Kozłowska, Maria (1950- ). 		magazyn	Polskie Towarzystwo Orientalistyczne	2018	167
O obowiązku szukania : wybory światopoglądowe polskich pisarzy z XX stulecia	Krakowiak, Małgorzata. 	PG7051 .K695 2018		Wydawnictwo LTW	2018	325
Apostołowie w dresach : Jezus potrzebuje właśnie ciebie	Krawczykowski, Damian. 		magazyn	Święty Wojciech Dom Medialny sp. z o.o. - Wydawnictwo	2018	155
