title	author	WD_signature	storage	publisher	year	pages
Mentalne wspomaganie w procesie nauczania gry w piłkę nożną	Botwina, Ryszard (socjologia). 		magazyn	Oficyna Wydawnicza Politechniki Opolskiej	2018	179
Owoce uwielbienia	Carothers, Merlin R. (1924-2013). 		magazyn	Wydawnictwo Esprit	2018	305
Jeden na jeden : odważne rozmowy z pracownikami : dialogi i praktyczne ćwiczenia	Bielińska, Inga. 	HF5549.5.C6 B54 2018		MT Biznes	2018	349
Komandytowa w pytaniach i odpowiedziach	Bilicka, Magdalena. 	KKP1047 .B63 2018		PragmatIQ	2018	381
Roar	Carmack, Cora. 	PS3603.A756 R6165 2018		Wydawnictwo Dolnośląskie	2018	375
Oz	Chattam, Maxime (1976- ). 		magazyn	Młody Book! - Wydawnictwo Sonia Draga	2018	367
In search of Israel : the history of an idea	Brenner, Michael (1964- ). 	DS125 .B7413 2018		Princeton University Press	2018	372
Dwudźwięk	Bułat, Aleksandra. 		magazyn	Towarzystwo Słowaków w Polsce	2018	133
Alienista	Carr, Caleb (1955- ). 		magazyn	Dom Wydawniczy Rebis	2018	541
Żydzi w Chełmży	Bieniaszewska, Anna (1949- ). 	DS134.66.C446 B54 2018		Wydawnictwo Adam Marszałek	2018	402
Zaburzenia procesów regulacji integracji sensorycznej (wspomaganie rozwoju dziecka ze specjalnymi potrzebami edukacyjnymi)	Bieńkowska, Izabela. 	RJ496.S44 B46 2018		"Wydawnictwo ""scriptum"" Tomasz Sekunda"	2018	175
Wacław Tokarz 1873-1937 : historyk walk o niepodległość	Biliński, Piotr (1974- ). 	DK4139.25.T65 B55 2018	magazyn	Księgarnia Akademicka	2018	214
Innowacje finansowe w przedsiębiorstwie : instrumenty, mechanizmy, efekty	Błach, Joanna (finanse). 	HG4026 .B553 2018		Wydawnictwo C.H. Beck	2018	333
Dzieje Karczówki w Kielcach w latach 1624-2024. T. 8, cz. 2, Podróże po polskich prowincjach, obserwacje mineralogiczne i inne dodatkowe opisy tych ziem (tom 1, wersja polska i niemiecka)	Carosi, Johann Philipp von (1744-1801). 	BX2639.K54 D95 2016 t.8 cz.2		Muzeum Historii Kielc	2018	375
Boniecki : rozmowy o życiu	Boniecki, Adam Edward (1934- ). 	BX4705.B5763 A5 2018		Wydawnictwo Znak	2018	379
Włodzimierz Borowski : no to co? Nic : no właśnie = Włodzimierz Borowski : so what? Nothing : exactly	Borowski, Włodzimierz (1930-2008). 	N7255.P63 B652 2018	magazyn	Fundacja 9/11 Art Space	2018	253
Katalonia : między pragmatyką konfliktu a tożsamością	Biernacka, Maja. 	DP302.C69 B54 2018	magazyn	Wydawnictwo Naukowe Scholar	2018	257
Mądrość księdza Browna	Chesterton, Gilbert Keith (1874-1936). 	PR4453.C4 W57165 2018		Fronda PL	2018	287
Śniadanie u Tiffany'ego	Capote, Truman (1924-1984). 		magazyn	Albatros	2018	221
Fracht	Brudnik, Grzegorz. 	PG7202.R82 F73 2018		Wydawnictwo FILIA	2018	577
Złoty ciężar snu	Binkowski, Jerzy (1949- ). 		magazyn	BUK Wydawnictwo	2018	159
Północ i Południe : teksty o polskiej kulturze i historii	Cichocki, Marek (1966- ). 	DK4110 .C53 2018	magazyn	Teologia Polityczna	2018	343
Rozkład prądów w antenach liniowych	Bem, Daniel Józef (1933-2014). 		magazyn	Oficyna Wydawnicza Politechniki Wrocławskiej	2018	245
"Podróż ""Bazyliszka"""	Brennan, Marie (1980- ). 		magazyn	Zyska i S-ka Wydawnictwo	2018	363
Już nie żyjesz!	Cassidy, Cody. 	QP38 .C37165 2018		Znak Horyzont	2018	286
Montownie samochodów w II Rzeczypospolitej	Cieślak, Romuald. 	TL95.P7 C54 2018		Wydawnictwa Komunikacji i Łączności	2018	167
Liniowe zagadnienia brzegowe z zastosowaniami	Bojčuk, Aleksandr Andreevič. 	QA379 .B65 2018		Wydawnictwo Uniwersytetu	2018	184
Lilipucia rewolucja : awangardowe wydawnictwa dla dzieci i młodzieży w Polsce w latach 2000-2015 : produkcja wydawnicza, bibliografia = The lilliputian revolution : avant-garde publishers for children and young adults in Poland 2000-2015 : publishing production, bibliography	Biernacka-Licznar, Katarzyna. 	Z365.4 .B54 2018	magazyn	Wydawnictwo Naukowe i Edukacyjne Stowarzyszenia Bibliotekarzy Polskich	2018	262
Orędzie z Fatimy : miłosierdzie Boga: tryumf miłości w dramatach historii	Bueno de la Fuente, Eloy (1953- ). 		magazyn	Flos Carmeli	2018	328
Rychtalscy organmistrzowie	Cieplik, Kazimierz. 		magazyn	Towarzystwo Miłośników Ziemi Kępińskiej	2018	223
Humor	Carroll, Noël (1947- ). 	BF575.L3 C35165 2018		Wydawnictwo Uniwersytetu Łódzkiego	2018	131
Dzieje Karczówki w Kielcach w latach 1624-2024. T. 8, cz. 3, Podróże po polskich prowincjach, obserwacje mineralogiczne i inne dodatkowe opisy tych ziem (tom 2, wersja polska i niemiecka)	Carosi, Johann Philipp von (1744-1801). 	BX2639.K54 D95 2016 t.8 cz.3		Muzeum Historii Kielc	2018	436
Wspomnienia jezuity (1939-1954)	Bulanda, Edward (1902-1992). 	BX4705.B896 A3 2017		Instytut Pamięci Narodowej. Komisja Ścigania Zbrodni przeciwko Narodowi Polskiemu	2018	309
Otyłość brzuszna ukryty zabójca : przywróć pełną sprawność mózgu i jelit w 4 tygodnie	Brack, Michel. 		magazyn	Vital Gwarancja Zdrowia	2018	209
Aksjologia i etyka polityki	Buksiński, Tadeusz (1942- ). 	JA79 .B85 2018		Wydawnictwo Państwowej Wyższej Szkoły Zawodowej im. Prezydenta Stanisława Wojciechowskiego	2018	223
Zabierz mnie do domu	Bilicka, Ewa. 	PG7202.I57 Z33 2018		Wydawnictwo Poligraf	2018	342
Tajemny szyfr	Brennan, Terry. 	PS3602.R45 S25165 2018		Święty Wojciech Dom Medialny sp. z o.o. - Wydawnictwo	2018	524
Standardy diagnostyczno-terapeutyczne w chorobach układu oddechowego : wskazówki praktyczne	Bielicki, Piotr (medycyna). 		magazyn	α-medica press	2018	370
Witaj w Polsce! : podręcznik do nauki języka polskiego dla studentów medycyny	Bilicka, Bernadeta. 		magazyn	Pomorski Uniwersytet Medyczny	2018	267
Prawdy w polityce	Buksiński, Tadeusz (1942- ). 	JA71 .B825 2018		Oficyna Wydawnicza Epigram	2018	166
Rakiety przeciwlotnicze o usterzeniu podwójnym : możliwości manewrowe badania symulacyjne naprowadzania	Bużantowicz, Witold. 		magazyn	Wojskowa Akademia Techniczna	2018	181
Misterium życia zwierząt	Brensing, Karsten (1967- ). 	QL751 .B74165 2018		Amber	2018	430
Kompetencja komunikacyjna kadry kierowniczej sektora publicznego	Buzowska-Marek, Barbara. 	JF1659.E94 B89 2018		Małopolska Wyższa Szkoła Ekonomiczna	2018	135
The impact of the English language in Italy : linguistic outcomes and political implications	Carlucci, Alessandro. 	PC1582.E5 C37 2018		LINCOM GmbH	2018	123
Dalej jest tylko strach	Bonk, Jaro (1964- ). 		magazyn	Oficyna VBC	2018	462
Drakula	Cazacu, Matei (1946- ). 	DR240.5.V553 C39165 2018		Państwowy Instytut Wydawniczy	2018	372
Cyrk i inne wiersze = Cyrk ì ìnšyâ veršy	Cìmafeeva, Ûlâ (1982- ). 		magazyn	Warsztaty Kultury	2018	125
Biblia opowiedziana i objaśniona	Billioud, Jean-Michel (1964- ). 		magazyn	Papilon	2018	167
Kierunek: freelance : sukces na własnych zasadach	Brzozowska, Ewa (informatyk). 	HD8037.P7 B79 2018		Edgard	2018	248
Poza rytmem	Cherry, Brittainy C. 	PS3603.H47 B44165 2018		Wydawnictwo FILIA	2018	383
Rozwijanie umiejętności matematycznych dzieci w wieku przedszkolnym	Bilewicz-Kuźnia, Barbara (1971- ). 	QA135.6 .B55 2018		Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej	2018	448
Zbiór zadań i problemów z fizyki dla studentów kierunków ścisłych	Bulanda, Władysław. 	QC32 .B865 2018		Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej	2018	316
Księżyc : od nowiu do nowiu : dziennik hiperpodróży	Caparrós, Martín (1957- ). 	PQ7798.13.A57 L86165 2018		Wydawnictwo Literackie	2018	212
Granice wolności wypowiedzi rzeczoznawcy majątkowego	Biłgorajski, Artur (1983- ). 	KKP3521.R4 B55 2018		Wydawnictwo Uniwersytetu Śląskiego	2018	162
Wybrane zagadnienia z dziejów Zielonek i Bibic	Bulak, Jan. 		magazyn	Biblioteka Publiczna	2018	209
Cienka niebieska linia	Carlsson, Christoffer (1986- ). 		magazyn	Wydawnictwo Czarna Owca	2018	360
Modelowanie strategii kosztowej w zakładzie ubezpieczeń a współczesne uwarunkowania rynku	Chmielowiec-Lewczuk, Magdalena. 	HG8076 .C47 2018		Wydawnictwo Uniwersytetu Ekonomicznego we Wrocławiu	2018	293
Występki i wykroczenia o charakterze chuligańskim w polskim prawie karnym	Cieślak, Wojciech. 	KKP3845 .C54 2018		Difin	2018	263
Mistrz i Małgorzata	Bulgakov, Mihail Afanasʹevič (1891-1940). 	PG3476.B78 M3165 2018		Vis-à-vis Etiuda	2018	509
Królestwo z tego świata	Carpentier, Alejo (1904-1980). 	PQ7389.C263 R4165 2018		Państwowy Instytut Wydawniczy	2018	149
Survival dla alergików : (i ich rodzin)	Ciężadło, Hanka. 	RC588.D53 C44 2018		Mando	2018	265
Medycyna defensywna : nadużycia medyczne w systemie prawnym Stanów Zjednoczonych Ameryki	Bieńkowska, Daria. 	KF2905.3 .B54 2018		Wydawnictwo Naukowe Silva Rerum	2018	282
Smok z czekoladowym sercem	Burgis, Stephanie (1977- ). 		magazyn	Nasza Księgarnia	2018	264
Czerwona Pomoc w Polsce 1924-1938 : przybudówka - przykrywka - przyczółek	Cieślik, Agnieszka (1964- ). 	HX11.I55 C54 2018	magazyn	Instytut Historii PAN	2018	299
Lista Mocy : edycja specjalna : 100 wyjątkowych Polek i Polaków z niepełnosprawnością, działających w latach 1918-2018	Berezowska, Ilona. 		magazyn	Stowarzyszenie Przyjaciół Integracji	2018	158
Ocena systemów eksploatacji techniki wojsk lądowych	Brzeziński, Marian (wojskowość). 		magazyn	Wojskowa Akademia Techniczna	2018	184
Nocna runda	Child, Lee (1954- ). 	PS3553.H4838 M53165 2018		Wydawnictwo Albatros	2018	430
Ekologiczny dodatek paliwowy a czyste powietrze	Chyc, Marek (1978- ). 		magazyn	Fundacja Krakowska Filmówka	2018	132
Zapobieganie masowym naruszeniom praw człowieka : międzynarodowe instytucje i instrumenty	Bieńczyk-Missala, Agnieszka. 	K3240 .B54 2018		Wydawnictwo Naukowe Scholar	2018	242
Lustrzane odbicie rzeczywistości : proza literacka a historia polityczna Turcji XX wieku	Chmielowska, Danuta. 	PL223.5.P64 C45 2018		Wydawnictwo Akademickie Dialog	2018	317
