title	author	WD_signature	storage	publisher	year	pages
Architecture, society, and ritual in Viking age Scandinavia : doors, dwellings, and domestic space	Eriksen, Marianne Hem (1985- ). 	NA7370 .E75 2019		Cambridge University Press	2019	275
Peterkin & Brokk : księga czterech	Gajek, Grzegorz (1987- ). 	PG7207.A435 P48 2019		Genius Creations	2019	464
Dead in the water	Gajek, Grzegorz (1987- ). 		magazyn	Edgard językiobce.pl	2019	176
Trzeci szympans : ewolucja i przyszłość zwierzęcia zwanego człowiekiem	Diamond, Jared M. (1937- ). 	GN281 .D53165 2019		Copernicus Center Press	2019	576
Przewodnik ksenofoba - Amerykanie	Faul, Stephanie. 		magazyn	Grupa Wydawnicza Adamantan	2019	108
Kantor : nie/obecność	Fazan, Katarzyna (1965- ). 	PN2859.P66 K3625 2019		Wydawnictwo Uniwersytetu Jagiellońskiego	2019	554
Pod gwiazdami : przewodnik po nocnym niebie	Fazekas, Andrew. 	QB63 .F39165 2019		Burda Media Polska Sp. z o.o.	2019	286
Podróżnicy : wielkie wyprawy Polaków	Fedorowicz, Andrzej. 		magazyn	Wydawnictwo Dwie Siostry	2019	135
Posynodalna adhortacja apostolska Christus vivit : do młodych i całego Ludu Bożego	Franciszek (papież ; 1936- ). 		magazyn	Wydawnictwo M	2019	127
Ja i moja szkoła na nowo : zeszyt ćwiczeń dla klasy 3. Cz. 4	Faliszewska, Jolanta. 		magazyn	MAC Edukacja	2019	104
Candidate experience : jeszcze kandydat czy już klient?	Gojtowska, Maja. 	HF5549.5.R44 G65 2019		Wolters Kluwer	2019	274
Matematyka : próbne arkusze maturalne : poziom podstawowy. Zestaw 5	Górski, Waldemar (matematyka). 		magazyn	Oficyna Edukacyjna *Krzysztof Pazdro	2019	100
Refleksje i maksymy	Goethe, Johann Wolfgang von (1749-1832). 	PT2032.P3 A2 2019		Vis-à-vis Etiuda	2019	301
Królestwo niebieskie = Heavenly kingdom	Gola, Arkadiusz (1972- ). 		magazyn	Muzeum Historii Katowic	2019	147
Opowieści wigilijne. 4, Nawiedzony dom	Dickens, Charles (1812-1870). 	PR4557 .A66 2015 t.4		Zysk i S-ka Wydawnictwo	2019	557
Ukryta gra	Głuchowski, Piotr (1967- ). 	PG7207.L83 U38 2019		Wydawnictwo Agora	2019	541
Anioły do wynajęcia	Ferenz, Malwina. 	PG7206.E65 A74 2019		Wydawnictwo FILIA	2019	335
Janusz Kulig : niedokończona historia	Gola-Rakowska, Agnieszka. 		magazyn	Burda Media Polska	2019	381
Eileen Hogan : personal geographies	Fairman, Elisabeth R. 	ND497.H67 A4 2019		in association with Yale University Press	2019	271
Widać było tylko szczęście	Delacourt, Grégoire (1960- ). 	PQ2704.E25 O62165 2019		Drzewo Babel	2019	249
Spełniony sen	Frączyk, Izabella (1970- ). 	PG7206.R335 S64 2019		Prószyński i S-ka	2019	414
Sztuka wojenna Europy Zachodniej w epoce krucjat 1000-1300	France, John. 	D160 .F73165 2019		Wydawnictwo Napoleon V	2019	325
Rozum i godność człowieka	Gonciarz, Krzysztof (1985- ). 	PN1998.3.G656 A5 2019		TOFU Media	2019	340
Trans	Domaradzki, Krzysztof (1989- ). 	PG7204.O4298 T73 2019		Wydawnictwo Czarna Owca	2019	592
Siostra mojej siostry	Frączyk, Izabella (1970- ). 	PG7206.R335 S56 2019		Prószyński Media	2019	414
Dzieciństwo w cieniu rózgi : historia i oblicza przemocy wobec dzieci	Golus, Anna (1984- ). 	HV6250.4.C48 G65 2019		Wydawnictwo Helion	2019	256
Pokonać nałóg : metoda redukcji szkód w terapii uzależnień od alkoholu i narkotyków	Denning, Patt (1950- ). 	RC564 .D46165 2019		Wydawnictwo Uniwersytetu Jagiellońskiego	2019	343
Christus vivit	Franciszek (papież ; 1936- ). 		magazyn	Centrum Duszpasterstwa Młodzieży w Opolu	2019	111
Jerozolimskie piaski : wyprawy krzyżowe w polskiej powieści historycznej	Gołuński, Mirosław (1973- ). 	PG7102.C78 G65 2019		Wydawnictwo Uniwersytetu Kazimierza Wielkiego	2019	332
Pełnomocnictwo, prokura, reprezentacja stron umów w obrocie nieruchomościami	Gonet, Wojciech. 	KKP884 .G654 2019		Wolters Kluwer	2019	540
Jak myślimy : mieszaniny pojęciowe i ukryta złożoność umysłu	Fauconnier, Gilles (1944- ). 	B105.T54 F38165 2019		Fundacja Augusta hrabiego Cieszkowskiego	2019	615
Krajobraz po życiu : śladami Galicji : opowieści o ludziach i miejscach	Gaweł, Barbara (reklama). 	DK4600.G345 G38 2019	magazyn	Wydawnictwo Helion	2019	194
Nasi przyjaciele z Frolixa 8	Dick, Philip K. (1928-1982). 	PS3554.I3 O97165 2019		Dom Wydawniczy RREBIS	2019	311
Mam na imię Jutro	Dibben, Damian. 	PR6104.I27 T66165 2019		Wydawnictwo Albatros	2019	381
Powstanie Sejneńskie 1919 : katalog wystawy	Dobek, Karolina (1996- ). 		magazyn	Instytut Pamięci Narodowej. Oddział w Białymstoku	2019	139
Graficzny odruch warunkowy wstępem do metody matematycznej w identyfikacji kryminalistycznej człowieka na podstawie pisma ręcznego	Feluś, Antoni (1933- ). 	HV8076 .F45 2019		Wyższa Szkoła Zarządzania Ochroną Pracy	2019	180
Szept syberyjskiego wiatru	Gąsiorowska, Dorota (1975- ). 	PG7207.A695 S94 2019		Między Słowami	2019	476
